"","fall_dt","gemeinde","gmde","kat_cum"
"1",2020-07-27,1,"Aeugst am Albis","0-1.38"
"2",2020-07-27,10,"Obfelden","1.38-3.51"
"3",2020-07-27,100,"Stadel","0-1.38"
"4",2020-07-27,1002,"Entlebuch","0-1.38"
"5",2020-07-27,1004,"Flühli","0-1.38"
"6",2020-07-27,1005,"Hasle (LU)","0-1.38"
"7",2020-07-27,1008,"Schüpfheim","0-1.38"
"8",2020-07-27,1009,"Werthenstein","0-1.38"
"9",2020-07-27,101,"Steinmaur","1.38-3.51"
"10",2020-07-27,1010,"Escholzmatt-Marbach","0-1.38"
"11",2020-07-27,102,"Weiach","0-1.38"
"12",2020-07-27,1021,"Aesch (LU)","0-1.38"
"13",2020-07-27,1022,"Altwis","0-1.38"
"14",2020-07-27,1023,"Ballwil","1.38-3.51"
"15",2020-07-27,1024,"Emmen","0-1.38"
"16",2020-07-27,1025,"Ermensee","0-1.38"
"17",2020-07-27,1026,"Eschenbach (LU)","1.38-3.51"
"18",2020-07-27,1030,"Hitzkirch","0-1.38"
"19",2020-07-27,1031,"Hochdorf","0-1.38"
"20",2020-07-27,1032,"Hohenrain","0-1.38"
"21",2020-07-27,1033,"Inwil","1.38-3.51"
"22",2020-07-27,1037,"Rain","0-1.38"
"23",2020-07-27,1039,"Römerswil","0-1.38"
"24",2020-07-27,1040,"Rothenburg","0-1.38"
"25",2020-07-27,1041,"Schongau","0-1.38"
"26",2020-07-27,1051,"Adligenswil","0-1.38"
"27",2020-07-27,1052,"Buchrain","0-1.38"
"28",2020-07-27,1053,"Dierikon","0-1.38"
"29",2020-07-27,1054,"Ebikon","0-1.38"
"30",2020-07-27,1055,"Gisikon","0-1.38"
"31",2020-07-27,1056,"Greppen","0-1.38"
"32",2020-07-27,1058,"Horw","1.38-3.51"
"33",2020-07-27,1059,"Kriens","0-1.38"
"34",2020-07-27,1061,"Luzern","0-1.38"
"35",2020-07-27,1062,"Malters","0-1.38"
"36",2020-07-27,1063,"Meggen","0-1.38"
"37",2020-07-27,1064,"Meierskappel","0-1.38"
"38",2020-07-27,1065,"Root","0-1.38"
"39",2020-07-27,1066,"Schwarzenberg","1.38-3.51"
"40",2020-07-27,1067,"Udligenswil","0-1.38"
"41",2020-07-27,1068,"Vitznau","1.38-3.51"
"42",2020-07-27,1069,"Weggis","0-1.38"
"43",2020-07-27,1081,"Beromünster","0-1.38"
"44",2020-07-27,1082,"Büron","0-1.38"
"45",2020-07-27,1083,"Buttisholz","1.38-3.51"
"46",2020-07-27,1084,"Eich","0-1.38"
"47",2020-07-27,1085,"Geuensee","0-1.38"
"48",2020-07-27,1086,"Grosswangen","0-1.38"
"49",2020-07-27,1088,"Hildisrieden","1.38-3.51"
"50",2020-07-27,1089,"Knutwil","0-1.38"
"51",2020-07-27,1091,"Mauensee","0-1.38"
"52",2020-07-27,1093,"Neuenkirch","0-1.38"
"53",2020-07-27,1094,"Nottwil","0-1.38"
"54",2020-07-27,1095,"Oberkirch","0-1.38"
"55",2020-07-27,1097,"Rickenbach (LU)","0-1.38"
"56",2020-07-27,1098,"Ruswil","0-1.38"
"57",2020-07-27,1099,"Schenkon","0-1.38"
