fips,county,state,population,winner,eevp,shifted,flipped
1001,Autauga County,AL,60342,Trump,99,1.0236685329130495,NA
1003,Baldwin County,AL,253507,Trump,99,2.2491047012007215,NA
1005,Barbour County,AL,24585,Trump,99,3.6042480274868254,NA
1007,Bibb County,AL,21868,Trump,99,3.431242727017377,NA
1009,Blount County,AL,59816,Trump,99,0.5137230497433904,NA
1011,Bullock County,AL,9897,Harris,99,1.9251415062633086,NA
1013,Butler County,AL,18382,Trump,99,3.521174470881654,NA
1015,Calhoun County,AL,116429,Trump,99,2.9321430927605547,NA
1017,Chambers County,AL,34079,Trump,99,3.86822609916333,NA
1019,Cherokee County,AL,25666,Trump,99,1.3640152445081668,NA
1021,Chilton County,AL,46431,Trump,99,2.332956712844421,NA
1023,Choctaw County,AL,12252,Trump,99,4.142281610189357,NA
1025,Clarke County,AL,22337,Trump,99,2.5323025655716833,NA
1027,Clay County,AL,14111,Trump,99,3.9285517458288126,NA
1029,Cleburne County,AL,15639,Trump,99,1.678910880238078,NA
1031,Coffee County,AL,55643,Trump,99,2.597447700732232,NA
1033,Colbert County,AL,58361,Trump,99,3.7753927413328228,NA
1035,Conecuh County,AL,11174,Trump,99,3.196845999118125,NA
1037,Coosa County,AL,10268,Trump,99,5.043908505520534,NA
1039,Covington County,AL,37952,Trump,99,2.177372579703217,NA
1041,Crenshaw County,AL,13101,Trump,99,3.5757423091016705,NA
1043,Cullman County,AL,92016,Trump,99,1.6266460170521384,NA
1045,Dale County,AL,49871,Trump,99,3.21275592264152,NA
1047,Dallas County,AL,36165,Harris,99,2.4641902464822785,NA
1049,DeKalb County,AL,72569,Trump,99,2.1149828225230323,NA
1051,Elmore County,AL,90441,Trump,99,1.9139310661822861,NA
1053,Escambia County,AL,36558,Trump,99,4.476112520233883,NA
1055,Etowah County,AL,103241,Trump,99,2.8813398748369963,NA
1057,Fayette County,AL,15967,Trump,99,2.247349434762242,NA
1059,Franklin County,AL,31802,Trump,99,3.695472817559107,NA
1061,Geneva County,AL,26988,Trump,99,1.662224341805313,NA
1063,Greene County,AL,7341,Harris,98.99,3.58860254588339,NA
1065,Hale County,AL,14888,Harris,98.99,5.768077929330559,NA
1067,Henry County,AL,17899,Trump,99,3.977975780859026,NA
1069,Houston County,AL,108462,Trump,99,2.6982385658885875,NA
1071,Jackson County,AL,53467,Trump,99,2.0264657564185313,NA
1073,Jefferson County,AL,662895,Harris,99,1.2962004157578733,NA
1075,Lamar County,AL,13661,Trump,99,1.827568778187441,NA
1077,Lauderdale County,AL,96814,Trump,99,3.4568658718682457,NA
1079,Lawrence County,AL,33502,Trump,99,3.824731963516385,NA
1081,Lee County,AL,183215,Trump,99,3.9655004210865172,NA
1083,Limestone County,AL,114654,Trump,99,0.7296273378616149,NA
1085,Lowndes County,AL,9717,Harris,99,4.212777092049933,NA
1087,Macon County,AL,18370,Harris,99,3.8296278004301563,NA
1089,Madison County,AL,412600,Trump,99,0.6726033211019526,NA
1091,Marengo County,AL,18684,Trump,99,2.603650922143366,Trump
1093,Marion County,AL,29244,Trump,99,2.0001256728914996,NA
1095,Marshall County,AL,100756,Trump,99,1.6217404453633009,NA
1097,Mobile County,AL,411640,Trump,99,2.3733006163669756,NA
1099,Monroe County,AL,19229,Trump,99,3.59646045539877,NA
1101,Montgomery County,AL,224980,Harris,99,0.39983510354988283,NA
1103,Morgan County,AL,125133,Trump,99,1.8018888750117554,NA
1105,Perry County,AL,7738,Harris,99,2.8449739979656634,NA
1107,Pickens County,AL,18688,Trump,99,3.4627191131828567,NA
1109,Pike County,AL,33137,Trump,99,4.061025504720298,NA
1111,Randolph County,AL,22786,Trump,99,3.104503015217105,NA
1113,Russell County,AL,58744,Harris,99,2.4307651526073215,NA
1115,St. Clair County,AL,95552,Trump,99,0.24128164658401374,NA
1117,Shelby County,AL,233000,Trump,99,0.2549667654758281,NA
1119,Sumter County,AL,11727,Harris,99,3.69360392916861,NA
1121,Talladega County,AL,81132,Trump,99,4.203618912419351,NA
1123,Tallapoosa County,AL,40677,Trump,99,3.0787766243509083,NA
1125,Tuscaloosa County,AL,237373,Trump,99,2.8464003900634296,NA
1127,Walker County,AL,64728,Trump,99,2.0264078847573757,NA
1129,Washington County,AL,15022,Trump,99,3.4970603707495655,NA
1131,Wilcox County,AL,9944,Harris,99,3.0156025701809988,NA
1133,Winston County,AL,23611,Trump,99,1.1338971336035542,NA
2068,Alaska,AK,733406,Trump,76.29,2.427208133010126,NA
4001,Apache County,AZ,65036,Harris,59.88,7.979065350713938,NA
4003,Cochise County,AZ,124640,Trump,44,9.570319825210916,NA
4005,Coconino County,AZ,144472,Harris,75.75,2.269648066477359,NA
4007,Gila County,AZ,54003,Trump,82.07,1.7064922515411496,NA
4009,Graham County,AZ,39525,Trump,54.51,1.913777741417789,NA
4011,Greenlee County,AZ,9369,Trump,97.65,3.7232203228309686,NA
4012,La Paz County,AZ,16710,Trump,69.83,3.0781686909609363,NA
4013,Maricopa County,AZ,4585871,Trump,69.31,2.9009927191246447,Trump
4015,Mohave County,AZ,223682,Trump,82,2.844333433758763,NA
4017,Navajo County,AZ,109175,Trump,80,4.287519581534163,NA
4019,Pima County,AZ,1063162,Harris,62.45,1.0446163630094603,NA
4021,Pinal County,AZ,484239,Trump,87.19,3.0318645220027065,NA
4023,Santa Cruz County,AZ,49158,Harris,99,8.769027078631357,NA
4025,Yavapai County,AZ,249081,Trump,58.91,1.5561946614156525,NA
4027,Yuma County,AZ,213221,Trump,57,12.468804381771989,NA
5001,Arkansas County,AR,16307,Trump,99,2.8334973317093386,NA
5003,Ashley County,AR,18262,Trump,99,5.323961283700513,NA
5005,Baxter County,AR,42875,Trump,99,2.191101264264759,NA
5007,Benton County,AR,311013,Trump,99,0.4652410729446643,NA
5009,Boone County,AR,38530,Trump,99,1.8654052410334572,NA
5011,Bradley County,AR,10104,Trump,99,5.095242025598267,NA
5013,Calhoun County,AR,4641,Trump,99,5.022914757103578,NA
5015,Carroll County,AR,28814,Trump,99,1.8540437393875138,NA
5017,Chicot County,AR,9538,Harris,99,4.85560362920468,NA
5019,Clark County,AR,21274,Trump,99,4.214364880983084,NA
5021,Clay County,AR,14201,Trump,99,1.3869321685561573,NA
5023,Cleburne County,AR,25445,Trump,99,1.721255537844371,NA
5025,Cleveland County,AR,7378,Trump,99,3.4622080574496863,NA
5027,Columbia County,AR,22150,Trump,99,3.790447323056199,NA
5029,Conway County,AR,21077,Trump,99,3.4029898814869313,NA
5031,Craighead County,AR,113993,Trump,99,1.1842326586528884,NA
5033,Crawford County,AR,61891,Trump,99,0.8620455860075111,NA
5035,Crittenden County,AR,47139,Harris,99,3.0759647271713035,NA
5037,Cross County,AR,16420,Trump,99,1.5580550918104592,NA
5039,Dallas County,AR,6185,Trump,99,4.415916011808974,NA
5041,Desha County,AR,10479,Trump,99,5.454457376325998,Trump
5043,Drew County,AR,16945,Trump,99,3.075802950354422,NA
5045,Faulkner County,AR,129951,Trump,99,1.6780603499595799,NA
5047,Franklin County,AR,17468,Trump,99,0.4078065425916009,NA
5049,Fulton County,AR,12421,Trump,99,2.7089593658616025,NA
5051,Garland County,AR,99784,Trump,99,1.2404870588117802,NA
5053,Grant County,AR,18383,Trump,99,0.7685251722534474,NA
5055,Greene County,AR,46743,Trump,99,1.0602294349915837,NA
5057,Hempstead County,AR,19343,Trump,99,3.5986604566053018,NA
5059,Hot Spring County,AR,33258,Trump,99,1.8220686791853922,NA
5061,Howard County,AR,12533,Trump,99,2.9162840787657984,NA
5063,Independence County,AR,38320,Trump,99,1.1448064670339164,NA
5065,Izard County,AR,14169,Trump,99,2.216649600209152,NA
5067,Jackson County,AR,16784,Trump,99,2.9212271294742322,NA
5069,Jefferson County,AR,63661,Harris,99,1.355551187069544,NA
5071,Johnson County,AR,26129,Trump,99,1.601086200003735,NA
5073,Lafayette County,AR,6095,Trump,99,2.8596932943264903,NA
5075,Lawrence County,AR,16318,Trump,99,2.9272351124315747,NA
5077,Lee County,AR,8201,Harris,99,1.8807620282339386,NA
5079,Lincoln County,AR,12898,Trump,99,3.8098717911891242,NA
5081,Little River County,AR,11805,Trump,99,4.755445121487227,NA
5083,Logan County,AR,21400,Trump,99,1.726532676161213,NA
5085,Lonoke County,AR,75944,Trump,99,1.2190556903646268,NA
5087,Madison County,AR,17775,Trump,99,1.4755913701806804,NA
5089,Marion County,AR,17514,Trump,99,2.3998669926743617,NA
5091,Miller County,AR,42415,Trump,99,2.828849975430927,NA
5093,Mississippi County,AR,38663,Trump,99,5.983816801738094,NA
5095,Monroe County,AR,6512,Trump,98.98,2.0839563397129197,NA
5097,Montgomery County,AR,8620,Trump,99,2.014741013341194,NA
5099,Nevada County,AR,8120,Trump,98.99,4.9029489470228,NA
