ID,Gemeinde,Einwohner
1,Aeugst am Albis,1981
2,Affoltern am Albis,12303
3,Bonstetten,5572
4,Hausen am Albis,3751
5,Hedingen,3778
6,Kappel am Albis,1221
7,Knonau,2378
8,Maschwanden,645
9,Mettmenstetten,5200
10,Obfelden,5721
11,Ottenbach,2588
12,Rifferswil,1129
13,Stallikon,3755
14,Wettswil am Albis,5240
21,Adlikon,698
22,Benken (ZH),845
23,Berg am Irchel,577
24,Buch am Irchel,979
25,Dachsen,1916
26,Dorf,658
27,Feuerthalen,3614
28,Flaach,1420
29,Flurlingen,1477
30,Andelfingen,2247
31,Henggart,2234
32,Humlikon,485
33,Kleinandelfingen,2074
34,Laufen-Uhwiesen,1761
35,Marthalen,1918
37,Ossingen,1668
38,Rheinau,1316
39,Thalheim an der Thur,938
40,Trüllikon,1061
41,Truttikon,463
43,Volken,380
51,Bachenbülach,4180
52,Bassersdorf,11824
53,Bülach,21372
54,Dietlikon,7847
55,Eglisau,5339
56,Embrach,9421
57,Freienstein-Teufen,2389
58,Glattfelden,5217
59,Hochfelden,1982
60,Höri,2872
61,Hüntwangen,1057
62,Kloten,20130
63,Lufingen,2417
64,Nürensdorf,5602
65,Oberembrach,1121
66,Opfikon,21014
67,Rafz,4661
68,Rorbas,2885
69,Wallisellen,16841
70,Wasterkingen,563
71,Wil (ZH),1474
72,Winkel,4535
81,Bachs,592
82,Boppelsen,1432
83,Buchs (ZH),6565
84,Dällikon,4177
85,Dänikon,1861
86,Dielsdorf,5966
87,Hüttikon,952
88,Neerach,3175
89,Niederglatt,4993
90,Niederhasli,9345
91,Niederweningen,3073
92,Oberglatt,7228
93,Oberweningen,1790
94,Otelfingen,2982
95,Regensberg,469
96,Regensdorf,18540
97,Rümlang,8233
98,Schleinikon,758
99,Schöfflisdorf,1377
100,Stadel,2293
101,Steinmaur,3609
102,Weiach,1903
111,Bäretswil,5053
112,Bubikon,7344
113,Dürnten,7606
114,Fischenthal,2516
115,Gossau (ZH),10280
116,Grüningen,3641
117,Hinwil,11277
118,Rüti (ZH),12286
119,Seegräben,1430
120,Wald (ZH),10096
121,Wetzikon (ZH),24990
131,Adliswil,18944
135,Kilchberg (ZH),8923
136,Langnau am Albis,7727
137,Oberrieden,5002
138,Richterswil,13632
139,Rüschlikon,6092
141,Thalwil,18139
151,Erlenbach (ZH),5592
152,Herrliberg,6460
153,Hombrechtikon,8775
154,Küsnacht (ZH),14564
155,Männedorf,11359
156,Meilen,14335
157,Oetwil am See,4840
158,Stäfa,14718
159,Uetikon am See,6201
160,Zumikon,5486
161,Zollikon,13067
172,Fehraltorf,6485
173,Hittnau,3664
176,Lindau,5605
177,Pfäffikon,12164
178,Russikon,4393
180,Weisslingen,3364
181,Wila,1977
182,Wildberg,985
191,Dübendorf,29303
192,Egg,8796
193,Fällanden,8689
194,Greifensee,5385
195,Maur,10468
196,Mönchaltorf,3898
197,Schwerzenbach,5170
198,Uster,35007
199,Volketswil,18640
200,Wangen-Brüttisellen,7967
211,Altikon,698
213,Brütten,2067
214,Dägerlen,1037
215,Dättlikon,776
216,Dinhard,1684
218,Ellikon an der Thur,901
219,Elsau,3647
220,Hagenbuch,1085
221,Hettlingen,3169
223,Neftenbach,5718
224,Pfungen,3900
225,Rickenbach (ZH),2749
226,Schlatt (ZH),789
227,Seuzach,7440
228,Turbenthal,4883
230,Winterthur,113173
231,Zell (ZH),6299
241,Aesch (ZH),1669
242,Birmensdorf (ZH),6724
243,Dietikon,27746
244,Geroldswil,4934
245,Oberengstringen,6738
246,Oetwil an der Limmat,2515
247,Schlieren,18791
248,Uitikon,4668
249,Unterengstringen,3934
250,Urdorf,9981
251,Weiningen (ZH),4813
261,Zürich,420217
292,Stammheim,2790
293,Wädenswil,24624
294,Elgg,4942
295,Horgen,22992
296,Illnau-Effretikon,17333
297,Bauma,4873
298,Wiesendangen,6594
301,Aarberg,4632
302,Bargen (BE),1025
303,Grossaffoltern,3031
304,Kallnach,2204
305,Kappelen,1414
306,Lyss,15525
307,Meikirch,2473
309,Radelfingen,1287
310,Rapperswil (BE),2560
311,Schüpfen,3773
312,Seedorf (BE),3084
321,Aarwangen,4620
322,Auswil,440
323,Bannwil,661
324,Bleienbach,713
325,Busswil bei Melchnau,181
326,Gondiswil,728
329,Langenthal,16066
331,Lotzwil,2628
332,Madiswil,3275
333,Melchnau,1489
335,Oeschenbach,221
336,Reisiswil,174
337,Roggwil (BE),4056
338,Rohrbach,1484
339,Rohrbachgraben,394
340,Rütschelen,566
341,Schwarzhäusern,525
342,Thunstetten,3425
344,Ursenbach,879
345,Wynau,1660
351,Bern,134591
352,Bolligen,6286
353,Bremgarten bei Bern,4369
354,Kirchlindach,3214
355,Köniz,42044
356,Muri bei Bern,13023
357,Oberbalm,849
358,Stettlen,3137
359,Vechigen,5345
360,Wohlen bei Bern,9266
361,Zollikofen,10471
362,Ittigen,11306
363,Ostermundigen,17772
371,Biel/Bienne,55602
372,Evilard,2654
381,Arch,1629
382,Büetigen,870
383,Büren an der Aare,3584
385,Diessbach bei Büren,994
386,Dotzigen,1478
387,Lengnau (BE),5280
388,Leuzigen,1289
389,Meienried,50
390,Meinisberg,1298
391,Oberwil bei Büren,901
392,Pieterlen,4651
393,Rüti bei Büren,857
394,Wengi,608
401,Aefligen,1096
402,Alchenstorf,576
403,Bäriswil,1046
404,Burgdorf,16587
405,Ersigen,2039
406,Hasle bei Burgdorf,3326
407,Heimiswil,1636
408,Hellsau,211
409,Hindelbank,2611
410,Höchstetten,270
411,Kernenried,560
412,Kirchberg (BE),5916
413,Koppigen,2082
414,Krauchthal,2401
415,Lyssach,1437
418,Oberburg,2970
420,Rüdtligen-Alchenflüh,2419
421,Rumendingen,79
422,Rüti bei Lyssach,167
423,Willadingen,204
424,Wynigen,2093
431,Corgémont,1737
432,Cormoret,490
433,Cortébert,688
434,Courtelary,1456
435,La Ferrière,529
437,Mont-Tramelan,109
438,Orvin,1196
441,Renan (BE),927
442,Romont (BE),204
443,Saint-Imier,5140
444,Sonceboz-Sombeval,1952
445,Sonvilier,1237
446,Tramelan,4580
448,Villeret,924
449,Sauge,819
450,Péry-La Heutte,1890
491,Brüttelen,588
492,Erlach,1388
493,Finsterhennen,581
494,Gals,833
495,Gampelen,953
496,Ins,3555
497,Lüscherz,551
498,Müntschemier,1505
499,Siselen,603
500,Treiten,411
501,Tschugg,472
502,Vinelz,877
533,Bätterkinden,3249
535,Deisswil bei Münchenbuchsee,91
536,Diemerswil,204
538,Fraubrunnen,5180
540,Jegenstorf,5761
541,Iffwil,421
543,Mattstetten,575
544,Moosseedorf,4130
546,Münchenbuchsee,10355
551,Urtenen-Schönbühl,6317
552,Utzenstorf,4376
553,Wiggiswil,103
554,Wiler bei Utzenstorf,985
556,Zielebach,319
557,Zuzwil (BE),570
561,Adelboden,3352
562,Aeschi bei Spiez,2244
563,Frutigen,6940
564,Kandergrund,821
565,Kandersteg,1281
566,Krattigen,1131
567,Reichenbach im Kandertal,3624
571,Beatenberg,1196
572,Bönigen,2528
573,Brienz (BE),3117
574,Brienzwiler,473
575,Därligen,421
576,Grindelwald,3810
577,Gsteigwiler,402
578,Gündlischwand,357
579,Habkern,648
580,Hofstetten bei Brienz,527
581,Interlaken,5634
582,Iseltwald,430
584,Lauterbrunnen,2279
585,Leissigen,1148
586,Lütschental,226
587,Matten bei Interlaken,4115
588,Niederried bei Interlaken,365
589,Oberried am Brienzersee,443
590,Ringgenberg (BE),2574
591,Saxeten,93
592,Schwanden bei Brienz,630
593,Unterseen,5852
594,Wilderswil,2669
602,Arni (BE),930
603,Biglen,1815
605,Bowil,1364
606,Brenzikofen,492
607,Freimettigen,454
608,Grosshöchstetten,4151
609,Häutligen,256
610,Herbligen,599
611,Kiesen,1012
612,Konolfingen,5347
613,Landiswil,607
614,Linden,1300
615,Mirchel,626
616,Münsingen,12935
617,Niederhünigen,656
619,Oberdiessbach,3533
620,Oberthal,723
622,Oppligen,641
623,Rubigen,2877
626,Walkringen,1768
627,Worb,11479
628,Zäziwil,1579
629,Oberhünigen,313
630,Allmendingen,591
