#;Wahlkreis;Gewählt;Partei
1;Flensburg;;
2;Nordfriesland;;
3;Steinburg;;
4;Rendsburg-Eckernförde;;
5;Kiel;;
6;Plön;;
7;Pinneberg;;
8;Segeberg;;
9;Ostholstein;;
10;Herzogtum Lauenburg;;
11;Lübeck;;
12;Schwerin;;
13;Ludwigslust-Parchim II;;
14;Rostock;;
15;Vorpommern-Rügen;;
16;Mecklenburgische… I;;
17;Mecklenburgische… II;;
18;Hamburg-Mitte;;
19;Hamburg-Altona;;
20;Hamburg-Eimsbüttel;;
21;Hamburg-Nord;;
22;Hamburg-Wandsbek;;
23;Hamburg-Bergedorf;;
24;Aurich;;
25;Unterems;;
26;Friesland;;
27;Oldenburg;;
28;Delmenhorst;;
29;Cuxhaven;;
30;Stade I;;
31;Mittelems;;
32;Cloppenburg;;
33;Diepholz;;
34;Osterholz;;
35;Rotenburg I;;
36;Harburg;;
37;Lüchow-Dannenberg;;
38;Osnabrück-Land;;
39;Stadt Osnabrück;;
40;Nienburg II;;
41;Stadt Hannover I;;
42;Stadt Hannover II;;
43;Hannover-Land I;;
44;Celle;;
45;Gifhorn;;
46;Hameln-Pyrmont;;
47;Hannover-Land II;;
48;Hildesheim;;
49;Salzgitter;;
50;Braunschweig;;
51;Helmstedt;;
52;Goslar;;
53;Göttingen;;
54;Bremen I;;
55;Bremen II;;
56;Prignitz;;
57;Uckermark;;
58;Oberhavel;;
59;Märkisch-Oderland;;
60;Brandenburg an…;;
61;Potsdam;;
62;Dahme-Spreewald;;
63;Frankfurt (Oder);;
64;Cottbus;;
65;Elbe-Elster;;
66;Altmark;;
67;Börde;;
68;Harz;;
69;Magdeburg;;
70;Dessau;;
71;Anhalt;;
72;Halle;;
73;Burgenland;;
74;Mansfeld;;
75;Berlin-Mitte;;
76;Berlin-Pankow;;
77;Berlin-Reinickendorf;;
78;Berlin-Spandau;;
79;Berlin-Steglitz…;;
80;Berlin-Charlottenburg…;;
81;Berlin-Tempelhof…;;
82;Berlin-Neukölln;;
83;Berlin-Friedrichshain…;;
84;Berlin-Treptow…;;
85;Berlin-Marzahn…;;
86;Berlin-Lichtenberg;;
87;Aachen I;;
88;Aachen II;;
89;Heinsberg;;
90;Düren;;
91;Rhein-Erft-Kreis I;;
92;Euskirchen;;
93;Köln I;;
94;Köln II;;
95;Köln III;;
96;Bonn;;
97;Rhein-Sieg-Kreis I;;
98;Rhein-Sieg-Kreis II;;
99;Oberbergischer Kreis;;
100;Rheinisch-Bergisch…;;
101;Leverkusen;;
102;Wuppertal I;;
103;Solingen;;
104;Mettmann I;;
105;Mettmann II;;
106;Düsseldorf I;;
107;Düsseldorf II;;
108;Neuss I;;
109;Mönchengladbach;;
110;Krefeld I;;
111;Viersen;;
112;Kleve;;
113;Wesel I;;
114;Krefeld II;;
115;Duisburg I;;
116;Duisburg II;;
117;Oberhausen;;
118;Mülheim;;
119;Essen II;;
120;Essen III;;
121;Recklinghausen I;;
122;Recklinghausen II;;
123;Gelsenkirchen;;
124;Steinfurt I;;
125;Bottrop;;
126;Borken II;;
127;Coesfeld;;
128;Steinfurt III;;
129;Münster;;
130;Warendorf;;
131;Gütersloh I;;
