ID,Region,Land,Bewohner
1001,Flensburg,SH,90164
1002,Kiel,SH,246794
1003,Lübeck,SH,216530
1004,Neumünster,SH,80196
1051,Dithmarschen,SH,133193
1053,Herzogtum Lauenburg,SH,198019
1054,Nordfriesland,SH,165951
1055,Ostholstein,SH,200539
1056,Pinneberg,SH,316103
1057,Plön,SH,128686
1058,Rendsburg-Eckernförde,SH,274098
1059,Schleswig-Flensburg,SH,201156
1060,Segeberg,SH,277175
1061,Steinburg,SH,131013
1062,Stormarn,SH,244156
2000,Hamburg,HH,1847253
3101,Braunschweig,NI,249406
3102,Salzgitter,NI,104291
3103,Wolfsburg,NI,124371
3151,Gifhorn,NI,176523
3153,Goslar,NI,136292
3154,Helmstedt,NI,91297
3155,Northeim,NI,132285
3157,Peine,NI,134801
3158,Wolfenbüttel,NI,119622
3159,Göttingen,NI,326041
3241,Region Hannover,NI,1157115
3251,Diepholz,NI,217089
3252,Hameln-Pyrmont,NI,148549
3254,Hildesheim,NI,275817
3255,Holzminden,NI,70458
3256,Nienburg (Weser),NI,121390
3257,Schaumburg,NI,157820
3351,Celle,NI,179011
3352,Cuxhaven,NI,198038
3353,Harburg,NI,254431
3354,Lüchow-Dannenberg,NI,48412
3355,Lüneburg,NI,184139
3356,Osterholz,NI,113928
3357,Rotenburg (Wümme),NI,163782
3358,Heidekreis,NI,140673
3359,Stade,NI,204512
3360,Uelzen,NI,92389
3361,Verden,NI,137133
3401,Delmenhorst,NI,77559
3402,Emden,NI,49913
3403,Oldenburg (Oldb),NI,169077
3404,Osnabrück,NI,165251
3405,Wilhelmshaven,NI,76089
3451,Ammerland,NI,124859
3452,Aurich,NI,189694
3453,Cloppenburg,NI,170682
3454,Emsland,NI,326954
3455,Friesland,NI,98704
3456,Grafschaft Bentheim,NI,137162
3457,Leer,NI,170756
3458,Oldenburg,NI,130890
3459,Osnabrück (Land),NI,358080
3460,Vechta,NI,142814
3461,Wesermarsch,NI,88583
3462,Wittmund,NI,56926
4011,Bremen,HB,567559
4012,Bremerhaven,HB,113643
5111,Düsseldorf,NW,621877
5112,Duisburg,NW,498686
5113,Essen,NW,582760
5114,Krefeld,NW,227417
5116,Mönchengladbach,NW,261034
5117,Mülheim an der Ruhr,NW,170632
5119,Oberhausen,NW,210764
5120,Remscheid,NW,111338
5122,Solingen,NW,159245
5124,Wuppertal,NW,355100
5154,Kleve,NW,312465
5158,Mettmann,NW,485570
5162,Rhein-Kreis Neuss,NW,451730
