name,2018,name_ger
China,1392730000,China
India,1352617328,Indien
US,327167434,USA
Indonesia,267663435,Indonesien
Pakistan,212215030,Pakistan
Brazil,209469333,Brasilien
Nigeria,195874740,Nigeria
Bangladesh,161356039,Bangladesh
Russia,144478050,Russland
Japan,126529100,Japan
Mexico,126190788,Mexiko
Ethiopia,109224559,Äthiopien
Philippines,106651922,Philippinen
Central Europe and the Baltics,102511922,Central Europe and the Baltics
Egypt,98423595,Ägypten
Vietnam,95540395,Vietnam
Congo (Kinshasa),84068091,Kongo (Kinshasa)
Germany,82927922,Deutschland
Turkey,82319724,Türkei
Iran,81800269,Iran
Thailand,69428524,Thailand
France,66987244,Frankreich
United Kingdom,66488991,Grossbritannien
Italy,60431283,Italien
South Africa,57779622,Südafrika
Tanzania,56318348,Tansania
Myanmar,53708395,Burma
"Korea, South",51635256,Südkorea
Kenya,51393010,Kenia
Colombia,49648685,Kolumbien
Spain,46723749,Spanien
Ukraine,44622516,Ukraine
Argentina,44494502,Argentinien
Uganda,42723139,Uganda
Algeria,42228429,Algerien
Sudan,41801533,Sudan
Small states,40575321,Small states
Iraq,38433600,Irak
Poland,37978548,Polen
Afghanistan,37172386,Afghanistan
Canada,37058856,Kanada
Morocco,36029138,Marokko
Saudi Arabia,33699947,Saudiarabien
Uzbekistan,32955400,Usbekistan
Peru,31989256,Peru
Malaysia,31528585,Malaysia
Angola,30809762,Angola
Other small states,30758989,Other small states
Ghana,29767108,Ghana
Mozambique,29495962,Moçambique
Venezuela,28870195,Venezuela
"Yemen, Rep.",28498687,Yemen
Nepal,28087871,Nepal
Madagascar,26262368,Madagaskar
"Korea, Dem. People’s Rep.",25549819,Nordkorea
Cameroon,25216237,Kamerun
Cote d'Ivoire,25069229,Cote d'Ivoire
Australia,24992369,Australien
Taiwan,23780000,Taiwan
Niger,22442948,Niger
Sri Lanka,21670000,Sri Lanka
Burkina Faso,19751535,Burkina Faso
Romania,19473936,Rumänien
Mali,19077690,Mali
Chile,18729160,Chile
Kazakhstan,18276499,Kasachstan
Malawi,18143315,Malawi
Zambia,17351822,Zambia
Guatemala,17247807,Guatemala
Netherlands,17231017,Niederlande
Ecuador,17084357,Ecuador
Syria,16906283,Syrien
Cambodia,16249798,Kambodscha
Senegal,15854360,Senegal
Chad,15477751,Tschad
Somalia,15008154,Somalia
Zimbabwe,14439018,Simbabwe
Guinea,12414318,Guinea
Rwanda,12301939,Rwanda
Tunisia,11565204,Tunesien
Benin,11485048,Benin
Belgium,11422068,Belgien
Bolivia,11353142,Bolivien
Cuba,11338138,Kuba
Burundi,11175378,Burundi
Haiti,11123176,Haiti
South Sudan,10975920,Südsudan
Greece,10727668,Griechenland
Dominican Republic,10627165,Dom. Republik
Czechia,10625695,Tschechien
Portugal,10281762,Portugal
Sweden,10183175,Schweden
Jordan,9956011,Jordanien
Azerbaijan,9942334,Aserbaidschan
Hungary,9768785,Ungarn
United Arab Emirates,9630959,VAE
Honduras,9587522,Honduras
Belarus,9485386,Weissrussland
Tajikistan,9100837,Tadschikistan
Israel,8883800,Israel
Austria,8847037,Österreich
Papua New Guinea,8606316,Papua-Neuguinea
Switzerland,8516543,Schweiz
Togo,7889094,Togo
Sierra Leone,7650154,Sierra Leone
Hong Kong,7451000,Hongkong
Caribbean small states,7358965,Caribbean small states
Laos,7061507,Laos
Bulgaria,7024216,Bulgarien
Serbia,6982084,Serbien
Paraguay,6956071,Paraguay
Lebanon,6848925,Libanon
Libya,6678567,Libyen
Nicaragua,6465513,Nicaragua
El Salvador,6420744,El Salvador
Kyrgyzstan,6315800,Kirgistan
Turkmenistan,5850908,Turkmenistan
Denmark,5797446,Dänemark
Singapore,5638676,Singapur
Finland,5518050,Finnland
Slovakia,5447011,Slowakei
Norway,5314336,Norwegen
Congo (Brazzaville),5244363,Kongo (Brazzaville)
Costa Rica,4999441,Costa Rica
New Zealand,4885500,Neuseeland
Ireland,4853506,Irland
Oman,4829483,Oman
Liberia,4818977,Liberia
Central African Republic,4666377,Rep. Zentralafrika
West Bank and Gaza,4569087,Westjordanland und Gazastreifen
Mauritania,4403319,Mauritanien
Panama,4176873,Panama
Kuwait,4137309,Kuwait
Croatia,4089400,Kroatien
Georgia,3731000,Georgien
Moldova,3545883,Moldau
Uruguay,3449299,Uruguay
Bosnia and Herzegovina,3323929,Bosnien-Herzegowina
Puerto Rico,3195153,Puerto Rico
Mongolia,3170208,Mongolei
Armenia,2951776,Armenien
Jamaica,2934855,Jamaika
Albania,2866376,Albanien
Lithuania,2789533,Litauen
Qatar,2781677,Katar
Pacific island small states,2457367,Pacific island small states
Namibia,2448255,Namibia
Gambia,2280102,Gambia
Botswana,2254126,Botswana
Gabon,2119275,Gabon
Lesotho,2108132,Lesotho
North Macedonia,2082958,Nordmazedonien
Slovenia,2067372,Slowenien
Latvia,1926542,Lettland
Guinea-Bissau,1874309,Guinea-Bissau
Kosovo,1845300,Kosovo
