,Patienten
10.04.2020,2304
11.04.2020,2619
12.04.2020,2405
13.04.2020,2447
14.04.2020,2488
15.04.2020,2679
16.04.2020,2773
17.04.2020,2868
18.04.2020,2922
19.04.2020,2889
20.04.2020,2793
21.04.2020,2908
22.04.2020,2799
23.04.2020,2776
24.04.2020,2701
25.04.2020,2570
26.04.2020,2541
27.04.2020,2409
28.04.2020,2467
29.04.2020,2415
30.04.2020,2280
01.05.2020,2189
02.05.2020,2105
03.05.2020,1979
04.05.2020,1949
05.05.2020,1937
06.05.2020,1884
07.05.2020,1823
08.05.2020,1712
09.05.2020,1650
10.05.2020,1581
11.05.2020,1576
12.05.2020,1539
13.05.2020,1465
14.05.2020,1329
15.05.2020,1294
16.05.2020,1203
17.05.2020,1166
18.05.2020,1133
19.05.2020,1115
20.05.2020,1045
21.05.2020,1016
22.05.2020,965
23.05.2020,919
24.05.2020,889
25.05.2020,873
26.05.2020,821
27.05.2020,763
28.05.2020,744
29.05.2020,729
30.05.2020,720
31.05.2020,702
01.06.2020,677
02.06.2020,689
03.06.2020,632
04.06.2020,600
05.06.2020,595
06.06.2020,576
07.06.2020,568
08.06.2020,540
09.06.2020,533
10.06.2020,492
11.06.2020,463
12.06.2020,447
13.06.2020,440
14.06.2020,422
15.06.2020,425
16.06.2020,419
17.06.2020,406
18.06.2020,396
19.06.2020,376
20.06.2020,361
21.06.2020,342
22.06.2020,349
23.06.2020,337
24.06.2020,331
25.06.2020,360
26.06.2020,364
27.06.2020,345
28.06.2020,338
29.06.2020,332
30.06.2020,337
01.07.2020,329
02.07.2020,327
03.07.2020,318
04.07.2020,322
05.07.2020,298
06.07.2020,305
07.07.2020,298
08.07.2020,292
09.07.2020,275
10.07.2020,278
11.07.2020,252
12.07.2020,253
13.07.2020,264
14.07.2020,266
15.07.2020,248
16.07.2020,255
17.07.2020,249
18.07.2020,247
19.07.2020,249
20.07.2020,246
21.07.2020,254
22.07.2020,250
23.07.2020,239
24.07.2020,237
25.07.2020,249
26.07.2020,269
27.07.2020,261
28.07.2020,258
29.07.2020,261
30.07.2020,266
31.07.2020,265
01.08.2020,261
02.08.2020,272
03.08.2020,270
04.08.2020,230
05.08.2020,239
06.08.2020,236
07.08.2020,230
08.08.2020,231
09.08.2020,236
10.08.2020,230
11.08.2020,234
12.08.2020,224
13.08.2020,224
14.08.2020,230
15.08.2020,227
16.08.2020,224
17.08.2020,228
18.08.2020,227
19.08.2020,228
20.08.2020,231
21.08.2020,236
22.08.2020,233
23.08.2020,245
24.08.2020,245
25.08.2020,223
26.08.2020,228
27.08.2020,241
28.08.2020,236
29.08.2020,241
30.08.2020,245
31.08.2020,246
01.09.2020,235
02.09.2020,228
03.09.2020,223
04.09.2020,225
05.09.2020,223
06.09.2020,218
07.09.2020,228
08.09.2020,230
09.09.2020,227
10.09.2020,233
11.09.2020,220
12.09.2020,233
13.09.2020,236
14.09.2020,237
15.09.2020,236
16.09.2020,233
17.09.2020,238
18.09.2020,246
19.09.2020,257
20.09.2020,268
21.09.2020,267
22.09.2020,278
23.09.2020,293
24.09.2020,296
25.09.2020,304
26.09.2020,312
27.09.2020,325
28.09.2020,353
29.09.2020,352
30.09.2020,355
01.10.2020,362
02.10.2020,373
03.10.2020,404
04.10.2020,424
05.10.2020,447
06.10.2020,449
07.10.2020,470
08.10.2020,487
09.10.2020,510
10.10.2020,532
11.10.2020,545
12.10.2020,590
13.10.2020,618
14.10.2020,602
15.10.2020,655
16.10.2020,690
17.10.2020,730
18.10.2020,769
19.10.2020,851
20.10.2020,879
21.10.2020,943
22.10.2020,1030
23.10.2020,1121
24.10.2020,1203
25.10.2020,1296
26.10.2020,1362
27.10.2020,1470
28.10.2020,1569
29.10.2020,1696
30.10.2020,1839
31.10.2020,1944
01.11.2020,2061
02.11.2020,2243
03.11.2020,2388
04.11.2020,2546
05.11.2020,2653
06.11.2020,2753
07.11.2020,2839
08.11.2020,2904
09.11.2020,3005
10.11.2020,3059
11.11.2020,3127
12.11.2020,3186
13.11.2020,3299
14.11.2020,3325
15.11.2020,3385
16.11.2020,3436
17.11.2020,3517
18.11.2020,3561
19.11.2020,3588
20.11.2020,3615
21.11.2020,3630
22.11.2020,3709
23.11.2020,3742
24.11.2020,3770
25.11.2020,3781
26.11.2020,3826
27.11.2020,3854
28.11.2020,3888
29.11.2020,3901
30.11.2020,3926
01.12.2020,3919
02.12.2020,3957
03.12.2020,3980
04.12.2020,4011
05.12.2020,4051
06.12.2020,4108
07.12.2020,4179
08.12.2020,4257
09.12.2020,4278
10.12.2020,4339
11.12.2020,4432
12.12.2020,4491
13.12.2020,4552
14.12.2020,4670
15.12.2020,4735
16.12.2020,4836
17.12.2020,4856
18.12.2020,4899
19.12.2020,4939
20.12.2020,5022
21.12.2020,5167
22.12.2020,5216
23.12.2020,5243
24.12.2020,5354
25.12.2020,5388
26.12.2020,5535
27.12.2020,5562
28.12.2020,5597
29.12.2020,5649
30.12.2020,5648
31.12.2020,5639
01.01.2021,5598
02.01.2021,5726
03.01.2021,5762
04.01.2021,5744
05.01.2021,5678
06.01.2021,5569
07.01.2021,5491
08.01.2021,5484
09.01.2021,5414
10.01.2021,5320
11.01.2021,5289
12.01.2021,5230
13.01.2021,5185
14.01.2021,5125
15.01.2021,5074
16.01.2021,5015
17.01.2021,4971
18.01.2021,5003
19.01.2021,4947
20.01.2021,4836
21.01.2021,4787
22.01.2021,4768
23.01.2021,4660
24.01.2021,4628
25.01.2021,4619
26.01.2021,4571
27.01.2021,4501
28.01.2021,4437
29.01.2021,4375
30.01.2021,4352
31.01.2021,4348
01.02.2021,4322
02.02.2021,4264
03.02.2021,4222
04.02.2021,4178
05.02.2021,4072
06.02.2021,3965
07.02.2021,3933
08.02.2021,3957
09.02.2021,3846
10.02.2021,3736
11.02.2021,3675
12.02.2021,3552
13.02.2021,3488
14.02.2021,3427
15.02.2021,3439
16.02.2021,3352
17.02.2021,3251
18.02.2021,3177
19.02.2021,3121
20.02.2021,3079
21.02.2021,3057
22.02.2021,3060
23.02.2021,3037
24.02.2021,2955
25.02.2021,2898
26.02.2021,2848
27.02.2021,2827
28.02.2021,2840
01.03.2021,2869
02.03.2021,2854
03.03.2021,2823
04.03.2021,2813
05.03.2021,2765
06.03.2021,2751
07.03.2021,2786
08.03.2021,2865
09.03.2021,2785
10.03.2021,2736
11.03.2021,2759
12.03.2021,2754
13.03.2021,2721
14.03.2021,2775
15.03.2021,2833
16.03.2021,2851
17.03.2021,2859
18.03.2021,2895
19.03.2021,2951
20.03.2021,2956
21.03.2021,3056
22.03.2021,3145
23.03.2021,3171
24.03.2021,3209
25.03.2021,3260
26.03.2021,3334
27.03.2021,3390
28.03.2021,3457
29.03.2021,3573
30.03.2021,3595
31.03.2021,3680
01.04.2021,3729
02.04.2021,3849
03.04.2021,3918
04.04.2021,4051
05.04.2021,4144
06.04.2021,4355
07.04.2021,4439
08.04.2021,4474
09.04.2021,4515
10.04.2021,4532
11.04.2021,4585
12.04.2021,4662
13.04.2021,4688
14.04.2021,4680
15.04.2021,4679
16.04.2021,4740
17.04.2021,4786
18.04.2021,4842
19.04.2021,4932
20.04.2021,4966
21.04.2021,4987
22.04.2021,5049
23.04.2021,5054
24.04.2021,5022
25.04.2021,5053
26.04.2021,5122
27.04.2021,5063
28.04.2021,5047
29.04.2021,5030
30.04.2021,5015
01.05.2021,5009
02.05.2021,5029
03.05.2021,5011
04.05.2021,4955
05.05.2021,4838
06.05.2021,4768
07.05.2021,4669
08.05.2021,4610
09.05.2021,4586
10.05.2021,4599
11.05.2021,4461
12.05.2021,4376
13.05.2021,4256
14.05.2021,4182
15.05.2021,4089
16.05.2021,4123
17.05.2021,4015
18.05.2021,3879
19.05.2021,3708
20.05.2021,3594
21.05.2021,3477
22.05.2021,3359
23.05.2021,3304
24.05.2021,3237
25.05.2021,3180
26.05.2021,3002
27.05.2021,2836
28.05.2021,2702
29.05.2021,2592
30.05.2021,2515
31.05.2021,2450
01.06.2021,2289
02.06.2021,2147
03.06.2021,2036
04.06.2021,1970
05.06.2021,1896
06.06.2021,1854
07.06.2021,1796
08.06.2021,1700
09.06.2021,1598
10.06.2021,1510
11.06.2021,1420
12.06.2021,1345
13.06.2021,1336
14.06.2021,1280
15.06.2021,1210
16.06.2021,1134
17.06.2021,1068
18.06.2021,1011
19.06.2021,964
20.06.2021,930
21.06.2021,889
22.06.2021,850
23.06.2021,813
24.06.2021,781
25.06.2021,736
26.06.2021,712
27.06.2021,705
28.06.2021,693
29.06.2021,666
30.06.2021,614
01.07.2021,590
02.07.2021,562
03.07.2021,546
04.07.2021,546
