,7-Tage-Inzidenz
11.03.2020,2
12.03.2020,3
13.03.2020,4
14.03.2020,6
15.03.2020,7
16.03.2020,9
17.03.2020,12
18.03.2020,15
19.03.2020,18
20.03.2020,22
21.03.2020,24
22.03.2020,26
23.03.2020,28
24.03.2020,30
25.03.2020,32
26.03.2020,35
27.03.2020,37
28.03.2020,40
29.03.2020,41
30.03.2020,42
31.03.2020,43
01.04.2020,44
02.04.2020,45
03.04.2020,46
04.04.2020,45
05.04.2020,45
06.04.2020,44
07.04.2020,43
08.04.2020,43
09.04.2020,40
10.04.2020,38
11.04.2020,35
12.04.2020,33
13.04.2020,32
14.04.2020,29
15.04.2020,26
16.04.2020,24
17.04.2020,23
18.04.2020,22
19.04.2020,22
20.04.2020,20
21.04.2020,20
22.04.2020,19
23.04.2020,18
24.04.2020,16
25.04.2020,15
26.04.2020,14
27.04.2020,14
28.04.2020,14
29.04.2020,13
30.04.2020,12
01.05.2020,11
02.05.2020,10
03.05.2020,9
04.05.2020,9
05.05.2020,8
06.05.2020,8
07.05.2020,8
08.05.2020,8
09.05.2020,8
10.05.2020,8
11.05.2020,8
12.05.2020,8
13.05.2020,7
14.05.2020,7
15.05.2020,6
16.05.2020,6
17.05.2020,6
18.05.2020,6
19.05.2020,6
20.05.2020,5
21.05.2020,5
22.05.2020,5
23.05.2020,5
24.05.2020,4
25.05.2020,4
26.05.2020,4
27.05.2020,4
28.05.2020,4
29.05.2020,4
30.05.2020,4
31.05.2020,4
01.06.2020,4
02.06.2020,3
03.06.2020,3
04.06.2020,3
05.06.2020,3
06.06.2020,2
07.06.2020,2
08.06.2020,2
09.06.2020,2
10.06.2020,2
11.06.2020,2
12.06.2020,2
13.06.2020,2
14.06.2020,3
15.06.2020,3
16.06.2020,3
17.06.2020,4
18.06.2020,4
19.06.2020,4
20.06.2020,5
21.06.2020,5
22.06.2020,5
23.06.2020,5
24.06.2020,5
25.06.2020,4
26.06.2020,4
27.06.2020,4
28.06.2020,4
29.06.2020,4
30.06.2020,4
01.07.2020,4
02.07.2020,4
03.07.2020,3
04.07.2020,3
05.07.2020,3
06.07.2020,3
07.07.2020,3
08.07.2020,3
09.07.2020,3
10.07.2020,3
11.07.2020,3
12.07.2020,3
13.07.2020,3
14.07.2020,3
15.07.2020,3
16.07.2020,3
17.07.2020,3
18.07.2020,3
19.07.2020,4
20.07.2020,4
21.07.2020,4
22.07.2020,4
23.07.2020,4
24.07.2020,4
25.07.2020,4
26.07.2020,5
27.07.2020,5
28.07.2020,5
29.07.2020,5
30.07.2020,5
31.07.2020,6
01.08.2020,6
02.08.2020,6
03.08.2020,6
04.08.2020,6
05.08.2020,6
06.08.2020,7
07.08.2020,7
08.08.2020,7
09.08.2020,7
10.08.2020,7
11.08.2020,8
12.08.2020,8
13.08.2020,8
14.08.2020,9
15.08.2020,9
16.08.2020,9
17.08.2020,10
18.08.2020,10
19.08.2020,11
20.08.2020,11
21.08.2020,11
22.08.2020,11
23.08.2020,12
24.08.2020,11
25.08.2020,11
26.08.2020,11
27.08.2020,11
28.08.2020,11
29.08.2020,11
30.08.2020,10
31.08.2020,10
01.09.2020,10
02.09.2020,10
03.09.2020,10
04.09.2020,10
05.09.2020,10
06.09.2020,10
07.09.2020,11
08.09.2020,11
09.09.2020,11
10.09.2020,11
11.09.2020,11
12.09.2020,12
13.09.2020,12
14.09.2020,12
15.09.2020,12
16.09.2020,13
17.09.2020,13
18.09.2020,14
19.09.2020,14
20.09.2020,14
21.09.2020,15
22.09.2020,15
23.09.2020,15
24.09.2020,15
25.09.2020,15
26.09.2020,15
27.09.2020,16
28.09.2020,16
29.09.2020,16
30.09.2020,16
01.10.2020,17
02.10.2020,18
03.10.2020,18
04.10.2020,18
05.10.2020,19
06.10.2020,20
07.10.2020,22
08.10.2020,24
09.10.2020,27
10.10.2020,28
11.10.2020,30
12.10.2020,32
13.10.2020,34
14.10.2020,37
15.10.2020,40
16.10.2020,44
17.10.2020,46
18.10.2020,49
19.10.2020,51
20.10.2020,54
21.10.2020,60
22.10.2020,66
23.10.2020,73
24.10.2020,79
25.10.2020,85
26.10.2020,92
27.10.2020,99
28.10.2020,107
29.10.2020,114
30.10.2020,121
31.10.2020,125
01.11.2020,128
02.11.2020,133
03.11.2020,137
04.11.2020,141
05.11.2020,145
06.11.2020,148
07.11.2020,152
08.11.2020,153
09.11.2020,153
10.11.2020,154
11.11.2020,154
12.11.2020,157
13.11.2020,158
14.11.2020,157
15.11.2020,157
16.11.2020,155
17.11.2020,154
18.11.2020,155
19.11.2020,155
20.11.2020,155
21.11.2020,155
22.11.2020,156
23.11.2020,155
24.11.2020,155
25.11.2020,155
26.11.2020,152
27.11.2020,151
28.11.2020,150
29.11.2020,148
30.11.2020,148
01.12.2020,148
02.12.2020,147
03.12.2020,149
04.12.2020,151
05.12.2020,154
06.12.2020,156
07.12.2020,157
08.12.2020,160
09.12.2020,164
10.12.2020,171
11.12.2020,176
12.12.2020,182
13.12.2020,185
14.12.2020,189
15.12.2020,193
16.12.2020,199
17.12.2020,202
18.12.2020,206
19.12.2020,209
20.12.2020,212
