Altersgruppe,2020_10,2020_11,2020_12,2020_13,2020_14,2020_15,2020_16,2020_17,2020_18,2020_19,2020_20,2020_21,2020_22,2020_23,2020_24,2020_25,2020_26,2020_27,2020_28,2020_29,2020_30,2020_31,2020_32,2020_33,2020_34,2020_35,2020_36,2020_37,2020_38,2020_39,2020_40,2020_41,2020_42,2020_43,2020_44,2020_45,2020_46,2020_47,2020_48,2020_49,2020_50,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24,2021_25,2021_26,2021_27,2021_28,2021_29,2021_30,2021_31,2021_32,2021_33,2021_34,2021_35,2021_36,2021_37,2021_38,2021_39,2021_40,2021_41,2021_42,2021_43
Gesamt,899,6432,22389,33964,36052,27130,17326,12349,7427,6235,4759,3597,3204,2351,2341,4190,3155,2686,2422,3025,3924,4832,6059,7953,9595,8827,8613,9759,12290,13062,15924,26110,42062,74873,111022,125726,127782,128358,123158,128359,156292,174700,138950,123069,145439,118887,95519,78123,64552,50802,52382,56347,58371,71309,92581,116267,110096,118267,142060,144758,124791,100982,70819,52697,29870,20673,14029,7266,4817,4354,5568,9092,12626,15491,20396,32047,49609,66311,74666,71644,61411,53570,56425,57884,65152,97210,134857
90+,1,13,102,424,1170,1243,849,582,284,205,141,103,72,42,46,37,28,24,14,27,17,39,29,25,18,28,24,45,74,94,119,182,437,887,1462,1720,2310,3063,3516,4193,5402,5969,5237,4980,5402,5019,3942,2873,1933,1298,1062,826,610,608,638,661,623,717,791,796,636,541,408,277,160,129,65,44,10,6,17,20,25,56,66,127,139,226,336,350,393,334,327,396,523,894,1151
85 - 89,6,38,218,735,1451,1421,924,681,324,262,179,125,85,51,51,47,33,28,20,25,34,41,39,56,23,33,25,85,101,121,165,307,575,1151,1786,2283,2831,3376,4092,4598,5907,6937,5820,5584,6066,5556,4440,3322,2578,1649,1461,1203,964,938,1110,1260,1193,1071,1201,1177,990,855,619,434,236,158,90,50,41,26,30,41,50,65,85,147,221,332,437,508,518,452,529,587,720,1317,1653
80 - 84,12,84,469,1278,1964,1719,1175,818,452,298,246,154,113,76,61,62,51,49,37,37,51,90,70,81,64,50,60,132,196,212,315,471,857,1839,2835,3434,3797,4359,4770,5445,7074,8255,7405,6865,7668,6686,5329,4193,3141,2291,1994,1778,1550,1637,1794,2130,1893,1960,2219,2023,1594,1365,921,693,382,209,155,63,40,38,46,49,75,110,174,230,296,475,676,825,790,662,903,984,1155,1967,2889
75 - 79,24,113,571,1402,1788,1314,855,588,349,274,174,105,82,58,46,65,58,40,40,44,57,71,55,71,67,69,75,147,180,233,308,504,903,1631,2645,3054,3283,3381,3483,3967,5003,5936,5103,4638,5214,4310,3408,2814,2195,1700,1714,1570,1364,1425,1894,2222,2175,2352,2707,2489,2121,1663,1140,773,409,251,155,58,50,46,45,48,64,100,122,227,287,411,543,593,564,563,712,738,952,1622,2445
70 - 74,11,146,620,1328,1412,1042,631,423,274,207,128,94,80,47,40,57,40,37,57,62,63,89,91,79,97,92,105,151,260,267,351,584,934,1805,2881,3187,3305,3354,3189,3480,4385,5157,4445,4128,4838,3664,3052,2480,2062,1575,1600,1644,1555,1808,2376,2840,2902,3143,3611,3371,2877,2303,1592,1082,583,342,213,113,71,67,59,67,102,168,172,298,392,617,738,819,757,692,859,1022,1153,2005,3129
65 - 69,25,236,884,1647,1688,1115,657,501,265,209,146,122,106,60,51,69,66,62,62,71,84,86,121,110,122,129,127,224,289,305,450,687,1282,2264,3551,4264,4014,4154,4132,4118,5172,6349,5586,4977,5729,4416,3624,3128,2537,1914,2041,2120,1994,2302,3191,3900,3964,4308,4912,4628,3972,3292,2319,1616,771,592,319,134,103,77,93,114,159,240,283,404,592,812,995,1107,1051,984,1092,1387,1569,2587,3854
60 - 64,63,429,1597,2523,2779,1787,1085,673,405,332,240,175,169,106,91,121,106,112,94,110,152,151,204,193,237,243,249,339,489,542,680,1273,2122,3960,5987,6853,6928,7298,7004,7654,9433,11036,9180,8264,9283,7551,6237,5123,4215,3187,3246,3515,3419,4120,5307,6573,6406,6875,7599,7757,6794,5530,3731,2650,1345,850,558,283,154,155,168,235,294,397,475,712,980,1485,1836,1880,1708,1643,1813,2149,2550,4244,6118
55 - 59,76,749,2587,3593,3665,2603,1564,1061,598,509,359,263,237,142,133,193,196,156,116,178,242,288,308,325,431,357,394,554,760,867,1107,1873,3002,5757,8973,10167,10294,10259,9876,10384,13046,15004,12390,11093,12323,10031,8335,7011,5806,4507,4603,4839,4637,5712,7266,9093,8946,9680,10667,11021,9926,7816,5323,3576,1928,1256,794,364,244,230,244,367,545,580,786,1246,1802,2401,2713,2890,2599,2490,2761,3027,3593,5942,8417
50 - 54,133,980,3088,3999,3700,2606,1561,987,599,521,373,251,241,150,146,328,258,186,171,208,292,352,415,472,559,538,549,669,899,995,1203,2269,3580,6421,9767,10964,10997,10841,10332,10553,13260,14918,11982,10529,12105,9812,8179,6675,5306,4311,4498,4751,4947,5905,7534,9353,9124,9954,11114,11642,10144,8013,5477,3775,2054,1353,824,440,298,226,289,453,622,821,974,1643,2535,3334,3725,3693,3325,2893,3298,3466,4200,6549,9071
45 - 49,99,748,2098,2916,2710,1915,1172,785,469,448,332,254,214,162,144,384,269,217,182,233,334,386,456,575,693,606,613,695,877,897,1202,2036,3121,5820,8399,9479,9286,9674,9057,9238,11097,12445,9745,8552,9792,7954,6490,5303,4487,3552,3773,4048,4291,5187,6516,8160,7998,8771,10169,10669,9025,7443,5080,3586,2078,1307,873,471,274,260,332,437,689,910,1177,1951,3102,4108,4627,4540,3788,3336,3500,3803,4320,6586,8909
40 - 44,85,566,1800,2320,2308,1674,1019,698,454,403,357,241,212,175,158,461,266,216,188,251,321,433,489,639,717,659,647,685,844,862,1052,1869,2905,5308,7884,8876,8996,9244,8808,8818,10904,11991,9511,8030,9549,7557,6232,5120,4275,3463,3591,4134,4274,5345,6983,9085,8325,9281,10726,10826,9574,7731,5333,3983,2204,1596,1077,530,355,270,345,505,734,989,1444,2353,3758,5186,5694,5423,4452,3904,4201,4388,5023,7550,10411
35 - 39,67,548,1752,2384,2203,1650,982,761,465,424,351,274,242,155,194,388,296,224,203,253,358,383,515,642,760,716,645,699,906,1008,1153,1823,3099,5388,8082,8957,9191,9198,8719,9146,10994,12230,9522,8079,10147,8006,6343,5196,4460,3593,3708,4182,4575,5760,7588,9461,8986,9484,11268,11279,10016,7969,5623,4221,2412,1692,1100,546,362,339,380,647,907,1167,1593,2444,3768,5266,5999,5798,4817,4240,4540,4717,5338,7610,10389
30 - 34,69,536,2049,2635,2419,1742,1206,900,563,486,394,315,269,207,223,420,324,259,259,300,382,423,516,709,945,859,937,940,1207,1303,1522,2359,3858,6716,9574,10474,10484,10085,9364,9472,11523,13028,10046,9193,11600,9043,7019,5761,4909,3905,4114,4528,4892,6017,7894,9870,9511,10138,12014,11856,10454,8275,5868,4537,2745,1750,1184,632,417,428,582,869,1307,1512,2077,3048,4384,5978,6585,6225,5102,4604,4770,4803,5357,8009,10575
25 - 29,76,549,1995,2689,2485,1935,1287,996,681,522,391,346,314,222,242,399,321,314,229,309,410,510,604,839,1193,1222,1162,1226,1480,1436,1747,2686,4472,7324,10344,11151,10683,9917,8996,9149,10780,12106,9430,8423,10774,8536,6393,5337,4486,3659,3908,4151,4266,5468,7013,8402,8376,9214,10901,10793,9217,7451,5177,3944,2456,1598,1108,619,464,494,789,1328,1734,1952,2403,3592,5024,6323,6288,6064,4895,4114,4248,4286,4902,7218,9218
20 - 24,70,321,1446,2269,2241,1727,1226,958,592,507,419,313,288,227,251,383,254,256,234,300,377,521,747,1159,1545,1329,1247,1284,1514,1584,1735,2790,4386,7566,10410,11729,11029,10201,8941,9179,10791,12094,9071,8587,10888,8537,6434,5240,4377,3665,3946,4199,4401,5423,6902,8551,8505,9802,11551,11268,9622,7833,5587,4180,2413,1734,1202,626,439,553,885,1505,2091,2330,2793,4429,5790,6889,6837,6224,4958,4120,4086,4151,4947,7222,9229
15 - 19,44,181,537,934,1074,858,570,403,264,259,184,152,160,161,112,247,165,137,149,193,246,365,544,741,883,836,768,828,1040,1046,1331,2069,2957,4862,7191,8409,8715,8211,7460,7714,8820,8473,5878,4955,6381,5388,4200,3471,2919,2377,2618,3071,3212,4106,5538,7187,6609,7549,10820,10338,8658,7053,4939,3883,2238,1720,1232,681,443,414,580,1289,1615,1844,2370,3506,5571,6974,7778,6854,5646,4625,4573,4541,4880,6931,9671
10-14,19,102,253,380,430,302,234,188,136,126,117,107,120,104,119,192,146,105,102,146,191,252,365,545,575,482,434,498,518,584,712,1140,1653,2745,4085,4782,5349,5298,5185,5155,5687,5285,3385,2652,3330,2715,2229,1880,1726,1409,1570,1878,2310,2868,4183,5729,4851,5179,7658,8737,7173,6124,4569,3763,2162,1580,1320,663,449,311,297,533,783,998,1490,2607,5367,6925,8414,7739,7309,6283,6652,6493,6826,8893,13183
5-9,10,56,169,249,291,237,163,155,120,105,111,79,112,99,123,177,139,121,115,137,151,198,285,410,380,353,318,325,356,390,433,621,972,1842,2793,3364,3613,3918,3820,3679,4259,4305,3022,1942,2393,2193,1904,1642,1602,1390,1550,2004,2726,3679,4762,6698,5192,4699,6996,8420,6873,5567,4117,3416,1876,1527,1142,566,345,241,208,324,479,726,1153,1841,3719,5590,7005,6590,5883,5284,5348,5077,5076,7347,10914
0 - 4,9,35,143,254,270,237,158,186,133,138,116,122,87,107,110,159,135,143,147,140,161,150,188,276,284,222,227,226,290,298,327,522,890,1457,2227,2413,2411,2380,2316,2300,2657,3090,2106,1524,1900,1856,1694,1528,1511,1346,1375,1885,2370,2991,4048,5023,4466,4025,5087,5574,5059,4112,2967,2299,1409,1022,614,381,257,173,179,258,347,522,756,1234,1867,2955,3417,3498,2836,2330,2202,1848,2008,2687,3525
