ID,Region,Bewohner
01001,Flensburg,90164
01002,Kiel,246794
01003,Lübeck,216530
01004,Neumünster,80196
01051,Dithmarschen,133193
01053,Herzogtum Lauenburg,198019
01054,Nordfriesland,165951
01055,Ostholstein,200539
01056,Pinneberg,316103
01057,Plön,128686
01058,Rendsburg-Eckernförde,274098
01059,Schleswig-Flensburg,201156
01060,Segeberg,277175
01061,Steinburg,131013
01062,Stormarn,244156
02000,Hamburg,1847253
03101,Braunschweig,249406
03102,Salzgitter,104291
03103,Wolfsburg,124371
03151,Gifhorn,176523
03153,Goslar,136292
03154,Helmstedt,91297
03155,Northeim,132285
03157,Peine,134801
03158,Wolfenbüttel,119622
03159,Göttingen,326041
03241,Region Hannover,1157115
03251,Diepholz,217089
03252,Hameln-Pyrmont,148549
03254,Hildesheim,275817
03255,Holzminden,70458
03256,Nienburg (Weser),121390
03257,Schaumburg,157820
03351,Celle,179011
03352,Cuxhaven,198038
03353,Harburg,254431
03354,Lüchow-Dannenberg,48412
03355,Lüneburg,184139
03356,Osterholz,113928
03357,Rotenburg (Wümme),163782
03358,Heidekreis,140673
03359,Stade,204512
03360,Uelzen,92389
03361,Verden,137133
03401,Delmenhorst,77559
03402,Emden,49913
03403,Oldenburg (Oldb),169077
03404,Osnabrück,165251
03405,Wilhelmshaven,76089
03451,Ammerland,124859
03452,Aurich,189694
03453,Cloppenburg,170682
03454,Emsland,326954
03455,Friesland,98704
03456,Grafschaft Bentheim,137162
03457,Leer,170756
03458,Oldenburg,130890
03459,Osnabrück (Landkreis),358080
03460,Vechta,142814
03461,Wesermarsch,88583
03462,Wittmund,56926
04011,Bremen,567559
04012,Bremerhaven,113643
05111,Düsseldorf,621877
05112,Duisburg,498686
05113,Essen,582760
05114,Krefeld,227417
05116,Mönchengladbach,261034
05117,Mülheim an der Ruhr,170632
05119,Oberhausen,210764
05120,Remscheid,111338
05122,Solingen,159245
05124,Wuppertal,355100
05154,Kleve,312465
05158,Mettmann,485570
05162,Rhein-Kreis Neuss,451730
05166,Viersen,298863
05170,Wesel,459976
05314,Bonn,329673
05315,Köln,1087863
05316,Leverkusen,163729
05334,Städteregion Aachen,557026
05358,Düren,264638
05362,Rhein-Erft-Kreis,470615
05366,Euskirchen,193656
05370,Heinsberg,255555
05374,Oberbergischer Kreis,272057
05378,Rheinisch-Bergischer Kreis,283271
05382,Rhein-Sieg-Kreis,600764
05512,Bottrop,117565
05513,Gelsenkirchen,259645
05515,Münster,315293
05554,Borken,371339
05558,Coesfeld,220586
05562,Recklinghausen,614137
05566,Steinfurt,448220
05570,Warendorf,277840
05711,Bielefeld,334195
05754,Gütersloh,364938
05758,Herford,250578
05762,Höxter,140251
05766,Lippe,347514
05770,Minden-Lübbecke,310409
05774,Paderborn,307839
05911,Bochum,365587
05913,Dortmund,588250
05914,Hagen,188686
05915,Hamm,179916
05916,Herne,156449
05954,Ennepe-Ruhr-Kreis,324106
05958,Hochsauerlandkreis,259777
05962,Märkischer Kreis,410222
05966,Olpe,133955
05970,Siegen-Wittgenstein,276944
05974,Soest,301785
05978,Unna,394891
06411,Darmstadt,159878
06412,Frankfurt am Main,763380
06413,Offenbach am Main,130280
06414,Wiesbaden,278474
06431,Bergstraße,270340
06432,Darmstadt-Dieburg,297844
06433,Groß-Gerau,275726
06434,Hochtaunuskreis,236914
06435,Main-Kinzig-Kreis,420552
06436,Main-Taunus-Kreis,238558
06437,Odenwaldkreis,96703
06438,Offenbach,355813
06439,Rheingau-Taunus-Kreis,187160
06440,Wetteraukreis,308339
06531,Gießen,270688
06532,Lahn-Dill-Kreis,253319
06533,Limburg-Weilburg,171912
06534,Marburg-Biedenkopf,247084
06535,Vogelsbergkreis,105643
06611,Kassel,202137
06631,Fulda,223145
06632,Hersfeld-Rotenburg,120719
06633,Kassel (Landkreis),236764
06634,Schwalm-Eder-Kreis,179673
06635,Waldeck-Frankenberg,156406
06636,Werra-Meißner-Kreis,100629
07111,Koblenz,114052
07131,Ahrweiler,130086
07132,Altenkirchen (Westerwald),128805
07133,Bad Kreuznach,158345
07134,Birkenfeld,80951
07135,Cochem-Zell,61375
07137,Mayen-Koblenz,214434
07138,Neuwied,182811
07140,Rhein-Hunsrück-Kreis,103163
07141,Rhein-Lahn-Kreis,122297
07143,Westerwaldkreis,201904
07211,Trier,111528
07231,Bernkastel-Wittlich,112483
07232,Eifelkreis Bitburg-Prüm,99058
07233,Vulkaneifel,60646
07235,Trier-Saarburg,149398
07311,Frankenthal (Pfalz),48762
07312,Kaiserslautern,100030
07313,Landau in der Pfalz,46881
07314,Ludwigshafen am Rhein,172253
07315,Mainz,218578
07316,Neustadt an der Weinstraße,53264
07317,Pirmasens,40231
07318,Speyer,50561
07319,Worms,83542
07320,Zweibrücken,34193
07331,Alzey-Worms,129687
07332,Bad Dürkheim,132671
07333,Donnersbergkreis,75325
07334,Germersheim,129013
07335,Kaiserslautern (Landkreis),105979
07336,Kusel,70219
07337,Südliche Weinstraße,110521
07338,Rhein-Pfalz-Kreis,154609
07339,Mainz-Bingen,211417
07340,Südwestpfalz,94831
08111,Stuttgart,635911
08115,Böblingen,392807
08116,Esslingen,535024
08117,Göppingen,258145
08118,Ludwigsburg,545423
08119,Rems-Murr-Kreis,427248
