name,country_code,url,flag_url,description,rating,weight,rating_name,color
Argentina,ARG,/countries/argentina/,/static/countries/flags/4x3/ar.svg,,2,2,Highly insufficient,RED
Australia,AUS,/countries/australia/,/static/countries/flags/4x3/au.svg,,2,2,Highly insufficient,RED
EU,AUT,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,BEL,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
Bhutan,BTN,/countries/bhutan/,/static/countries/flags/4x3/bt.svg,,0,0,No rating,black
Brazil,BRA,/countries/brazil/,/static/countries/flags/4x3/br.svg,,2,2,Highly insufficient,RED
EU,BGR,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
Canada,CAN,/countries/canada/,/static/countries/flags/4x3/ca.svg,,2,2,Highly insufficient,RED
Chile,CHL,/countries/chile/,/static/countries/flags/4x3/cl.svg,,3,3,Insufficient,ORANGE
China,CHN,/countries/china/,/static/countries/flags/4x3/cn.svg,,2,2,Highly insufficient,RED
Colombia,COL,/countries/colombia/,/static/countries/flags/4x3/co.svg,,2,2,Highly insufficient,RED
Costa Rica,CRI,/countries/costa-rica/,/static/countries/flags/4x3/cr.svg,,4,4,Almost Sufficient,YELLOW
EU,HRV,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,CYP,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,CZE,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,DNK,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,EST,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
Ethiopia,ETH,/countries/ethiopia/,/static/countries/flags/4x3/et.svg,,4,4,Almost Sufficient,YELLOW
EU,,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,FIN,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
EU,FRA,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
Gabon,GAB,/countries/gabon/,/static/countries/flags/4x3/ga.svg,,0,0,No rating,black
Germany,DEU,/countries/germany/,/static/countries/flags/4x3/de.svg,,3,3,Insufficient,ORANGE
EU,GRC,/countries/eu/,/static/countries/flags/4x3/eu.svg,,3,3,Insufficient,ORANGE
