Country,Land,Flagge,Bestätigt,Verdacht,Total
Spain,Spanien,🇪🇸,41,65,107
United Kingdom,Vereinigtes Königreich,🇬🇧,56,0,56
Portugal,Portugal,🇵🇹,37,0,37
Canada,Kanada,🇨🇦,5,18,23
United States,Vereinigte Staaten,🇺🇸,2,5,7
Netherlands,Niederlande,🇳🇱,6,0,6
Germany,Deutschland,🇩🇪,6,0,6
Italy,Italien,🇮🇹,4,0,4
Belgium,Belgien,🇧🇪,4,0,4
France,Frankreich,🇫🇷,3,1,4
Morocco,Marokko,🇲🇦,0,3,3
Israel,Israel,🇮🇱,1,0,2
Australia,Australien,🇦🇺,2,0,2
Greece,Griechenland,🇬🇷,0,0,1
Denmark,Dänemark,🇩🇰,1,0,1
Czechia,Czechia,🇨🇿,1,0,1
Slovenia,Slowenien,🇸🇮,1,0,1
Austria,Österreich,🇦🇹,1,0,1
Sweden,Schweden,🇸🇪,1,0,1
Switzerland,Schweiz,🇨🇭,1,0,1
United Kingdom,Vereinigtes Königreich,🇬🇧,1,0,1
Argentina,Argentinien,🇦🇷,0,1,1
