date,Benzin,Diesel
2022-01-01,1.77,1.82
2022-01-02,1.77,1.82
2022-01-03,1.77,1.82
2022-01-04,1.77,1.82
2022-01-05,1.77,1.82
2022-01-06,1.77,1.82
2022-01-07,1.77,1.82
2022-01-08,1.77,1.82
2022-01-09,1.77,1.82
2022-01-10,1.77,1.82
2022-01-11,1.77,1.82
2022-01-12,1.77,1.82
2022-01-13,1.77,1.82
2022-01-14,1.77,1.82
2022-01-15,1.77,1.82
2022-01-16,1.77,1.82
2022-01-17,1.77,1.82
2022-01-18,1.8,1.85
2022-01-19,1.8,1.85
2022-01-20,1.8,1.85
2022-01-21,1.8,1.85
2022-01-22,1.8,1.85
2022-01-23,1.8,1.85
2022-01-24,1.8,1.85
2022-01-25,1.8,1.85
2022-01-26,1.83,1.88
2022-01-27,1.83,1.88
2022-01-28,1.83,1.88
2022-01-29,1.83,1.88
2022-01-30,1.83,1.88
2022-01-31,1.83,1.88
2022-02-01,1.83,1.88
2022-02-02,1.83,1.88
2022-02-03,1.86,1.91
2022-02-04,1.86,1.91
2022-02-05,1.86,1.91
2022-02-06,1.86,1.91
2022-02-07,1.86,1.91
2022-02-08,1.86,1.91
2022-02-09,1.89,1.94
2022-02-10,1.89,1.94
2022-02-11,1.89,1.94
2022-02-12,1.89,1.94
2022-02-13,1.89,1.94
2022-02-14,1.89,1.94
2022-02-15,1.89,1.94
2022-02-16,1.89,1.94
2022-02-17,1.89,1.94
2022-02-18,1.89,1.94
2022-02-19,1.89,1.94
2022-02-20,1.89,1.94
2022-02-21,1.89,1.94
2022-02-22,1.89,1.94
2022-02-23,1.89,1.94
2022-02-24,1.89,1.94
2022-02-25,1.89,1.94
2022-02-26,1.89,1.94
2022-02-27,1.89,1.94
2022-02-28,1.89,1.94
2022-03-01,1.89,1.94
2022-03-02,1.92,2.01
2022-03-03,1.92,2.01
2022-03-04,1.98,2.1
2022-03-05,1.98,2.1
2022-03-06,1.98,2.1
2022-03-07,2.03,2.15
2022-03-08,2.03,2.15
2022-03-09,2.23,2.35
2022-03-10,2.23,2.35
2022-03-11,2.11,2.23
2022-03-12,2.11,2.23
2022-03-13,2.11,2.23
2022-03-14,2.11,2.23
2022-03-15,2.04,2.16
2022-03-16,2.04,2.16
2022-03-17,2.04,2.16
2022-03-18,2.04,2.16
2022-03-19,2.04,2.16
2022-03-20,2.04,2.16
2022-03-21,2.04,2.16
2022-03-22,2.12,2.24
2022-03-23,2.12,2.24
2022-03-24,2.12,2.24
2022-03-25,2.12,2.24
2022-03-26,2.12,2.24
2022-03-27,2.12,2.24
2022-03-28,2.12,2.24
2022-03-29,2.12,2.24
2022-03-30,2.12,2.24
2022-03-31,2.12,2.24
2022-04-01,2.12,2.24
2022-04-02,2.08,2.24
2022-04-03,2.08,2.24
2022-04-04,2.08,2.24
2022-04-05,2.08,2.24
2022-04-06,2.06,2.22
2022-04-07,2.06,2.22
2022-04-08,2.02,2.2
2022-04-09,2.02,2.2
2022-04-10,2.02,2.2
2022-04-11,2.02,2.2
2022-04-12,2.02,2.2
2022-04-13,2.02,2.2
2022-04-14,2.02,2.2
2022-04-15,2.02,2.2
2022-04-16,2.02,2.2
2022-04-17,2.02,2.2
2022-04-18,2.02,2.2
2022-04-19,2.02,2.2
2022-04-20,2.02,2.2
2022-04-21,2.04,2.23
2022-04-22,2.04,2.23
2022-04-23,2.04,2.23
2022-04-24,2.04,2.23
2022-04-25,2.04,2.23
2022-04-26,2.04,2.23
2022-04-27,2.04,2.23
2022-04-28,2.04,2.23
2022-04-29,2.04,2.23
2022-04-30,2.04,2.23
2022-05-01,2.04,2.23
2022-05-02,2.04,2.23
2022-05-03,2.04,2.23
2022-05-04,2.04,2.23
2022-05-05,2.07,2.27
2022-05-06,2.07,2.27
2022-05-07,2.07,2.27
2022-05-08,2.07,2.27
2022-05-09,2.07,2.27
2022-05-10,2.07,2.27
2022-05-11,2.07,2.27
2022-05-12,2.12,2.27
2022-05-13,2.12,2.27
2022-05-14,2.12,2.27
2022-05-15,2.12,2.27
2022-05-16,2.12,2.27
2022-05-17,2.12,2.27
2022-05-18,2.17,2.3
2022-05-19,2.17,2.3
2022-05-20,2.17,2.3
2022-05-21,2.17,2.3
2022-05-22,2.17,2.3
2022-05-23,2.17,2.3
2022-05-24,2.17,2.3
2022-05-25,2.17,2.3
2022-05-26,2.17,2.3
2022-05-27,2.17,2.3
2022-05-28,2.17,2.3
2022-05-29,2.17,2.3
2022-05-30,2.17,2.3
2022-05-31,2.17,2.3
2022-06-01,2.17,2.3
2022-06-02,2.24,2.3
2022-06-03,2.24,2.3
2022-06-04,2.24,2.3
2022-06-05,2.24,2.3
2022-06-06,2.24,2.3
2022-06-07,2.26,2.33
