Date,Jahresdurchschnitt 2019,2022
04.01.22,1.4005,1.648
05.01.22,1.4005,1.648
06.01.22,1.4005,1.648
07.01.22,1.4005,1.648
08.01.22,1.4005,1.648
09.01.22,1.4005,1.648
10.01.22,1.4005,1.648
11.01.22,1.4005,1.655
12.01.22,1.4005,1.655
13.01.22,1.4005,1.655
14.01.22,1.4005,1.655
15.01.22,1.4005,1.655
16.01.22,1.4005,1.655
17.01.22,1.4005,1.655
18.01.22,1.4005,1.672
19.01.22,1.4005,1.672
20.01.22,1.4005,1.672
21.01.22,1.4005,1.672
22.01.22,1.4005,1.672
23.01.22,1.4005,1.672
24.01.22,1.4005,1.672
25.01.22,1.4005,1.681
26.01.22,1.4005,1.681
27.01.22,1.4005,1.681
28.01.22,1.4005,1.681
29.01.22,1.4005,1.681
30.01.22,1.4005,1.681
31.01.22,1.4005,1.681
01.02.22,1.4005,1.712
02.02.22,1.4005,1.712
03.02.22,1.4005,1.712
04.02.22,1.4005,1.712
05.02.22,1.4005,1.712
06.02.22,1.4005,1.712
07.02.22,1.4005,1.712
08.02.22,1.4005,1.725
09.02.22,1.4005,1.725
10.02.22,1.4005,1.725
11.02.22,1.4005,1.725
12.02.22,1.4005,1.725
13.02.22,1.4005,1.725
14.02.22,1.4005,1.725
15.02.22,1.4005,1.745
16.02.22,1.4005,1.745
17.02.22,1.4005,1.745
18.02.22,1.4005,1.745
19.02.22,1.4005,1.745
20.02.22,1.4005,1.745
21.02.22,1.4005,1.739
22.02.22,1.4005,1.741
23.02.22,1.4005,1.75
24.02.22,1.4005,1.757
25.02.22,1.4005,1.797
26.02.22,1.4005,1.812
27.02.22,1.4005,1.811
28.02.22,1.4005,1.816
01.03.22,1.4005,1.827
02.03.22,1.4005,1.856
03.03.22,1.4005,1.892
04.03.22,1.4005,1.93
05.03.22,1.4005,1.957
06.03.22,1.4005,1.965
07.03.22,1.4005,2.008
08.03.22,1.4005,2.103
09.03.22,1.4005,2.174
10.03.22,1.4005,2.202
11.03.22,1.4005,2.2
12.03.22,1.4005,2.196
13.03.22,1.4005,2.199
14.03.22,1.4005,2.203
15.03.22,1.4005,2.192
16.03.22,1.4005,2.159
17.03.22,1.4005,2.127
18.03.22,1.4005,2.079
19.03.22,1.4005,2.085
20.03.22,1.4005,2.087
21.03.22,1.4005,2.087
22.03.22,1.4005,2.08
23.03.22,1.4005,2.082
24.03.22,1.4005,2.076
25.03.22,1.4005,2.07
26.03.22,1.4005,2.062
27.03.22,1.4005,2.065
28.03.22,1.4005,2.064
29.03.22,1.4005,2.048
30.03.22,1.4005,2.032
31.03.22,1.4005,2.022
01.04.22,1.4005,2.006
02.04.22,1.4005,2.006
03.04.22,1.4005,1.987
04.04.22,1.4005,1.9987
05.04.22,1.4005,1.99
06.04.22,1.4005,1.99
07.04.22,1.4005,1.987
08.04.22,1.4005,1.987
09.04.22,1.4005,1.962
10.04.22,1.4005,1.962
11.04.22,1.4005,1.962
12.04.22,1.4005,1.944
13.04.22,1.4005,1.944
14.04.22,1.4005,1.944
15.04.22,1.4005,1.944
16.04.22,1.4005,1.944
17.04.22,1.4005,1.944
18.04.22,1.4005,1.944
19.04.22,1.4005,1.944
20.04.22,1.4005,1.975
21.04.22,1.4005,1.975
22.04.22,1.4005,1.975
23.04.22,1.4005,1.975
24.04.22,1.4005,1.975
25.04.22,1.4005,1.975
26.04.22,1.4005,1.975
27.04.22,1.4005,1.954
28.04.22,1.4005,1.954
29.04.22,1.4005,1.954
30.04.22,1.4005,1.954
01.05.22,1.4005,1.954
02.05.22,1.4005,1.954
03.05.22,1.4005,1.954
04.05.22,1.4005,2.002
05.05.22,1.4005,2.002
06.05.22,1.4005,2.002
07.05.22,1.4005,2.002
08.05.22,1.4005,2.002
09.05.22,1.4005,2.002
10.05.22,1.4005,2.002
11.05.22,1.4005,2.002
12.05.22,1.4005,2.036
13.05.22,1.4005,2.03
14.05.22,1.4005,2.03
15.05.22,1.4005,2.03
16.05.22,1.4005,2.03
17.05.22,1.4005,2.03
18.05.22,1.4005,2.028
19.05.22,1.4005,2.028
20.05.22,1.4005,2.028
22.05.22,1.4005,2.09
23.05.22,1.4005,2.09
24.05.22,1.4005,2.09
25.05.22,1.4005,2.09
26.05.22,1.4005,2.09
27.05.22,1.4005,2.09
28.05.22,1.4005,2.09
29.05.22,1.4005,2.09
30.05.22,1.4005,2.09
31.05.22,1.4005,2.09
01.06.22,1.4005,2.151
03.06.22,1.4005,1.9
04.06.22,1.4005,1.9
05.06.22,1.4005,1.9
06.06.22,1.4005,1.9
07.06.22,1.4005,1.94
08.06.22,1.4005,1.95
09.06.22,1.4005,1.95
10.06.22,1.4005,1.95
11.06.22,1.4005,1.95
12.06.22,1.4005,1.95
13.06.22,1.4005,1.95
14.06.22,1.4005,1.95
15.06.22,1.4005,1.94
16.06.22,1.4005,1.94
17.06.22,1.4005,1.94
