DateTime,2019,2020,2021
2021-01-01,102167,108395,68909
2021-01-02,103033,109083,69069
2021-01-03,103196,109020,69390
2021-01-04,103128,108889,69661
2021-01-05,102787,109028,69282
2021-01-06,103037,109401,68228
2021-01-07,105061,110699,68545
2021-01-08,106999,112784,70684
2021-01-09,106891,113028,70113
2021-01-10,106436,113094,68777
2021-01-11,106176,112128,67768
2021-01-12,105396,111337,67049
2021-01-13,104549,111079,66773
2021-01-14,104209,110793,66752
2021-01-15,104024,111014,66700
2021-01-16,103896,111126,66405
2021-01-17,104050,111218,65930
2021-01-18,104458,111329,65669
2021-01-19,104300,111249,65366
2021-01-20,103992,111451,65070
2021-01-21,103909,111866,64695
2021-01-22,104033,111905,64362
2021-01-23,103952,111988,63774
2021-01-24,103973,111692,63257
2021-01-25,104119,111474,62728
2021-01-26,104612,111437,62243
2021-01-27,105182,111052,62042
2021-01-28,105050,110365,61684
2021-01-29,105035,109742,61373
2021-01-30,105084,109033,61281
2021-01-31,105011,108538,61047
2021-02-01,104960,107920,60576
2021-02-02,105079,106937,60294
2021-02-03,104914,106023,60143
2021-02-04,104895,105043,60165
2021-02-05,104867,104168,60362
2021-02-06,105042,103129,60598
2021-02-07,105114,102282,60681
2021-02-08,105055,102029,61273
2021-02-09,104956,101403,61689
2021-02-10,105190,100733,61808
2021-02-11,105622,100466,61371
2021-02-12,105488,100332,60710
2021-02-13,105297,100395,60068
2021-02-14,105724,100782,59486
2021-02-15,106192,100772,58712
2021-02-16,106544,100926,58336
2021-02-17,106606,101059,58457
2021-02-18,106757,101298,58871
2021-02-19,107260,101705,59714
2021-02-20,107225,101882,61046
2021-02-21,107084,101872,62577
2021-02-22,106857,102030,64040
2021-02-23,106751,102449,65251
2021-02-24,106964,102687,65808
2021-02-25,107007,102799,66939
2021-02-26,107356,102774,67702
2021-02-27,108085,102910,67866
2021-02-28,108302,102967,68112
2021-03-01,108395,103397,68679
2021-03-02,108441,103761,69072
2021-03-03,108405,104001,69549
2021-03-04,108250,104064,69928
2021-03-05,108180,104161,70474
2021-03-06,108245,104086,70951
2021-03-07,108247,103987,71319
2021-03-08,108199,103818,71632
2021-03-09,108183,103299,71981
2021-03-10,108574,102651,72230
2021-03-11,109198,102116,72336
2021-03-12,109203,101297,72636
2021-03-13,108891,100363,72918
2021-03-14,108651,99517,73161
2021-03-15,108772,98288,73028
2021-03-16,108940,96839,73250
2021-03-17,108935,94822,73555
2021-03-18,108873,91911,73794
2021-03-19,108996,88365,74007
2021-03-20,109463,84416,74275
2021-03-21,109829,80479,74672
2021-03-22,109827,75708,75168
2021-03-23,109705,70288,75391
2021-03-24,109705,65538,75702
2021-03-25,109044,60743,76095
2021-03-26,108515,56296,76207
2021-03-27,108412,51832,76472
2021-03-28,108493,48224,76660
2021-03-29,108443,45042,76925
2021-03-30,108436,42447,77304
2021-03-31,108604,40332,77712
2021-04-01,109471,38848,78173
2021-04-02,110391,37193,78087
2021-04-03,110874,35892,78130
2021-04-04,111207,34566,77864
2021-04-05,111453,33449,78163
2021-04-06,111649,32699,78445
2021-04-07,111645,31885,78504
2021-04-08,111657,31214,78425
2021-04-09,111711,30816,78796
2021-04-10,110815,30167,78932
2021-04-11,110867,29849,79368
2021-04-12,111110,29442,79360
2021-04-13,111487,28798,79341
2021-04-14,111450,28502,79045
2021-04-15,111596,28232,78681
2021-04-16,111966,28028,78321
2021-04-17,113177,28053,77938
2021-04-18,113411,27969,77735
2021-04-19,112605,27986,77294
2021-04-20,112414,28086,76652
2021-04-21,112364,27984,76296
2021-04-22,112311,27997,76534
2021-04-23,112427,28064,76446
2021-04-24,112403,28152,76416
2021-04-25,112508,28181,76306
2021-04-26,113320,28181,76483
2021-04-27,113672,28294,76749
2021-04-28,114231,28500,77120
2021-04-29,114498,28702,77317
2021-04-30,114268,29097,77796
2021-05-01,114037,29190,78207
2021-05-02,113797,29212,78291
2021-05-03,114062,29327,78088
2021-05-04,114211,29658,78029
2021-05-05,114290,30094,78169
2021-05-06,114318,30359,77836
2021-05-07,114439,30559,77673
2021-05-08,114463,30980,77374
2021-05-09,114343,31436,77205
2021-05-10,114322,31878,77257
2021-05-11,114083,32198,77114
2021-05-12,113675,32274,76922
2021-05-13,113632,32543,76563
2021-05-14,113685,32783,76090
2021-05-15,114107,33116,75720
2021-05-16,114573,33387,75709
2021-05-17,114698,33638,75723
2021-05-18,114811,33839,75930
2021-05-19,115121,34085,75867
2021-05-20,115251,34499,76382
2021-05-21,115216,34755,76859
2021-05-22,115369,35046,77273
2021-05-23,115480,35221,77555
2021-05-24,115797,35255,77801
2021-05-25,116010,35245,78043
2021-05-26,115514,35139,78316
2021-05-27,114936,35228,78569
2021-05-28,114943,35417,78866
2021-05-29,114822,35657,78960
2021-05-30,114723,35870,78811
2021-05-31,114710,36387,78638
2021-06-01,115205,37170,78803
2021-06-02,116372,38086,79226
2021-06-03,117689,38632,79402
2021-06-04,118343,39257,79631
2021-06-05,118714,39936,80229
2021-06-06,119253,40552,81069
2021-06-07,119610,41167,81768
2021-06-08,119762,41649,82113
2021-06-09,119732,41968,82438
2021-06-10,119598,42440,82905
2021-06-11,120087,42964,83374
2021-06-12,120564,43438,83596
2021-06-13,120906,43795,83640
2021-06-14,121333,44233,84074
2021-06-15,121558,44843,84552
2021-06-16,121787,45357,85018
2021-06-17,122204,45658,85341
2021-06-18,122191,45987,85597
2021-06-19,122324,46274,85952
2021-06-20,122285,46731,86397
2021-06-21,122100,47056,86490
2021-06-22,122113,47348,86698
2021-06-23,122313,47638,86806
2021-06-24,122354,48161,86823
2021-06-25,122346,48465,86990
2021-06-26,122408,48667,87119
2021-06-27,122822,48996,87416
2021-06-28,123014,49318,87910
2021-06-29,123285,49428,88059
2021-06-30,123304,49717,88250
2021-07-01,123088,50376,88685
2021-07-02,122930,51388,89153
2021-07-03,122875,52535,89881
2021-07-04,121502,52930,89916
2021-07-05,120326,53945,89794
2021-07-06,120103,55184,90094
2021-07-07,120591,56268,90542
2021-07-08,121323,56872,90858
2021-07-09,122033,57476,91195
2021-07-10,122356,58276,91670
2021-07-11,123687,59591,92360
2021-07-12,125118,60271,93039
2021-07-13,125684,60759,93577
2021-07-14,125618,61134,93874
2021-07-15,125484,61770,94325
2021-07-16,125453,62281,94516
2021-07-17,125329,62673,94591
2021-07-18,125431,63197,94940
2021-07-19,125423,63641,95233
2021-07-20,125406,63920,95196
2021-07-21,125372,63934,95076
2021-07-22,125253,63671,95203
2021-07-23,125155,63546,95246
2021-07-24,125378,63474,95118
2021-07-25,125506,63462,94507
2021-07-26,125508,63442,94068
