DateTime,Price
2022-01-01,104.79
2022-01-02,104.79
2022-01-03,101.07
2022-01-04,100.99
2022-01-05,102.02
2022-01-06,102.0
2022-01-07,103.6
2022-01-08,103.6
2022-01-09,103.6
2022-01-10,103.0
2022-01-11,103.19
2022-01-12,104.71
2022-01-13,104.61
2022-01-14,104.94
2022-01-15,104.94
2022-01-16,104.94
2022-01-17,105.97
2022-01-18,107.15
2022-01-19,107.26
2022-01-20,106.43
2022-01-21,106.88
2022-01-22,106.88
2022-01-23,106.88
2022-01-24,106.95
2022-01-25,106.5
2022-01-26,109.2
2022-01-27,109.67
2022-01-28,111.24
2022-01-29,111.24
2022-01-30,111.24
2022-01-31,110.33
2022-02-01,109.57
2022-02-02,109.4
2022-02-03,109.58
2022-02-04,114.52
2022-02-05,114.52
2022-02-06,114.52
2022-02-07,114.68
2022-02-08,112.39
2022-02-09,112.36
2022-02-10,112.73
2022-02-11,113.3
2022-02-12,113.3
2022-02-13,113.3
2022-02-14,113.71
2022-02-15,113.23
2022-02-16,113.57
2022-02-17,111.96
2022-02-18,111.78
2022-02-19,111.78
2022-02-20,111.78
2022-02-21,111.74
2022-02-22,114.71
2022-02-23,113.08
2022-02-24,119.6
2022-02-25,116.05
2022-02-26,116.05
2022-02-27,116.05
2022-02-28,118.36
2022-03-01,127.91
2022-03-02,136.65
2022-03-03,142.74
2022-03-04,148.67
2022-03-05,148.67
2022-03-06,148.67
2022-03-07,161.05
2022-03-08,188.07
2022-03-09,162.64
2022-03-10,157.55
2022-03-11,145.3
2022-03-12,145.3
2022-03-13,145.3
2022-03-14,136.43
2022-03-15,129.48
2022-03-16,130.15
2022-03-17,143.77
2022-03-18,146.24
2022-03-19,146.24
2022-03-20,146.24
2022-03-21,152.46
2022-03-22,153.83
2022-03-23,165.01
2022-03-24,163.05
2022-03-25,155.8
2022-03-26,155.8
2022-03-27,155.8
2022-03-28,154.25
2022-03-29,147.77
2022-03-30,146.41
2022-03-31,141.81
2022-04-01,143.9
2022-04-02,143.9
2022-04-03,143.9
2022-04-04,149.16
2022-04-05,142.15
2022-04-06,139.24
2022-04-07,134.54
2022-04-08,136.61
2022-04-09,136.61
2022-04-10,136.61
2022-04-11,138.98
2022-04-12,143.15
2022-04-13,140.85
2022-04-14,146.36
2022-04-15,146.36
2022-04-16,146.36
2022-04-17,146.36
2022-04-18,146.36
2022-04-19,147.23
2022-04-20,147.27
2022-04-21,147.51
2022-04-22,145.57
2022-04-23,145.57
2022-04-24,145.57
2022-04-25,141.29
2022-04-26,145.03
2022-04-27,151.42
2022-04-28,152.61
2022-04-29,152.97
2022-04-30,152.97
2022-05-01,152.97
2022-05-02,154.16
2022-05-03,153.59
2022-05-04,152.74
2022-05-05,151.11
2022-05-06,147.75
2022-05-07,147.75
2022-05-08,147.75
2022-05-09,145.33
2022-05-10,145.71
2022-05-11,147.32
2022-05-12,144.04
2022-05-13,147.54
2022-05-14,147.54
2022-05-15,147.54
2022-05-16,143.66
2022-05-17,144.0
2022-05-18,141.13
2022-05-19,137.77
2022-05-20,139.03
2022-05-21,139.03
2022-05-22,139.03
2022-05-23,137.51
2022-05-24,140.26
2022-05-25,143.04
2022-05-26,143.04
2022-05-27,146.67
2022-05-28,146.67
2022-05-29,146.67
2022-05-30,147.15
2022-05-31,155.37
2022-06-01,155.27
2022-06-02,154.36
2022-06-03,159.21
2022-06-04,159.21
2022-06-05,159.21
2022-06-06,159.21
2022-06-07,163.06
2022-06-08,161.86
2022-06-09,165.43
2022-06-10,164.94
2022-06-11,164.94
2022-06-12,164.94
2022-06-13,161.05
2022-06-14,165.18
2022-06-15,165.08
2022-06-16,162.3
2022-06-17,160.28
2022-06-18,160.28
2022-06-19,160.28
2022-06-20,161.49
2022-06-21,162.26
2022-06-22,155.95
2022-06-23,159.93
2022-06-24,158.39
2022-06-25,158.39
2022-06-26,158.39
2022-06-27,157.09
2022-06-28,152.96
2022-06-29,153.25
2022-06-30,148.79
2022-07-01,153.82
2022-07-02,153.82
2022-07-03,153.82
2022-07-04,153.91
2022-07-05,151.21
2022-07-06,145.97
2022-07-07,151.35
2022-07-08,149.01
2022-07-09,149.01
2022-07-10,149.01
2022-07-11,154.29
2022-07-12,156.3
2022-07-13,155.15
2022-07-14,153.3
2022-07-15,158.04
2022-07-16,158.04
2022-07-17,158.04
2022-07-18,158.53
2022-07-19,158.35
2022-07-20,159.22
2022-07-21,159.52
2022-07-22,162.9
2022-07-23,162.9
2022-07-24,162.9
2022-07-25,160.82
2022-07-26,163.57
2022-07-27,165.44
2022-07-28,166.46
2022-07-29,166.98
2022-07-30,166.98
2022-07-31,166.99
2022-08-01,166.99
2022-08-02,159.16
2022-08-03,166.63
2022-08-04,166.81
2022-08-05,159.52
2022-08-06,159.52
2022-08-07,159.52
2022-08-08,157.38
2022-08-09,160.8
2022-08-10,162.5
2022-08-11,165.57
2022-08-12,167.21
2022-08-13,167.21
2022-08-14,167.21
2022-08-15,165.59
2022-08-16,166.47
2022-08-17,167.23
2022-08-18,169.19
2022-08-19,170.07
2022-08-20,170.07
2022-08-21,170.07
2022-08-22,171.34
2022-08-23,170.0
2022-08-24,168.88
2022-08-25,172.44
2022-08-26,170.72
2022-08-27,170.72
2022-08-28,170.72
2022-08-29,169.18
2022-08-30,166.4
2022-08-31,161.47
2022-09-01,155.68
2022-09-02,157.97
2022-09-03,157.97
2022-09-04,157.97
2022-09-05,165.12
2022-09-06,161.3
2022-09-07,159.76
2022-09-08,155.52
2022-09-09,153.21
2022-09-10,153.21
2022-09-11,153.21
2022-09-12,153.93
2022-09-13,150.98
2022-09-14,144.16
2022-09-15,139.87
2022-09-16,138.37
2022-09-17,138.37
2022-09-18,138.37
2022-09-19,145.1
2022-09-20,147.29
2022-09-21,148.73
2022-09-22,151.54
2022-09-23,147.79
2022-09-24,147.79
2022-09-25,149.17
2022-09-26,142.76
2022-09-27,142.34
2022-09-28,150.35
2022-09-29,151.01
2022-09-30,146.56
2022-10-01,146.56
2022-10-02,146.56
2022-10-03,148.66
2022-10-04,154.83
2022-10-05,161.92
2022-10-06,162.55
2022-10-07,168.15
2022-10-08,168.15
2022-10-09,168.15
2022-10-10,172.9
2022-10-11,161.21
2022-10-12,164.26
2022-10-13,169.71
2022-10-14,166.95
2022-10-15,166.95
2022-10-16,166.95
2022-10-17,166.02
2022-10-18,164.84
2022-10-19,159.4
2022-10-20,159.91
2022-10-21,158.02
2022-10-22,158.02
2022-10-23,158.02
2022-10-24,157.82
2022-10-25,155.29
2022-10-26,155.83
2022-10-27,159.85
2022-10-28,164.5
2022-10-29,164.5
2022-10-30,164.5
2022-10-31,160.46
2022-11-01,151.18
2022-11-02,148.95
2022-11-03,152.19
2022-11-04,153.21
2022-11-05,153.21
2022-11-06,153.21
2022-11-07,149.05
2022-11-08,147.37
2022-11-09,144.65
2022-11-10,142.53
2022-11-11,141.65
2022-11-12,141.65
2022-11-13,141.65
2022-11-14,141.37
2022-11-15,138.57
2022-11-16,138.39
2022-11-17,137.25
2022-11-18,136.11
2022-11-19,136.11
2022-11-20,136.11
2022-11-21,135.79
2022-11-22,135.06
2022-11-23,132.08
2022-11-24,131.31
2022-11-25,133.79
2022-11-26,133.79
2022-11-27,133.79
2022-11-28,130.07
2022-11-29,131.74
2022-11-30,133.62
2022-12-01,136.86
2022-12-02,135.11
2022-12-03,135.26
2022-12-04,134.8
2022-12-05,133.65
2022-12-06,127.43
2022-12-07,127.39
2022-12-08,125.84
2022-12-09,126.39
2022-12-10,126.39
2022-12-11,126.39
2022-12-12,128.35
2022-12-13,131.68
2022-12-14,132.65
2022-12-15,134.59
2022-12-16,131.74
2022-12-17,131.74
2022-12-18,131.74
2022-12-19,131.02
2022-12-20,128.71
2022-12-21,130.48
2022-12-22,130.41
2022-12-23,131.01
2022-12-24,131.01
2022-12-25,131.01
2022-12-26,131.11
2022-12-27,134.3
2022-12-28,132.95
2022-12-29,132.14
2022-12-30,131.12
2022-12-31,131.21
2023-01-01,131.21
2023-01-02,131.19
2023-01-03,131.55
2023-01-04,120.84
2023-01-05,123.21
2023-01-06,123.29
2023-01-07,123.29
2023-01-08,123.29
2023-01-09,123.4
2023-01-10,121.83
2023-01-11,124.13
2023-01-12,124.71
2023-01-13,125.58
2023-01-14,125.58
2023-01-15,125.58
2023-01-16,126.26
2023-01-17,124.65
2023-01-18,124.61
2023-01-19,125.16
2023-01-20,127.48
2023-01-21,127.48
2023-01-22,127.48
2023-01-23,130.1
2023-01-24,129.88
2023-01-25,124.49
2023-01-26,125.17
2023-01-27,125.16
2023-01-28,125.16
2023-01-29,125.16
2023-01-30,120.76
2023-01-31,120.51
2023-02-01,118.41
2023-02-02,115.66
2023-02-03,113.67
2023-02-04,113.67
2023-02-05,113.67
2023-02-06,111.72
2023-02-07,113.43
2023-02-08,117.72
2023-02-09,114.97
2023-02-10,118.04
2023-02-11,118.04
2023-02-12,118.04
2023-02-13,118.28
2023-02-14,120.06
2023-02-15,119.13
2023-02-16,118.21
2023-02-17,115.57
2023-02-18,115.57
2023-02-19,115.57
2023-02-20,115.85
2023-02-21,116.18
2023-02-22,116.79
2023-02-23,116.29
2023-02-24,117.15
2023-02-25,117.15
2023-02-26,117.15
2023-02-27,119.31
2023-02-28,120.47
2023-03-01,121.75
2023-03-02,123.44
2023-03-03,122.93
2023-03-04,122.93
2023-03-05,122.93
2023-03-06,121.14
2023-03-07,120.29
2023-03-08,118.92
