date,temperature
2021-11-03,5.6
2021-11-04,5.0
2021-11-05,4.4
2021-11-06,3.7
2021-11-07,5.0
2021-11-08,5.6
2021-11-09,3.4
2021-11-10,2.5
2021-11-11,2.8
2021-11-12,3.6
2021-11-13,5.8
2021-11-14,7.5
2021-11-15,5.7
2021-11-16,5.2
2021-11-17,4.8
2021-11-18,3.2
2021-11-19,1.8
2021-11-20,2.3
2021-11-21,3.5
2021-11-22,4.3
2021-11-23,3.4
2021-11-24,3.0
2021-11-25,1.7
2021-11-26,0.7
2021-11-27,2.0
2021-11-28,0.8
2021-11-29,0.6
2021-11-30,1.2
2021-12-01,5.7
2021-12-02,3.1
2021-12-03,0.9
2021-12-04,4.3
2021-12-05,2.4
2021-12-06,0.8
2021-12-07,1.7
2021-12-08,1.3
2021-12-09,1.0
2021-12-10,0.3
2021-12-11,2.0
2021-12-12,1.0
2021-12-13,2.2
2021-12-14,1.1
2021-12-15,1.8
2021-12-16,2.7
2021-12-17,3.1
2021-12-18,1.8
2021-12-19,0.2
2021-12-20,0.4
2021-12-21,-0.6
2021-12-22,-1.8
2021-12-23,1.5
2021-12-24,4.5
2021-12-25,5.1
2021-12-26,6.1
2021-12-27,5.4
2021-12-28,7.5
2021-12-29,8.6
2021-12-30,12.2
2021-12-31,8.2
2022-01-01,2.6
2022-01-02,4.9
2022-01-03,10.2
2022-01-04,11.0
2022-01-05,1.7
2022-01-06,-0.1
2022-01-07,0.3
2022-01-08,2.3
2022-01-09,2.4
2022-01-10,0.8
2022-01-11,1.2
2022-01-12,-0.7
2022-01-13,-1.6
2022-01-14,-1.9
2022-01-15,-1.7
2022-01-16,-0.3
2022-01-17,2.3
2022-01-18,1.3
2022-01-19,1.8
2022-01-20,1.7
2022-01-21,-0.4
2022-01-22,-0.2
2022-01-23,0.7
2022-01-24,0.4
2022-01-25,0.1
2022-01-26,-0.8
2022-01-27,-0.7
2022-01-28,2.2
2022-01-29,3.1
2022-01-30,4.9
2022-01-31,2.7
2022-02-01,1.8
2022-02-02,5.8
2022-02-03,5.4
2022-02-04,5.0
2022-02-05,3.0
2022-02-06,4.3
2022-02-07,2.9
2022-02-08,2.3
2022-02-09,2.2
2022-02-10,4.7
2022-02-11,4.1
2022-02-12,0.6
2022-02-13,2.2
2022-02-14,2.9
2022-02-15,4.6
2022-02-16,5.6
2022-02-17,10.6
2022-02-18,10.3
2022-02-19,4.9
2022-02-20,7.5
2022-02-21,5.3
2022-02-22,6.2
