Datum,Wallis_speicherinhalt_gwh,Graubuenden_speicherinhalt_gwh,Tessin_speicherinhalt_gwh,UebrigCH_speicherinhalt_gwh,TotalCH_speicherinhalt_gwh,Wallis_max_speicherinhalt_gwh,Graubuenden_max_speicherinhalt_gwh,Tessin_max_speicherinhalt_gwh,UebrigCH_max_speicherinhalt_gwh,TotalCH_max_speicherinhalt_gwh
2000-01-03,2037,1226,758,904,4925,3770,1905,1225,1600,8500
2000-01-10,1945,1175,720,868,4708,3770,1905,1225,1600,8500
2000-01-17,1733,1063,651,777,4224,3770,1905,1225,1600,8500
2000-01-24,1584,940,591,674,3789,3770,1905,1225,1600,8500
2000-01-31,1414,803,517,581,3315,3770,1905,1225,1600,8500
2000-02-07,1285,720,466,568,3039,3770,1905,1225,1600,8500
2000-02-14,1200,623,422,560,2805,3770,1905,1225,1600,8500
2000-02-21,1074,526,366,525,2491,3770,1905,1225,1600,8500
2000-02-28,950,437,334,479,2200,3770,1905,1225,1600,8500
2000-03-06,831,382,302,446,1961,3770,1905,1225,1600,8500
2000-03-13,722,335,272,431,1760,3770,1905,1225,1600,8500
2000-03-20,638,289,238,390,1555,3770,1905,1225,1600,8500
2000-03-27,539,246,203,361,1349,3770,1905,1225,1600,8500
2000-04-03,413,184,164,318,1079,3770,1905,1225,1600,8500
2000-04-10,302,140,129,279,850,3770,1905,1225,1600,8500
2000-04-17,218,118,115,252,703,3770,1905,1225,1600,8500
2000-04-24,215,123,128,288,754,3770,1905,1225,1600,8500
2000-05-01,234,209,169,372,984,3770,1905,1225,1600,8500
2000-05-08,261,334,229,448,1272,3770,1905,1225,1600,8500
2000-05-15,365,505,325,534,1729,3770,1905,1225,1600,8500
2000-05-22,519,651,403,587,2160,3770,1905,1225,1600,8500
2000-05-29,644,761,455,594,2454,3770,1905,1225,1600,8500
2000-06-05,809,880,534,675,2898,3770,1905,1225,1600,8500
2000-06-12,1118,1028,654,774,3574,3770,1905,1225,1600,8500
2000-06-19,1324,1136,756,858,4074,3770,1905,1225,1600,8500
2000-06-26,1603,1210,816,933,4562,3770,1905,1225,1600,8500
2000-07-03,1790,1227,830,954,4801,3770,1905,1225,1600,8500
2000-07-10,2027,1287,844,1029,5187,3770,1905,1225,1600,8500
2000-07-17,2103,1329,859,1106,5397,3770,1905,1225,1600,8500
2000-07-24,2189,1342,866,1107,5504,3770,1905,1225,1600,8500
2000-07-31,2445,1486,942,1204,6077,3770,1905,1225,1600,8500
2000-08-07,2644,1585,961,1268,6458,3775,1960,1225,1600,8560
2000-08-14,2847,1650,972,1329,6798,3775,1960,1225,1600,8560
2000-08-21,3121,1661,980,1378,7140,3775,1960,1225,1600,8560
2000-08-28,3358,1677,988,1406,7429,3775,1960,1225,1600,8560
2000-09-04,3423,1670,991,1422,7506,3775,1960,1225,1600,8560
2000-09-11,3439,1651,981,1430,7501,3775,1960,1225,1600,8560
2000-09-18,3515,1640,975,1427,7557,3775,1960,1225,1600,8560
2000-09-25,3559,1710,1040,1484,7793,3775,1960,1225,1600,8560
2000-10-02,3571,1743,1106,1478,7898,3775,1960,1225,1600,8560
2000-10-09,3572,1784,1126,1465,7947,3775,1960,1225,1600,8560
2000-10-16,3610,1904,1188,1529,8231,3775,1960,1225,1600,8560
2000-10-23,3637,1915,1177,1502,8231,3775,1960,1225,1600,8560
2000-10-30,3538,1891,1164,1469,8062,3775,1960,1225,1600,8560
2000-11-06,3470,1909,1171,1459,8009,3775,1960,1225,1600,8560
2000-11-13,3385,1902,1144,1425,7856,3775,1960,1225,1600,8560
2000-11-20,3270,1922,1138,1395,7725,3775,1960,1225,1600,8560
2000-11-27,3146,1877,1104,1361,7488,3775,1960,1225,1600,8560
2000-12-04,3040,1827,1069,1324,7260,3775,1960,1225,1600,8560
2000-12-11,2936,1775,1043,1275,7029,3775,1960,1225,1600,8560
2000-12-18,2828,1699,997,1219,6743,3775,1960,1225,1600,8560
2000-12-25,2704,1609,938,1128,6379,3775,1960,1225,1600,8560
2001-01-01,2648,1599,925,1121,6293,3775,1960,1225,1600,8560
2001-01-08,2580,1548,899,1124,6151,3775,1960,1225,1600,8560
2001-01-15,2462,1443,844,1045,5794,3775,1960,1225,1600,8560
2001-01-22,2306,1319,757,940,5322,3775,1960,1225,1600,8560
2001-01-29,2167,1213,705,882,4967,3775,1960,1225,1600,8560
2001-02-05,1990,1089,633,799,4511,3775,1960,1225,1600,8560
2001-02-12,1843,998,593,769,4203,3775,1960,1225,1600,8560
2001-02-19,1671,882,539,698,3790,3775,1960,1225,1600,8560
2001-02-26,1466,748,489,614,3317,3775,1960,1225,1600,8560
2001-03-05,1261,593,406,512,2772,3775,1960,1225,1600,8560
2001-03-12,1146,500,351,513,2510,3775,1960,1225,1600,8560
2001-03-19,1033,433,312,523,2301,3775,1960,1225,1600,8560
2001-03-26,954,376,283,555,2168,3775,1960,1225,1600,8560
2001-04-02,810,314,240,517,1881,3775,1960,1225,1600,8560
2001-04-09,681,271,191,485,1628,3775,1960,1225,1600,8560
2001-04-16,585,229,159,456,1429,3775,1960,1225,1600,8560
2001-04-23,478,178,131,375,1162,3775,1960,1225,1600,8560
2001-04-30,414,154,111,360,1039,3775,1960,1225,1600,8560
2001-05-07,404,212,145,432,1193,3775,1960,1225,1600,8560
2001-05-14,429,333,207,477,1446,3775,1960,1225,1600,8560
2001-05-21,479,480,309,526,1794,3775,1960,1225,1600,8560
2001-05-28,580,650,430,605,2265,3775,1960,1225,1600,8560
2001-06-04,801,858,569,680,2908,3775,1960,1225,1600,8560
2001-06-11,929,1016,677,727,3349,3775,1960,1225,1600,8560
