Datum,2023,Trend
2022-01-01,54.37,0.35
2022-01-02,54.64,0.26
2022-01-03,54.71,0.04
2022-01-04,54.58,-0.14
2022-01-05,54.08,-0.51
2022-01-06,53.53,-0.55
2022-01-07,52.96,-0.56
2022-01-08,52.56,-0.4
2022-01-09,52.16,-0.4
2022-01-10,51.21,-0.94
2022-01-11,50.2,-1.0
2022-01-12,49.25,-0.95
2022-01-13,48.38,-0.87
2022-01-14,47.52,-0.87
2022-01-15,46.96,-0.56
2022-01-16,46.56,-0.4
2022-01-17,45.92,-0.67
2022-01-18,45.08,-0.84
2022-01-19,44.4,-0.77
2022-01-20,43.61,-0.8
2022-01-21,42.7,-0.91
2022-01-22,42.09,-0.61
2022-01-23,41.53,-0.56
2022-01-24,40.61,-0.93
2022-01-25,39.65,-0.96
2022-01-26,38.82,-0.86
2022-01-27,38.21,-0.59
2022-01-28,37.53,-0.68
2022-01-29,37.29,-0.25
2022-01-30,37.03,-0.26
2022-01-31,36.45,-0.59
2022-02-01,36.05,-0.41
2022-02-02,35.64,-0.42
2022-02-03,35.34,-0.31
2022-02-04,35.12,-0.21
2022-02-05,35.01,-0.11
2022-02-06,34.91,-0.11
2022-02-07,34.52,-0.38
2022-02-08,34.26,-0.27
2022-02-09,34.02,-0.28
2022-02-10,33.56,-0.46
2022-02-11,33.12,-0.46
2022-02-12,32.8,-0.3
2022-02-13,32.64,-0.17
2022-02-14,32.41,-0.24
2022-02-15,32.14,-0.26
2022-02-16,31.87,-0.27
2022-02-17,31.66,-0.2
2022-02-18,31.43,-0.23
2022-02-19,31.18,-0.26
2022-02-20,31.02,-0.15
2022-02-21,30.68,-0.35
2022-02-22,30.29,-0.39
2022-02-23,30.01,-0.29
2022-02-24,29.86,-0.15
2022-02-25,29.51,-0.35
2022-02-26,29.26,-0.26
2022-02-27,29.06,-0.2
2022-02-28,28.61,-0.45
2022-03-01,27.98,-0.61
2022-03-02,27.45,-0.53
2022-03-03,27.0,-0.44
2022-03-04,26.57,-0.43
2022-03-05,26.3,-0.27
