Datum,2026²,Trend
2026-01-01,56.19,0.0
2026-01-02,55.67,-0.52
2026-01-03,55.02,-0.65
2026-01-04,54.2,-0.83
2026-01-05,53.01,-1.19
2026-01-06,51.78,-1.23
2026-01-07,50.48,-1.31
2026-01-08,49.2,-1.27
2026-01-09,48.3,-0.91
2026-01-10,47.33,-0.97
2026-01-11,46.35,-0.98
2026-01-12,45.31,-1.04
2026-01-13,44.62,-0.68
2026-01-14,44.0,-0.63
2026-01-15,43.55,-0.45
2026-01-16,43.17,-0.38
2026-01-17,42.76,-0.41
2026-01-18,42.28,-0.48
2026-01-19,41.46,-0.83
2026-01-20,40.52,-0.94
2026-01-21,39.72,-0.8
2026-01-22,38.85,-0.87
2026-01-23,38.09,-0.76
2026-01-24,37.47,-0.62
2026-01-25,36.78,-0.7
2026-01-26,35.95,-0.83
2026-01-27,35.12,-0.83
2026-01-28,34.37,-0.74
2026-01-29,33.54,-0.84
2026-01-30,32.88,-0.66
2026-01-31,32.38,-0.5
2026-02-01,31.9,-0.48
2026-02-02,31.05,-0.85
2026-02-03,30.03,-1.02
2026-02-04,29.06,-0.97
2026-02-05,28.28,-0.78
2026-02-06,27.55,-0.73
2026-02-07,27.24,-0.3
2026-02-08,26.86,-0.38
2026-02-09,26.19,-0.67
2026-02-10,25.57,-0.62
2026-02-11,25.13,-0.44
2026-02-12,24.79,-0.34
2026-02-13,24.35,-0.44
2026-02-14,23.9,-0.45
2026-02-15,23.49,-0.41
2026-02-16,22.94,-0.56
2026-02-17,22.3,-0.64
2026-02-18,21.61,-0.69
2026-02-19,21.04,-0.57
2026-02-20,20.62,-0.42
2026-02-21,20.5,-0.12
2026-02-22,20.71,0.22
2026-02-23,20.66,-0.06
2026-02-24,20.51,-0.15
2026-02-25,20.45,-0.06
2026-02-26,20.48,0.03
2026-02-27,20.56,0.09
2026-02-28,20.73,0.17
2026-03-01,20.83,0.1
