Datum,Strom-Terminmarkt
2025-01-02,92.21
2025-01-05,91.9175
2025-01-06,91.82
2025-01-07,91.88
2025-01-08,89.24
2025-01-09,89.83
2025-01-12,93.085
2025-01-13,94.17
2025-01-14,92.72
2025-01-15,93.79
2025-01-16,93.94
2025-01-19,95.2225
2025-01-20,95.65
2025-01-21,95.65
2025-01-22,92.76
2025-01-23,93.41
2025-01-26,92.345
2025-01-27,91.99
2025-01-28,92.96
2025-01-29,95.5
2025-01-30,95.53
2025-02-02,96.55
2025-02-03,96.89
2025-02-04,96.68
2025-02-05,98.11
2025-02-06,99.12
2025-02-09,100.8675
2025-02-10,101.45
2025-02-11,101.53
2025-02-12,99.62
2025-02-13,94.32
2025-02-16,90.93
2025-02-17,89.8
2025-02-18,89.69
2025-02-19,88.65
2025-02-20,87.65
2025-02-23,87.91250000000001
2025-02-24,88.0
2025-02-25,84.95
2025-02-26,82.8
2025-02-27,86.31
2025-03-02,85.83
2025-03-03,85.67
2025-03-04,82.7
2025-03-05,81.35
2025-03-06,79.93
2025-03-09,82.5625
2025-03-10,83.44
2025-03-11,83.34
2025-03-12,83.62
2025-03-13,83.55
2025-03-16,82.11749999999999
2025-03-17,81.64
2025-03-18,82.71
2025-03-19,86.34
2025-03-20,86.95
2025-03-23,87.01
2025-03-24,87.03
2025-03-25,85.17
2025-03-26,85.43
2025-03-27,84.5
2025-03-30,85.025
2025-03-31,85.2
2025-04-01,87.08
2025-04-02,86.25
2025-04-07,82.03
2025-04-08,80.85
2025-04-09,77.62
2025-04-10,78.66
2025-04-13,81.1275
2025-04-14,81.95
2025-04-15,82.31
2025-04-16,83.38
2025-04-17,83.01
2025-04-20,81.708
2025-04-21,81.274
2025-04-22,80.84
2025-04-23,82.19
2025-04-24,81.89
2025-04-27,80.8175
2025-04-28,80.46
2025-04-29,80.08
2025-04-30,81.59
2025-05-04,83.054
2025-05-05,83.42
2025-05-06,85.79
2025-05-07,86.95
2025-05-08,87.46
2025-05-11,89.30499999999999
2025-05-12,89.92
2025-05-13,89.86
2025-05-14,88.55
2025-05-15,89.28
2025-05-18,88.08749999999999
2025-05-19,87.69
2025-05-20,90.3
2025-05-21,89.76
2025-05-22,89.58
2025-05-25,90.645
2025-05-26,91.0
2025-05-27,89.8
2025-05-28,89.28
2025-05-29,87.03
2025-06-01,86.94
2025-06-02,86.91
2025-06-03,88.25
2025-06-04,87.55
2025-06-05,88.64
2025-06-08,88.58749999999999
2025-06-09,88.57
2025-06-10,86.86
2025-06-11,89.27
2025-06-12,90.05
2025-06-15,91.49
2025-06-16,91.97
2025-06-17,92.63
2025-06-18,92.07
2025-06-19,93.24
2025-06-22,92.4975
2025-06-23,92.25
2025-06-24,88.29
2025-06-25,87.31
2025-06-26,86.01
2025-06-29,84.9375
2025-06-30,84.58
2025-07-01,86.3
2025-07-02,86.64
2025-07-03,86.8
2025-07-06,86.40249999999999
2025-07-07,86.27
2025-07-08,86.38
2025-07-09,86.53
2025-07-10,87.32
2025-07-13,87.3275
2025-07-14,87.33
2025-07-15,87.08
2025-07-16,87.29
2025-07-17,86.58
2025-07-20,85.5
2025-07-21,85.14
2025-07-22,85.0
2025-07-23,84.8
2025-07-24,85.52
2025-07-27,85.82000000000001
2025-07-28,85.92
2025-07-29,88.25
2025-07-30,88.88
2025-07-31,88.67
2025-08-03,87.6425
2025-08-04,87.3
2025-08-05,87.56
2025-08-06,86.37
2025-08-07,86.49
2025-08-10,86.355
2025-08-11,86.31
2025-08-12,85.58
2025-08-13,85.64
2025-08-14,84.91
2025-08-17,84.09249999999999
2025-08-18,83.82
2025-08-19,83.48
2025-08-20,83.8
2025-08-21,85.95
2025-08-24,86.10000000000001
2025-08-25,86.15
2025-08-26,85.89
2025-08-27,84.69
2025-08-28,83.69
