Datum		Höchst-/Tiefststand¹	10-Jahres-Mittel	2025²
2025-01-01	60.74	96.91	75.4654545	79.47
2025-01-02	60.56	96.53	75.1381818	79.0
2025-01-03	60.16	96.28	74.7509091	78.32
2025-01-04	59.46	96.12	74.3463636	77.71
2025-01-05	58.79	95.94	73.8927273	77.18
2025-01-06	58.31	95.63	73.4636364	76.83
2025-01-07	57.99	95.25	72.9963636	76.3
2025-01-08	58.08	94.86	72.5981818	75.53
2025-01-09	58.27	94.69	72.2018182	74.69
2025-01-10	57.89	94.54	71.77	73.78
2025-01-11	57.47	94.34	71.2981818	72.91
2025-01-12	56.91	94.09	70.8518182	72.08
2025-01-13	56.09	93.83	70.4336364	70.88
2025-01-14	55.51	93.64	69.9863636	69.64
2025-01-15	54.83	93.43	69.4772727	68.48
2025-01-16	53.75	93.19	68.9581818	67.36
2025-01-17	52.55	92.92	68.3427273	66.05
2025-01-18	51.26	92.64	67.65	64.95
2025-01-19	50.09	92.26	66.99	63.85
2025-01-20	49.0	91.6	66.3272727	62.51
2025-01-21	48.26	90.91	65.68	61.05
2025-01-22	47.46	90.27	65.05	59.87
2025-01-23	46.32	89.56	64.4345455	59.21
2025-01-24	45.17	88.86	63.8454545	58.74
2025-01-25	43.93	88.37	63.2990909	58.44
2025-01-26	42.87	87.98	62.7709091	58.11
2025-01-27	41.98	87.59	62.2790909	57.75
2025-01-28	41.38	87.02	61.8127273	57.4
2025-01-29	40.84	86.51	61.3636364	57.02
2025-01-30	40.19	86.04	60.8390909	56.43
2025-01-31	39.52	85.88	60.3163636	55.84
2025-02-01	39.04	85.84	59.8045455	55.16
2025-02-02	38.57	85.77	59.2745455	54.43
2025-02-03	38.2	85.46	58.7145455	53.36
2025-02-04	37.97	85.08	58.1572727	52.38
2025-02-05	37.69	84.59	57.5890909	51.39
2025-02-06	37.11	83.83	56.9918182	50.53
2025-02-07	36.5	83.39	56.3827273	49.77
2025-02-08	35.8	83.04	55.75	49.22
2025-02-09	34.83	82.91	55.0836364	48.66
2025-02-10	33.83	82.69	54.4781818	47.82
2025-02-11	33.28	82.38	53.8663636	46.97
2025-02-12	33.07	81.98	53.2863636	45.98
2025-02-13	32.4	81.59	52.7063636	44.91
2025-02-14	31.78	81.34	52.1836364	43.78
2025-02-15	31.49	81.29	51.7845455	42.84
2025-02-16	31.1	81.31	51.4209091	41.96
2025-02-17	30.68	81.13	51.0954545	40.65
2025-02-18	30.45	80.89	50.7609091	39.34
2025-02-19	30.23	80.68	50.5863636	38.23
2025-02-20	29.96	80.48	50.2245455	37.46
2025-02-21	29.78	80.28	49.5754545	37.09
2025-02-22	29.59	80.22	49.1618182	36.89
2025-02-23	29.38	80.18	48.7709091	36.78
2025-02-24	29.07	79.95	48.3581818	36.51
2025-02-25	28.85	79.76	47.9563636	36.13
2025-02-26	28.69	79.34	47.5618182	35.66
2025-02-27	28.37	78.73	47.1590909	35.17
2025-02-28	26.88	78.17	46.7436364	33.85
2025-03-01	25.56	77.95	46.3318182	33.61
2025-03-02	24.21	77.36	45.9690909	33.29
2025-03-03	23.31	77.1	45.6418182	32.84
2025-03-04	22.71	76.78	45.34	32.49
2025-03-05	22.13	76.39	45.0390909	32.26
2025-03-06	21.57	76.16	44.8054545	32.09
2025-03-07	21.04	75.98	44.4990909	31.99
2025-03-08	20.48	75.94	44.27	32.06
2025-03-09	20.23	75.71	44.09	32.08
2025-03-10	20.12	75.56	43.9772727	31.83
2025-03-11	20.09	75.51	43.8336364	31.45
2025-03-12	19.92	75.48	43.67	30.96
2025-03-13	19.71	75.31	43.5109091	30.46
2025-03-14	19.39	75.12	43.3236364	30.03
2025-03-15	19.2	75.06	43.1945455	29.78
2025-03-16	18.95	74.94	43.0990909	29.58
2025-03-17	18.54	74.83	42.98	29.19
2025-03-18	18.06	74.76	42.8109091	28.91
2025-03-19	17.36	74.59	42.6254545	28.74
2025-03-20	16.74	74.44	42.4509091	28.72
2025-03-21	16.11	74.28	42.3563636	28.78
2025-03-22	15.54	74.12	42.2063636	28.97
2025-03-23	15.18	73.72	42.0163636	29.08
2025-03-24	15.03	73.39	41.9672727	29.03
2025-03-25	14.93	73.03	41.8190909	28.95
2025-03-26	14.75	72.7	41.7463636	28.82
2025-03-27	14.6	72.55	41.6836364	28.73
2025-03-28	14.47	72.59	41.6890909	28.73
2025-03-29	14.33	72.52	41.6554545	28.79
2025-03-30	14.31	72.14	41.7118182	28.81
2025-03-31	14.46	71.55	41.6472727	28.69
2025-04-01	14.29	72.53	42.4381818	29.14
2025-04-02	14.25	72.37	42.3518182	29.21
2025-04-03	14.26	72.26	42.42	29.26
2025-04-04	14.36	72.33	42.4345455	29.36
2025-04-05	14.37	72.5	42.4590909	29.53
2025-04-06	14.41	72.66	42.4990909	29.58
2025-04-07	14.6	72.82	42.5336364	29.4
2025-04-08	14.88	72.98	42.5836364	29.29
2025-04-09	15.05	73.19	42.66	29.21
2025-04-10	15.15	73.46	42.7472727	29.14
2025-04-11	15.26	73.78	42.7518182	29.15
2025-04-12	15.4	74.17	42.82	29.37
2025-04-13	15.48	74.42	42.8572727	29.62
2025-04-14	15.67	74.42	42.9027273	29.77
2025-04-15	15.9	74.45	42.9690909	30.01
2025-04-16	16.0	74.6	43.0909091	30.14
2025-04-17	16.27	74.78	43.2345455	30.22
2025-04-18	16.62	75.2	43.4054545	30.42
2025-04-19	17.07	75.61	43.6045455	30.69
2025-04-20	17.48	75.84	43.8118182	31.02
2025-04-21	18.01	76.11	44.0790909	31.28
2025-04-22	18.66	76.38	44.3527273	31.37
2025-04-23	19.0	76.58	44.5690909	31.46
2025-04-24	19.33	76.83	44.8009091	31.51
2025-04-25	19.67	77.14	45.0336364	31.63
2025-04-26	19.99	77.42	45.0836364	31.87
2025-04-27	20.19	77.54	45.2454545	32.15
2025-04-28	20.58	77.68	45.3954545	32.38
2025-04-29	21.03	77.9	45.5763636	32.64
2025-04-30	21.35	78.18	45.8027273	32.98
2025-05-01	21.62	78.48	45.89	33.4
2025-05-02	21.8	78.78	46.1009091	33.81
2025-05-03	22.02	79.06	46.2872727	34.23
2025-05-04	22.29	79.2	46.4945455	34.6
