id	strom21	gas21
1067	1056.0	1008.0
1069	1056.0	1008.0
1097	1056.0	1008.0
1099	1056.0	1008.0
1108	1138.0	1178.0
1109	1056.0	1008.0
1127	1056.0	1008.0
1129	1056.0	1008.0
1139	1056.0	1008.0
1156	1091.0	1095.0
1157	1056.0	1008.0
1159	1056.0	1008.0
1169	1056.0	1008.0
1187	1056.0	1008.0
1189	1056.0	1008.0
1217	1056.0	1008.0
1219	1056.0	1008.0
1237	1056.0	1008.0
1239	1056.0	1184.0
1257	1056.0	1008.0
1259	1056.0	1008.0
1277	1056.0	1008.0
1279	1056.0	1008.0
1307	1056.0	1008.0
1309	1056.0	1008.0
1324	1056.0	1008.0
1326	1056.0	1008.0
1328	1056.0	999.0
1445	1007.0	1086.0
1454	1059.0	987.0
1458	1059.0	987.0
1465	1129.0	1168.0
1468	1059.0	987.0
1471	1059.0	987.0
1477	1059.0	987.0
1558	1059.0	987.0
1561	1059.0	987.0
1587	1052.0	1210.0
1589	1054.0	1210.0
1591	1049.0	1210.0
1594	1059.0	992.0
1609	1059.0	987.0
1612	1059.0	987.0
1616	1061.0	1215.0
1619	1059.0	987.0
1623	1059.0	987.0
1640	975.0	1086.0
1662	1088.0	1203.0
1665	1059.0	987.0
1683	1059.0	987.0
1689	1059.0	987.0
1705	1089.0	1133.0
1723	1059.0	987.0
1728	1059.0	987.0
1731	1059.0	987.0
1734	1059.0	987.0
1737	1059.0	987.0
1738	1059.0	987.0
1744	1059.0	987.0
1762	1077.0	987.0
1768	1059.0	987.0
1773	1059.0	987.0
1774	1096.0	987.0
1776	1059.0	1190.0
1778	1059.0	987.0
1796	1084.0	1044.0
1809	1059.0	987.0
1814	1059.0	987.0
1816	1059.0	987.0
1819	1059.0	987.0
1824	1059.0	987.0
1825	1059.0	987.0
1829	1059.0	987.0
1833	1059.0	987.0
1844	1059.0	987.0
1847	1059.0	987.0
1848	1059.0	987.0
1855	1059.0	987.0
1877	1059.0	987.0
1896	1059.0	987.0
1900	1059.0	987.0
1904	1059.0	987.0
1906	1059.0	987.0
1909	1059.0	987.0
1917	1085.0	998.0
1920	1059.0	987.0
1936	1061.0	987.0
1945	1075.0	1121.0
1968	1107.0	1165.0
1979	1075.0	1090.0
1983	1075.0	1090.0
1987	1075.0	1090.0
1990	1065.0	1090.0
1993	1069.0	1090.0
1994	1062.0	1090.0
1996	1110.0	1357.0
1998	1075.0	1090.0
2625	1115.0	1277.0
2627	1059.0	987.0
2633	1059.0	987.0
2681	1059.0	987.0
2689	1059.0	987.0
2692	1059.0	1023.0
2694	1061.0	987.0
2699	1061.0	987.0
2708	1083.0	1100.0
2727	1059.0	987.0
2730	1059.0	987.0
2733	1059.0	987.0
2736	1059.0	987.0
2739	1059.0	987.0
2742	1059.0	987.0
2747	1059.0	987.0
2748	1059.0	987.0
2763	1115.0	1150.0
2779	1059.0	987.0
2782	1059.0	987.0
2785	1059.0	987.0
2788	1059.0	987.0
2791	1059.0	987.0
2794	1059.0	987.0
2796	1059.0	987.0
2797	1059.0	987.0
2799	1059.0	987.0
2826	1133.0	1081.0
2827	1134.0	1116.0
2828	1144.0	1139.0
2829	1059.0	987.0
2894	1059.0	987.0
2899	1059.0	987.0
2906	1092.0	987.0
2923	1059.0	987.0
2929	1059.0	987.0
