date	Gas	Strom
2021-08-26	1151	1089
2021-08-27	1152	1090
2021-08-28	1153	1090
2021-08-29	1153	1090
2021-08-30	1153	1091
2021-08-31	1154	1092
2021-09-01	1156	1092
2021-09-02	1153	1092
2021-09-03	1169	1092
2021-09-04	1170	1093
2021-09-05	1170	1093
2021-09-06	1170	1093
2021-09-07	1170	1094
2021-09-08	1167	1095
2021-09-09	1169	1095
2021-09-10	1169	1096
2021-09-11	1183	1096
2021-09-12	1183	1096
2021-09-13	1183	1096
2021-09-14	1183	1098
2021-09-15	1183	1102
2021-09-16	1183	1105
2021-09-17	1217	1105
2021-09-18	1218	1107
2021-09-19	1218	1107
2021-09-20	1218	1107
2021-09-21	1219	1107
2021-09-22	1220	1110
2021-09-23	1234	1113
2021-09-24	1242	1116
2021-09-25	1245	1112
2021-09-26	1245	1112
2021-09-27	1245	1112
2021-09-28	1251	1119
2021-09-29	1263	1119
2021-09-30	1265	1122
2021-10-01	1266	1129
2021-10-02	1318	1131
2021-10-03	1329	1131
2021-10-04	1340	1131
2021-10-05	1342	1135
2021-10-06	1348	1146
2021-10-07	1354	1185
2021-10-08	1366	1192
2021-10-09	1389	1195
2021-10-10	1389	1195
2021-10-11	1389	1195
2021-10-12	1443	1236
2021-10-13	1476	1256
2021-10-14	1476	1260
2021-10-15	1644	1276
2021-10-16	2100	1291
2021-10-17	1978	1291
2021-10-18	1855	1291
2021-10-19	2111	1289
2021-10-20	2245	1289
2021-10-21	2250	1269
2021-10-22	2415	1270
2021-10-23	2424	1270
2021-10-24	2424	1270
2021-10-25	2424	1270
2021-10-26	2433	1270
2021-10-27	2425	1298
2021-10-28	2506	1303
2021-10-29	2505	1307
2021-10-30	2356	1309
2021-10-31	2356	1309
2021-11-01	2356	1309
2021-11-02	2352	1309
2021-11-03	2352	1309
2021-11-04	2343	1305
2021-11-05	2343	1305
2021-11-06	2178	1309
2021-11-07	2178	1309
2021-11-08	2178	1309
2021-11-09	2175	1357
2021-11-10	2176	1307
2021-11-11	2174	1307
2021-11-12	2170	1307
2021-11-13	2198	1339
2021-11-14	2198	1339
2021-11-15	2198	1339
2021-11-16	2203	1361
2021-11-17	2001	1356
2021-11-18	2001	1356
2021-11-19	2198	1359
2021-11-20	2202	1355
2021-11-21	2202	1355
2021-11-22	2202	1355
2021-11-23	2202	1356
2021-11-24	2197	1355
2021-11-25	2197	1357
2021-11-26	2197	1360
2021-11-27	2193	1359
2021-11-28	2193	1359
2021-11-29	2193	1359
2021-11-30	2160	1359
2021-12-01	2196	1362
2021-12-02	2198	1362
2021-12-03	2200	1271
2021-12-04	1974	1361
2021-12-05	2088	1361
2021-12-06	2202	1361
2021-12-07	2189	1325
2021-12-08	2185	1365
2021-12-09	2217	1366
2021-12-10	2249	1367
2021-12-11	2259	1361
2021-12-12	2259	1362
2021-12-13	2259	1364
2021-12-14	2259	1364
2021-12-15	2269	1373
2021-12-16	2270	1373
2021-12-17	2413	1374
2021-12-18	2538	1372
2021-12-19	2554	1372
2021-12-20	2571	1372
2021-12-21	2765	1440
2021-12-22	2941	1443
2021-12-23	3146	1474
2021-12-24	3824	1571
2021-12-25	3824	1571
2021-12-26	3824	1571
2021-12-27	3824	1571
2021-12-28	3195	1613
2021-12-29	3694	1759
2021-12-30	3787	1830
2021-12-31	3876	1899
2022-01-01	3876	1899
2022-01-02	3876	1899
2022-01-03	3876	1899
2022-01-04	3090	1883
2022-01-05	3403	1883
2022-01-06	3562	1881
2022-01-07	3562	1873
2022-01-08	3336	1877
2022-01-09	3336	1877
2022-01-10	3336	1877
2022-01-11	3316	1861
2022-01-12	3316	1861
2022-01-13	2981	1853
2022-01-14	2852	1835
2022-01-15	2851	1731
2022-01-16	2851	1731
2022-01-17	2851	1731
2022-01-18	2835	1726
2022-01-19	2745	1727
2022-01-20	2745	1714
2022-01-21	2696	1661
2022-01-22	2665	1620
2022-01-23	2665	1620
2022-01-24	2665	1620
2022-01-25	2661	1620
2022-01-26	2636	1644
2022-01-27	2618	1653
2022-01-28	2609	1653
2022-01-29	2611	1626
2022-01-30	2611	1626
2022-01-31	2611	1625
2022-02-01	2698	1653
2022-02-02	2706	1646
2022-02-03	2647	1636
2022-02-04	2667	1636
2022-02-05	2657	1636
2022-02-06	2657	1636
2022-02-07	2657	1636
2022-02-08	2652	1637
2022-02-09	2649	1633
2022-02-10	2627	1523
2022-02-11	2585	1534
2022-02-12	2576	1524
2022-02-13	2576	1524
2022-02-14	2576	1524
2022-02-15	2571	1508
2022-02-16	2583	1503
2022-02-17	2384	1503
2022-02-18	2430	1503
2022-02-19	2429	1480
2022-02-20	2429	1480
2022-02-21	2429	1480
2022-02-22	2486	1484
2022-02-23	2464	1480
2022-02-24	2455	1477
2022-02-25	2474	1492
2022-02-26	2663	1448
2022-02-27	2763	1448
2022-02-28	2863	1448
2022-03-01	2825	1448
2022-03-02	2787	1448
2022-03-03	3180	1448
2022-03-04	2833	1458
2022-03-05	2840	1466
2022-03-06	2840	1466
2022-03-07	2840	1466
2022-03-08	2840	1466
2022-03-09	2843	1674
2022-03-10	4167	1761
2022-03-11	4167	1779
2022-03-12	4167	1787
2022-03-13	4167	1787
2022-03-14	4167	1787
2022-03-15	4168	1787
2022-03-16	4408	1887
2022-03-17	4097	1876
2022-03-18	4090	1873
2022-03-19	3959	1871
2022-03-20	3959	1871
2022-03-21	3959	1871
2022-03-22	3643	1867
2022-03-23	3422	1861
2022-03-24	3422	1861
2022-03-25	3420	1851
2022-03-26	3223	1851
2022-03-27	3223	1851
2022-03-28	3223	1851
2022-03-29	3234	1823
2022-03-30	3230	1823
2022-03-31	3299	1863
2022-04-01	3234	1870
