                     .	Tschechien	Niederlande	Belgien	Polen	Norwegen	Dänemark	Frankreich	Österreich	Schweiz	Russland	LNG	Deutschland Import
01.02.2023	0	874	805	0	1314	0	97	0	0	0	137	3227
02.02.2023	0	870	748	0	1266	0	99	0	0	0	144	3127
03.02.2023	0	898	763	0	1291	0	99	0	0	0	121	3172
04.02.2023	0	964	669	0	1336	0	75	0	0	0	24	3068
05.02.2023	0	884	728	0	1303	0	89	0	0	0	43	3047
06.02.2023	0	781	722	0	1329	0	83	0	0	0	127	3042
07.02.2023	0	839	587	0	1377	0	4	0	0	0	204	3011
08.02.2023	0	833	723	0	1347	0	91	0	0	0	186	3180
09.02.2023	0	1021	711	0	1316	0	99	0	0	0	181	3328
10.02.2023	0	992	723	0	1229	0	99	0	0	0	184	3227
11.02.2023	0	987	644	0	1296	0	99	0	0	0	183	3209
12.02.2023	0	994	588	0	1350	0	70	0	0	0	183	3185
13.02.2023	0	988	612	0	1321	0	65	0	0	0	215	3201
14.02.2023	0	970	665	0	1291	0	98	0	0	0	192	3216
15.02.2023	0	892	689	0	1296	0	91	0	0	0	192	3160
16.02.2023	0	840	750	0	1206	0	63	0	0	0	154	3013
17.02.2023	0	772	821	0	1253	0	90	0	0	0	128	3064
18.02.2023	0	805	798	0	1337	0	54	0	0	0	194	3188
19.02.2023	0	857	766	0	1331	0	56	0	0	0	174	3184
20.02.2023	0	876	770	0	1306	0	41	0	0	0	176	3169
21.02.2023	0	752	693	0	1283	0	88	0	0	0	176	2992
22.02.2023	0	626	704	0	1238	0	99	0	0	0	177	2844
23.02.2023	0	606	664	0	1245	0	84	0	0	0	192	2791
24.02.2023	0	772	753	0	1192	0	98	0	0	0	178	2993
25.02.2023	0	752	649	0	1293	0	103	0	40	0	172	3009
26.02.2023	0	762	675	0	1320	0	103	0	24	0	175	3059
27.02.2023	0	800	764	0	1333	0	94	0	0	0	162	3153
28.02.2023	0	770	804	0	1357	0	3	0	0	0	168	3102
01.03.2023	0	833	751	0	1284	0	98	0	0	0	212	3178
02.03.2023	0	806	629	0	1340	0	95	0	0	0	160	3030
03.03.2023	0	828	532	0	1347	0	93	0	0	0	163	2963
04.03.2023	0	936	583	0	1287	0	19	5	0	0	174	3004
05.03.2023	0	921	593	0	1259	0	7	1	0	0	88	2869
06.03.2023	0	1009	513	0	1269	0	0	0	0	0	81	2872
07.03.2023	0	866	312	0	1269	0	0	0	0	0	79	2526
08.03.2023	0	794	274	0	1241	0	0	4	0	0	79	2392
09.03.2023	0	798	366	0	1292	0	0	0	9	0	92	2557
10.03.2023	0	778	518	0	1225	0	0	22	102	0	132	2777
11.03.2023	0	772	597	0	1267	0	0	47	46	0	63	2792
12.03.2023	0	750	647	0	1291	0	0	52	110	0	49	2899
13.03.2023	0	697	753	0	1189	0	0	20	3	0	133	2795
14.03.2023	0	732	628	0	1157	0	0	2	0	0	153	2672
15.03.2023	0	903	720	0	1179	0	0	0	0	0	179	2981
16.03.2023	0	958	778	0	1206	0	0	0	0	0	182	3124
17.03.2023	0	760	802	0	1113	0	0	0	0	0	187	2862
18.03.2023	0	627	727	0	1209	0	0	0	0	0	183	2746
19.03.2023	0	627	658	0	1214	0	0	0	0	0	183	2682
20.03.2023	0	746	693	0	1188	0	0	0	0	0	182	2809
21.03.2023	0	759	741	0	1245	0	0	0	0	0	202	2947
22.03.2023	0	757	795	0	1274	0	0	0	0	0	218	3044
