,Datum,Postleitzahl,Ort,Ortsteil,Bundesland,Anzahl Haushalte,Gesamtkosten (brutto) in EUR pro Jahr (ohne Boni),Gewichteter Mittelwert d. Gesamtkosten (brutto) in EUR pro Jahr (ohne Boni),Anbieter,Tarif
0,2026-04-23,01067,Dresden,"Friedrichstadt,Innere Altstadt,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,11357,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
1,2026-04-23,01069,Dresden,"Innere Altstadt,Pirnaische Vorstadt,Räcknitz/Zschertnitz,Südvorstadt-Ost,Südvorstadt-West,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,14251,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
2,2026-04-23,01069,Dresden,Seevorstadt-Ost/Großer Garten,Sachsen,4817,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
3,2026-04-23,01097,Dresden,"Innere Neustadt,Leipziger Vorstadt,Pieschen-Nord/Trachenberge,Äußere Neustadt",Sachsen,10717,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
4,2026-04-23,01099,Dresden,"Albertstadt,Dresdener Heide,Hellerberge,Innere Neustadt,Leipziger Vorstadt,Loschwitz/Wachwitz,Radeberger Vorstadt,Äußere Neustadt",Sachsen,18298,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
5,2026-04-23,01108,Dresden,Marsdorf,Sachsen,115,1316.55,1316.55,Naturwerke GmbH,Naturstrom Premium classic
6,2026-04-23,01108,Dresden,Weixdorf,Sachsen,2671,1316.55,1316.55,Naturwerke GmbH,Naturstrom Premium classic
7,2026-04-23,01109,Dresden,"Dresdener Heide,Hellerau/Wilschdorf,Hellerberge,Industriegebiet Klotzsche",Sachsen,3090,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
8,2026-04-23,01109,Dresden,Klotzsche,Sachsen,8024,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
9,2026-04-23,01127,Dresden,"Hellerberge,Leipziger Vorstadt,Mickten,Pieschen-Nord/Trachenberge,Pieschen-Süd",Sachsen,9255,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
10,2026-04-23,01129,Dresden,"Hellerberge,Pieschen-Nord/Trachenberge,Trachau",Sachsen,10475,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
11,2026-04-23,01139,Dresden,"Kaditz,Mickten,Pieschen-Süd,Trachau",Sachsen,11536,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
12,2026-04-23,01156,Dresden,"Alt-Leuteritz,Brabschütz,Gohlis,Merbitz,Niederwartha,Oberwartha,Ockerwitz,Pennrich,Podemus,Rennersdorf,Roitzsch,Steinbach,Unkersdorf,Zöllmen",Sachsen,2576,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
13,2026-04-23,01156,Dresden,"Altfranken,Gompitz,Mobschatz",Sachsen,1297,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
14,2026-04-23,01156,Dresden,Cossebaude,Sachsen,1764,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
15,2026-04-23,01157,Dresden,"Briesnitz,Cotta,Friedrichstadt,Gorbitz-Nord/Neu-Omsewitz,Gorbitz-Ost,Löbtau-Nord",Sachsen,12152,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
16,2026-04-23,01159,Dresden,"Cotta,Friedrichstadt,Gorbitz-Ost,Löbtau-Nord,Löbtau-Süd,Naußlitz,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,18800,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
17,2026-04-23,01169,Dresden,"Briesnitz,Cotta,Gorbitz-Nord/Neu-Omsewitz,Gorbitz-Ost,Gorbitz-Süd,Naußlitz",Sachsen,12651,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
18,2026-04-23,01187,Dresden,"Löbtau-Nord,Löbtau-Süd,Plauen,Räcknitz/Zschertnitz,Südvorstadt-West",Sachsen,9233,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
19,2026-04-23,01187,Dresden,Naußlitz,Sachsen,1111,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
20,2026-04-23,01189,Dresden,"Coschütz/Gittersee,Kleinpestitz/Mockritz,Naußlitz,Plauen,Räcknitz/Zschertnitz",Sachsen,5458,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
21,2026-04-23,01217,Dresden,"Kleinpestitz/Mockritz,Leubnitz-Neuostra,Räcknitz/Zschertnitz,Strehlen,Südvorstadt-Ost",Sachsen,10749,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
22,2026-04-23,01219,Dresden,"Gruna,Leubnitz-Neuostra,Räcknitz/Zschertnitz,Seevorstadt-Ost/Großer Garten,Strehlen,Südvorstadt-Ost",Sachsen,13243,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
23,2026-04-23,01237,Dresden,"Leuben,Leubnitz-Neuostra,Prohlis-Nord,Reick,Seidnitz/Dobritz,Strehlen",Sachsen,9087,1278.10,1278.10,Grünwelt Wärmestrom GmbH,Strom Classic
