,Datum,Postleitzahl,Ort,Ortsteil,Bundesland,Anzahl Haushalte,Gesamtkosten (brutto) in EUR pro Jahr (ohne Boni),Gewichteter Mittelwert d. Gesamtkosten (brutto) in EUR pro Jahr (ohne Boni),Anbieter,Tarif
0,2026-04-23,01067,Dresden,"Friedrichstadt,Innere Altstadt,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,11357,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
1,2026-04-23,01069,Dresden,"Innere Altstadt,Pirnaische Vorstadt,Räcknitz/Zschertnitz,Südvorstadt-Ost,Südvorstadt-West,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,14251,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
2,2026-04-23,01069,Dresden,Seevorstadt-Ost/Großer Garten,Sachsen,4817,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
3,2026-04-23,01097,Dresden,"Innere Neustadt,Leipziger Vorstadt,Pieschen-Nord/Trachenberge,Äußere Neustadt",Sachsen,10717,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
4,2026-04-23,01099,Dresden,"Albertstadt,Dresdener Heide,Hellerberge,Innere Neustadt,Leipziger Vorstadt,Loschwitz/Wachwitz,Radeberger Vorstadt,Äußere Neustadt",Sachsen,18298,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
5,2026-04-23,01108,Dresden,"Marsdorf,Weixdorf",Sachsen,2786,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
6,2026-04-23,01109,Dresden,"Dresdener Heide,Hellerau/Wilschdorf,Hellerberge,Industriegebiet Klotzsche",Sachsen,11114,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
7,2026-04-23,01127,Dresden,"Hellerberge,Leipziger Vorstadt,Mickten,Pieschen-Nord/Trachenberge,Pieschen-Süd",Sachsen,9255,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
8,2026-04-23,01129,Dresden,"Hellerberge,Pieschen-Nord/Trachenberge,Trachau",Sachsen,10475,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
9,2026-04-23,01139,Dresden,"Kaditz,Mickten,Pieschen-Süd,Trachau",Sachsen,11536,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
10,2026-04-23,01156,Dresden,"Alt-Leuteritz,Altfranken,Brabschütz,Cossebaude,Gohlis,Gompitz,Merbitz,Mobschatz,Niederwartha,Oberwartha,Ockerwitz,Pennrich,Podemus,Rennersdorf,Roitzsch,Steinbach,Unkersdorf,Zöllmen",Sachsen,5637,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
11,2026-04-23,01157,Dresden,"Briesnitz,Cotta,Friedrichstadt,Gorbitz-Nord/Neu-Omsewitz,Gorbitz-Ost,Löbtau-Nord",Sachsen,12152,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
12,2026-04-23,01159,Dresden,"Cotta,Friedrichstadt,Gorbitz-Ost,Löbtau-Nord,Löbtau-Süd,Naußlitz,Wilsdruffer Vorstadt/Seevorstadt-West",Sachsen,18800,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
13,2026-04-23,01169,Dresden,"Briesnitz,Cotta,Gorbitz-Nord/Neu-Omsewitz,Gorbitz-Ost,Gorbitz-Süd,Naußlitz",Sachsen,12651,2317.12,2317.12,Yippie GmbH,Comfort Yippie Gas
