type,meldedatum,tages_min,tages_max,Durchschnitt unterstes Dezil,tages_mittel_min_25,tages_mittel_min_50,tages_mittel_min_75,Durchschnitt oberstes Dezil,tages_mittel_max_25,tages_mittel_max_50,tages_mittel_max_75,tages_mittel,Mittlerer Preis,tages_percentil_10,tages_percentil_90,n_unique_dates,n_preise,ags,abrufdatum,datenstand
3,2024-03-04,1.559,2.249,1.65583,1.67066,1.69337,1.70921,1.89287,1.82962,1.79066,1.75784,1.74014,1.729,1.669,1.809,144,1680087,00,2024-03-04 23:13:02,2024-03-04
3,2024-03-05,1.569,2.249,1.64553,1.66818,1.68513,1.70143,1.89866,1.82169,1.78121,1.75613,1.73361,1.719,1.659,1.809,144,1679284,00,2024-03-05 23:12:51,2024-03-05
3,2024-03-06,1.559,2.249,1.64326,1.65892,1.67667,1.69712,1.87218,1.81698,1.76906,1.74569,1.72588,1.709,1.659,1.799,144,1675900,00,2024-03-06 23:12:56,2024-03-06
3,2024-03-07,1.569,2.249,1.63685,1.65869,1.67588,1.69189,1.85819,1.81587,1.76835,1.74439,1.72287,1.709,1.649,1.789,144,1676053,00,2024-03-07 23:13:05,2024-03-07
3,2024-03-08,1.569,2.249,1.64633,1.65975,1.67739,1.69354,1.85898,1.80557,1.76782,1.74385,1.72408,1.709,1.659,1.789,144,1678288,00,2024-03-08 23:13:06,2024-03-08
3,2024-03-09,1.559,2.249,1.64478,1.65896,1.67727,1.69973,1.86216,1.81477,1.76719,1.74502,1.72591,1.709,1.659,1.789,144,1627444,00,2024-03-09 23:13:14,2024-03-09
3,2024-03-10,1.559,2.249,1.63611,1.65833,1.67638,1.6925,1.87714,1.80834,1.76615,1.74153,1.72046,1.709,1.649,1.789,144,1555831,00,2024-03-10 23:13:16,2024-03-10
3,2024-03-11,1.559,2.249,1.63561,1.65694,1.67395,1.69545,1.86137,1.81687,1.76947,1.74651,1.72281,1.709,1.649,1.789,144,1679010,00,2024-03-11 23:13:03,2024-03-11
3,2024-03-12,1.529,2.249,1.63452,1.649,1.66657,1.68769,1.85646,1.80928,1.75986,1.73677,1.71609,1.699,1.649,1.779,144,1683557,00,2024-03-12 23:12:53,2024-03-12
3,2024-03-13,1.539,2.249,1.62575,1.64791,1.66569,1.68214,1.87507,1.81353,1.76099,1.73701,1.71499,1.699,1.639,1.789,144,1682931,00,2024-03-13 23:12:57,2024-03-13
3,2024-03-14,1.53,2.249,1.62761,1.64862,1.66615,1.68243,1.87718,1.80327,1.76132,1.73705,1.71532,1.699,1.639,1.789,144,1682519,00,2024-03-14 23:13:09,2024-03-14
3,2024-03-15,1.478,2.249,1.63682,1.65064,1.67437,1.68985,1.89125,1.81315,1.77196,1.73916,1.72145,1.709,1.649,1.799,144,1683435,00,2024-03-15 23:13:07,2024-03-15
3,2024-03-16,1.489,2.249,1.63767,1.65769,1.67495,1.69112,1.8953,1.81368,1.77181,1.74658,1.72329,1.709,1.649,1.799,144,1632996,00,2024-03-16 23:13:07,2024-03-16
3,2024-03-17,1.549,2.249,1.63761,1.65771,1.67553,1.6959,1.8958,1.82535,1.77312,1.7488,1.72664,1.709,1.649,1.799,144,1559886,00,2024-03-17 23:13:13,2024-03-17
3,2024-03-18,1.549,2.239,1.64555,1.65913,1.67702,1.69729,1.8866,1.82153,1.77117,1.7476,1.72728,1.709,1.659,1.799,144,1682065,00,2024-03-18 23:13:04,2024-03-18
3,2024-03-19,1.549,2.249,1.65518,1.66926,1.6868,1.70299,1.90075,1.82107,1.78099,1.75573,1.73501,1.719,1.669,1.809,144,1683018,00,2024-03-19 23:13:07,2024-03-19
3,2024-03-20,1.559,2.249,1.65423,1.66876,1.68698,1.7073,1.89566,1.83204,1.78213,1.75791,1.73772,1.719,1.669,1.809,144,1685340,00,2024-03-20 23:13:00,2024-03-20
3,2024-03-21,1.539,2.249,1.64511,1.65927,1.68302,1.69932,1.8813,1.82025,1.78128,1.74962,1.73106,1.719,1.659,1.799,144,1685694,00,2024-03-21 23:13:02,2024-03-21
3,2024-03-22,1.539,2.249,1.63714,1.65789,1.67605,1.69765,1.86467,1.81878,1.77138,1.74784,1.72681,1.709,1.649,1.789,144,1686587,00,2024-03-22 23:13:09,2024-03-22
3,2024-03-23,1.539,2.249,1.63752,1.65836,1.67591,1.69733,1.87173,1.82226,1.77113,1.74655,1.72527,1.709,1.649,1.789,144,1635349,00,2024-03-23 23:13:03,2024-03-23
3,2024-03-24,1.549,2.249,1.63796,1.65813,1.67532,1.69117,1.87825,1.81481,1.77293,1.74688,1.724,1.709,1.649,1.789,144,1563690,00,2024-03-24 23:13:15,2024-03-24
3,2024-03-25,1.549,2.249,1.63735,1.6584700000000001,1.67625,1.69712,1.866,1.82029,1.77158,1.74745,1.72637,1.709,1.649,1.789,144,1685904,00,2024-03-25 23:12:52,2024-03-25
3,2024-03-26,1.549,2.249,1.6454,1.65875,1.67678,1.69763,1.88743,1.82075,1.7723,1.74899,1.72876,1.709,1.659,1.799,144,1685058,00,2024-03-26 23:13:04,2024-03-26
3,2024-03-27,1.529,2.249,1.63624,1.65727,1.67449,1.69105,1.87386,1.81289,1.77061,1.7458,1.72256,1.709,1.649,1.789,144,1686037,00,2024-03-27 23:12:59,2024-03-27
3,2024-03-28,1.529,2.249,1.63561,1.65702,1.67509,1.6969,1.86888,1.82105,1.77192,1.74799,1.72626,1.709,1.649,1.789,144,1684537,00,2024-03-28 23:13:02,2024-03-28
3,2024-03-29,1.539,2.259,1.63752,1.65838,1.67642,1.69326,1.88086,1.81306,1.77128,1.74724,1.72598,1.709,1.649,1.789,144,1659149,00,2024-03-29 23:13:02,2024-03-29
3,2024-03-30,1.549,2.269,1.63711,1.65763,1.67583,1.69284,1.90249,1.81435,1.77259,1.74806,1.72599,1.709,1.649,1.799,144,1635160,00,2024-03-30 23:13:02,2024-03-30
3,2024-03-31,1.549,2.249,1.63856,1.6586,1.67641,1.69651,1.91141,1.8291,1.77541,1.75069,1.72891,1.709,1.654,1.809,138,1532915,00,2024-03-31 22:13:10,2024-03-31
3,2024-04-01,1.549,2.259,1.64608,1.65963,1.67772,1.69817,1.90569,1.82527,1.78396,1.75057,1.73088,1.718,1.659,1.809,144,1656304,00,2024-04-01 22:12:55,2024-04-01
3,2024-04-02,1.539,2.269,1.64507,1.65916,1.68285,1.69921,1.89694,1.82072,1.78146,1.74975,1.73107,1.719,1.659,1.809,144,1677366,00,2024-04-02 22:13:18,2024-04-02
3,2024-04-03,1.549,2.249,1.65528,1.66976,1.68798,1.70813,1.89647,1.83454,1.78184,1.75767,1.7386,1.719,1.669,1.809,144,1683404,00,2024-04-03 22:13:15,2024-04-03
3,2024-04-04,1.559,2.309,1.66564,1.68133,1.7036,1.71876,1.9174,1.84308,1.80247,1.76847,1.75076,1.739,1.679,1.829,144,1687811,00,2024-04-04 22:13:12,2024-04-04
3,2024-04-05,1.559,2.329,1.66696,1.68796,1.70438,1.72378,1.91527,1.85254,1.80261,1.77697,1.75356,1.739,1.679,1.829,144,1692668,00,2024-04-05 22:13:16,2024-04-05
3,2024-04-06,1.588,2.249,1.66696,1.68905,1.70569,1.72135,1.92467,1.84643,1.80299,1.77649,1.75403,1.739,1.679,1.829,144,1646904,00,2024-04-06 22:13:14,2024-04-06
3,2024-04-07,1.588,2.249,1.66745,1.68894,1.70594,1.72238,1.92764,1.8468,1.8039,1.77845,1.75619,1.739,1.679,1.829,144,1573415,00,2024-04-07 22:13:23,2024-04-07
3,2024-04-08,1.588,2.259,1.67407,1.68873,1.71116,1.72711,1.92616,1.85237,1.81355,1.78088,1.76023,1.749,1.689,1.839,144,1695737,00,2024-04-08 22:12:52,2024-04-08
3,2024-04-09,1.579,2.259,1.66457,1.6872,1.70426,1.72367,1.90963,1.85369,1.80474,1.77918,1.75571,1.739,1.679,1.829,144,1698548,00,2024-04-09 22:13:15,2024-04-09
3,2024-04-10,1.569,2.259,1.65365,1.67719,1.69493,1.71418,1.91731,1.84761,1.79484,1.76867,1.74617,1.729,1.669,1.829,144,1696338,00,2024-04-10 22:13:05,2024-04-10
3,2024-04-11,1.569,2.269,1.6548,1.67701,1.69475,1.71453,1.90337,1.84544,1.79309,1.76775,1.74495,1.729,1.669,1.819,144,1693165,00,2024-04-11 22:13:11,2024-04-11
3,2024-04-12,1.569,2.269,1.65566,1.67059,1.68924,1.70928,1.90909,1.83815,1.78361,1.75851,1.74105,1.719,1.669,1.819,144,1691773,00,2024-04-12 22:13:10,2024-04-12
3,2024-04-13,1.579,2.269,1.65617,1.67836,1.69482,1.71053,1.92986,1.84099,1.79582,1.7684,1.74465,1.729,1.669,1.829,144,1635446,00,2024-04-13 22:13:11,2024-04-13
3,2024-04-14,1.579,2.279,1.65565,1.67058,1.69398,1.70995,1.92937,1.84449,1.79723,1.7637100000000001,1.74538,1.729,1.669,1.829,144,1562932,00,2024-04-14 22:13:21,2024-04-14
3,2024-04-15,1.579,2.269,1.66493,1.67902,1.69589,1.71564,1.91653,1.85015,1.79668,1.77124,1.74901,1.729,1.679,1.829,144,1684133,00,2024-04-15 22:13:02,2024-04-15
3,2024-04-16,1.569,2.269,1.65591,1.67733,1.69384,1.71301,1.91697,1.84845,1.79601,1.7698,1.74511,1.729,1.669,1.829,144,1680949,00,2024-04-16 22:12:58,2024-04-16
3,2024-04-17,1.539,2.259,1.65531,1.66958,1.68745,1.70747,1.91903,1.83804,1.78577,1.76113,1.74109,1.719,1.669,1.829,144,1682397,00,2024-04-17 22:13:08,2024-04-17
