type,meldedatum,tages_min,tages_max,Durchschnitt unterstes Dezil,tages_mittel_min_25,tages_mittel_min_50,tages_mittel_min_75,Durchschnitt oberstes Dezil,tages_mittel_max_25,tages_mittel_max_50,tages_mittel_max_75,tages_mittel,Mittlerer Preis,tages_percentil_10,tages_percentil_90,n_unique_dates,n_preise,ags,abrufdatum,datenstand
1,2024-11-05,1.559,2.309,1.63638,1.65021,1.6704,1.68435,1.86828,1.79163,1.74956,1.72758,1.71074,1.699,1.649,1.759,97,1075251,00,2024-11-06 13:45:57,2024-11-05
1,2024-11-06,1.559,2.269,1.62186,1.63735,1.64908,1.65805,1.8272,1.74619,1.71689,1.69737,1.68456,1.669,1.634,1.719,97,1075212,00,2024-11-06 15:28:08,2024-11-06
1,2024-11-26,1.548,2.419,1.64675,1.66022,1.67662,1.69535,1.89393,1.83199,1.77642,1.74929,1.72734,1.709,1.659,1.799,144,1581143,00,2024-11-26 23:33:00,2024-11-26
1,2024-11-27,1.528,2.419,1.63888,1.65241,1.66773,1.68154,1.92054,1.82137,1.77043,1.73906,1.71684,1.699,1.649,1.798,144,1604621,00,2024-11-27 23:28:58,2024-11-27
1,2024-11-28,1.549,2.409,1.63031,1.64427,1.6544,1.67165,1.90909,1.81581,1.74957,1.72774,1.70654,1.679,1.639,1.789,144,1614138,00,2024-11-28 23:33:49,2024-11-28
1,2024-11-29,1.549,2.399,1.63011,1.64448,1.6605,1.67935,1.90218,1.82158,1.75958,1.73184,1.71406,1.689,1.639,1.789,144,1626463,00,2024-11-29 23:29:27,2024-11-29
1,2024-11-30,1.529,2.399,1.63035,1.64457,1.66044,1.6757,1.91636,1.81373,1.75982,1.73058,1.71206,1.689,1.639,1.789,144,1583454,00,2024-11-30 23:34:01,2024-11-30
1,2024-12-01,1.549,2.399,1.63071,1.64457,1.66035,1.67527,1.92313,1.81689,1.76187,1.7314,1.71228,1.689,1.639,1.789,144,1510605,00,2024-12-01 23:29:33,2024-12-01
1,2024-12-02,1.549,2.399,1.63014,1.64457,1.66104,1.67951,1.90262,1.82341,1.76055,1.73236,1.715,1.689,1.639,1.789,144,1633810,00,2024-12-02 23:29:57,2024-12-02
1,2024-12-03,1.539,2.409,1.62961,1.64366,1.65983,1.6744,1.90773,1.81261,1.76134,1.73074,1.71146,1.689,1.639,1.789,144,1635594,00,2024-12-03 23:31:40,2024-12-03
1,2024-12-04,1.529,2.409,1.62527,1.64289,1.65997,1.67898,1.9016,1.80348,1.75143,1.72507,1.70855,1.689,1.639,1.779,144,1631543,00,2024-12-04 23:29:24,2024-12-04
1,2024-12-05,1.539,2.409,1.63823,1.65188,1.66769,1.68217,1.91205,1.81723,1.76873,1.73929,1.71736,1.699,1.649,1.799,144,1633671,00,2024-12-05 23:29:28,2024-12-05
1,2024-12-06,1.529,2.409,1.62947,1.64376,1.66049,1.67982,1.89101,1.81588,1.75765,1.73137,1.71408,1.689,1.639,1.789,144,1632388,00,2024-12-06 23:32:22,2024-12-06
