periodFrom	Mallnow	Waidhaus	Greifswald (Nord Stream 1)
2022-01-01	0.0	62.9	159.3
2022-01-02	0.0	62.5	160.5
2022-01-03	0.0	63.5	158.6
2022-01-04	0.0	62.5	158.3
2022-01-05	0.0	62.5	160.5
2022-01-06	0.0	62.8	159.1
2022-01-07	0.0	62.7	160.5
2022-01-08	0.0	62.1	158.1
2022-01-09	0.0	61.9	158.0
2022-01-10	0.0	63.2	158.0
2022-01-11	0.0	62.6	158.1
2022-01-12	0.0	61.7	158.0
2022-01-13	0.0	62.9	158.0
2022-01-14	0.0	62.3	157.9
2022-01-15	0.0	63.5	158.3
2022-01-16	0.0	63.0	158.0
2022-01-17	0.0	62.7	160.5
2022-01-18	0.0	62.7	158.1
2022-01-19	0.0	62.7	158.0
2022-01-20	0.0	62.9	158.1
2022-01-21	0.0	65.5	158.1
2022-01-22	0.0	63.4	158.0
2022-01-23	0.0	62.6	158.0
2022-01-24	0.0	62.1	158.0
2022-01-25	0.0	62.3	160.6
2022-01-26	0.0	61.0	160.5
2022-01-27	0.0	63.4	160.5
2022-01-28	0.0	62.3	160.6
2022-01-29	0.0	62.8	160.5
2022-01-30	0.0	63.7	160.6
2022-01-31	0.0	64.0	160.5
2022-02-01	0.0	61.4	170.4
2022-02-02	0.0	62.1	170.4
2022-02-03	0.0	62.4	171.1
2022-02-04	0.0	62.4	170.3
2022-02-05	0.0	63.1	170.8
2022-02-06	0.0	63.1	170.5
2022-02-07	0.0	63.9	170.5
2022-02-08	0.0	63.9	170.2
2022-02-09	0.0	64.1	170.6
2022-02-10	0.0	63.4	166.5
2022-02-11	0.0	59.6	166.3
2022-02-12	0.0	62.9	166.3
2022-02-13	0.0	63.7	166.3
2022-02-14	0.0	62.9	167.4
2022-02-15	0.0	62.0	170.5
2022-02-16	0.0	63.4	159.5
2022-02-17	0.0	62.8	159.5
2022-02-18	0.0	62.1	165.1
2022-02-19	0.0	62.7	159.5
2022-02-20	0.0	62.7	159.5
2022-02-21	0.0	65.0	159.6
2022-02-22	0.0	63.0	164.8
2022-02-23	0.0	62.3	171.0
2022-02-24	0.0	62.7	170.3
2022-02-25	4.7	61.5	170.1
2022-02-26	10.4	63.7	171.1
2022-02-27	0.0	62.4	170.3
2022-02-28	3.5	62.3	170.4
2022-03-01	16.3	62.4	169.6
2022-03-02	16.9	61.7	170.6
2022-03-03	13.8	62.6	165.5
