periodFrom	nordstream1
2022-08-28 06:00:00	1.4051
2022-08-28 07:00:00	1.4041
2022-08-28 08:00:00	1.4039
2022-08-28 09:00:00	1.4019
2022-08-28 10:00:00	1.4057
2022-08-28 11:00:00	1.4035
2022-08-28 12:00:00	1.4028
2022-08-28 13:00:00	1.4023
2022-08-28 14:00:00	1.3998
2022-08-28 15:00:00	1.4017
2022-08-28 16:00:00	1.4014
2022-08-28 17:00:00	1.4026
2022-08-28 18:00:00	1.4027
2022-08-28 19:00:00	1.4023
2022-08-28 20:00:00	1.4041
2022-08-28 21:00:00	1.4019
2022-08-28 22:00:00	1.4027
2022-08-28 23:00:00	1.4048
2022-08-29 00:00:00	1.4016
2022-08-29 01:00:00	1.4023
2022-08-29 02:00:00	1.4027
2022-08-29 03:00:00	1.4033
2022-08-29 04:00:00	1.4014
2022-08-29 05:00:00	1.403
2022-08-29 06:00:00	1.4042
2022-08-29 07:00:00	1.4005
2022-08-29 08:00:00	1.4412
2022-08-29 09:00:00	1.4424
2022-08-29 10:00:00	1.4185
2022-08-29 11:00:00	1.4206
2022-08-29 12:00:00	1.4026
2022-08-29 13:00:00	1.4038
2022-08-29 14:00:00	1.403
2022-08-29 15:00:00	1.4028
2022-08-29 16:00:00	1.4026
2022-08-29 17:00:00	1.4026
2022-08-29 18:00:00	1.4011
2022-08-29 19:00:00	1.4032
2022-08-29 20:00:00	1.4056
2022-08-29 21:00:00	1.4031
2022-08-29 22:00:00	1.4025
2022-08-29 23:00:00	1.4047
2022-08-30 00:00:00	1.4013
2022-08-30 01:00:00	1.4034
2022-08-30 02:00:00	1.4025
2022-08-30 03:00:00	1.402
2022-08-30 04:00:00	1.4035
2022-08-30 05:00:00	1.4018
2022-08-30 06:00:00	1.4034
2022-08-30 07:00:00	1.4025
2022-08-30 08:00:00	1.4005
2022-08-30 09:00:00	1.4009
2022-08-30 10:00:00	1.4011
2022-08-30 11:00:00	1.4035
2022-08-30 12:00:00	1.4019
2022-08-30 13:00:00	1.4012
2022-08-30 14:00:00	1.3994
2022-08-30 15:00:00	1.4001
2022-08-30 16:00:00	1.4028
2022-08-30 17:00:00	1.4
2022-08-30 18:00:00	1.4013
2022-08-30 19:00:00	1.3984
2022-08-30 20:00:00	1.3999
2022-08-30 21:00:00	1.4002
2022-08-30 22:00:00	1.3993
2022-08-30 23:00:00	1.402
2022-08-31 00:00:00	1.4034
2022-08-31 01:00:00	1.4013
2022-08-31 02:00:00	0.1891
2022-08-31 03:00:00	0.0
2022-08-31 04:00:00	0.0
2022-08-31 05:00:00	0.0
2022-08-31 06:00:00	0.0
2022-08-31 07:00:00	0.0
2022-08-31 08:00:00	0.0
2022-08-31 09:00:00	0.0123
2022-08-31 10:00:00	0.0103
2022-08-31 11:00:00	0.0
2022-08-31 12:00:00	0.0
2022-08-31 13:00:00	0.0
2022-08-31 14:00:00	0.0
2022-08-31 15:00:00	0.0
2022-08-31 16:00:00	0.0
2022-08-31 17:00:00	0.0
2022-08-31 18:00:00	0.0
2022-08-31 19:00:00	0.0
2022-08-31 20:00:00	0.0
2022-08-31 21:00:00	0.0
2022-08-31 22:00:00	0.0
2022-08-31 23:00:00	0.0
2022-09-01 00:00:00	0.0
2022-09-01 01:00:00	0.0
2022-09-01 02:00:00	0.0
2022-09-01 03:00:00	0.0
2022-09-01 04:00:00	0.0
2022-09-01 05:00:00	0.0
2022-09-01 06:00:00	0.0
2022-09-01 07:00:00	0.0
2022-09-01 08:00:00	0.0
