periodFrom	Summe
2022-01-01	222.2
2022-01-02	223.0
2022-01-03	222.1
2022-01-04	220.7
2022-01-05	223.0
2022-01-06	221.9
2022-01-07	223.2
2022-01-08	220.2
2022-01-09	219.9
2022-01-10	221.2
2022-01-11	220.6
2022-01-12	219.7
2022-01-13	220.8
2022-01-14	220.2
2022-01-15	221.8
2022-01-16	221.0
2022-01-17	223.2
2022-01-18	220.8
2022-01-19	220.7
2022-01-20	221.0
2022-01-21	223.5
2022-01-22	221.4
2022-01-23	220.7
2022-01-24	220.1
2022-01-25	222.9
2022-01-26	221.5
2022-01-27	223.9
2022-01-28	222.9
2022-01-29	223.3
2022-01-30	224.3
2022-01-31	224.5
2022-02-01	231.8
2022-02-02	232.4
2022-02-03	233.5
2022-02-04	232.7
2022-02-05	233.9
2022-02-06	233.5
2022-02-07	234.4
2022-02-08	234.1
2022-02-09	234.7
2022-02-10	229.9
2022-02-11	225.9
2022-02-12	229.2
2022-02-13	230.0
2022-02-14	230.3
2022-02-15	232.5
2022-02-16	223.0
2022-02-17	222.3
2022-02-18	227.2
2022-02-19	222.3
2022-02-20	222.2
2022-02-21	224.5
2022-02-22	227.8
2022-02-23	233.3
2022-02-24	233.0
2022-02-25	236.2
2022-02-26	245.3
2022-02-27	232.7
2022-02-28	236.3
2022-03-01	248.2
2022-03-02	249.2
2022-03-03	241.9
2022-03-04	248.6
2022-03-05	249.7
2022-03-06	249.4
2022-03-07	246.6
2022-03-08	248.8
2022-03-09	249.5
2022-03-10	249.6
2022-03-11	252.6
2022-03-12	251.8
2022-03-13	252.7
2022-03-14	257.9
2022-03-15	232.8
2022-03-16	219.6
2022-03-17	209.1
2022-03-18	195.8
2022-03-19	195.7
2022-03-20	196.2
2022-03-21	203.8
2022-03-22	213.3
2022-03-23	215.0
2022-03-24	225.8
2022-03-25	233.4
2022-03-26	225.6
2022-03-27	235.0
2022-03-28	233.9
2022-03-29	234.4
2022-03-30	245.3
2022-03-31	248.6
2022-04-01	236.0
2022-04-02	234.7
2022-04-03	236.2
2022-04-04	236.1
2022-04-05	233.5
2022-04-06	243.3
2022-04-07	234.9
2022-04-08	229.0
2022-04-09	234.4
2022-04-10	233.4
2022-04-11	234.6
2022-04-12	235.5
2022-04-13	234.1
2022-04-14	235.1
2022-04-15	234.4
2022-04-16	234.8
2022-04-17	233.4
2022-04-18	232.7
2022-04-19	232.6
2022-04-20	235.3
2022-04-21	235.1
2022-04-22	233.9
2022-04-23	233.2
2022-04-24	236.9
2022-04-25	238.2
2022-04-26	237.0
2022-04-27	233.3
2022-04-28	233.9
2022-04-29	233.4
2022-04-30	234.1
2022-05-01	228.3
2022-05-02	230.3
2022-05-03	230.8
2022-05-04	230.4
2022-05-05	230.3
2022-05-06	230.3
2022-05-07	226.5
2022-05-08	225.9
2022-05-09	221.2
2022-05-10	221.9
2022-05-11	210.3
2022-05-12	203.0
2022-05-13	212.2
2022-05-14	211.6
2022-05-15	212.0
2022-05-16	211.1
2022-05-17	222.6
2022-05-18	221.5
2022-05-19	216.1
2022-05-20	216.5
2022-05-21	219.1
2022-05-22	218.0
2022-05-23	217.5
2022-05-24	227.1
2022-05-25	226.2
2022-05-26	218.2
2022-05-27	217.3
2022-05-28	224.6
2022-05-29	224.7
2022-05-30	224.8
2022-05-31	205.4
2022-06-01	233.0
2022-06-02	226.1
2022-06-03	227.3
2022-06-04	215.5
2022-06-05	215.2
2022-06-06	217.6
2022-06-07	213.3
2022-06-08	216.0
2022-06-09	207.3
2022-06-10	211.5
2022-06-11	201.4
2022-06-12	206.0
2022-06-13	173.1
2022-06-14	148.5
2022-06-15	129.5
2022-06-16	91.5
2022-06-17	90.8
2022-06-18	89.1
2022-06-19	88.5
2022-06-20	90.0
2022-06-21	88.9
2022-06-22	90.7
2022-06-23	91.7
2022-06-24	89.4
2022-06-25	84.1
2022-06-26	83.6
2022-06-27	85.5
2022-06-28	89.3
2022-06-29	88.1
2022-06-30	87.5
2022-07-01	85.4
2022-07-02	89.1
2022-07-03	87.1
2022-07-04	91.8
2022-07-05	89.1
2022-07-06	90.6
2022-07-07	93.4
2022-07-08	91.7
2022-07-09	92.5
2022-07-10	89.2
2022-07-11	5.9
2022-07-12	1.5
2022-07-13	0.0
2022-07-14	0.0
2022-07-15	0.0
2022-07-16	0.0
2022-07-17	0.0
2022-07-18	0.0
2022-07-19	0.0
2022-07-20	0.0
2022-07-21	90.1
2022-07-22	93.4
2022-07-23	89.4
2022-07-24	89.7
2022-07-25	90.4
2022-07-26	88.0
2022-07-27	50.6
2022-07-28	44.6
2022-07-29	46.6
2022-07-30	47.5
2022-07-31	44.3
2022-08-01	46.5
2022-08-02	47.6
2022-08-03	46.9
2022-08-04	47.0
2022-08-05	45.2
2022-08-06	47.5
2022-08-07	47.5
2022-08-08	47.5
2022-08-09	47.5
2022-08-10	48.0
2022-08-11	48.2
2022-08-12	43.9
2022-08-13	46.3
2022-08-14	47.9
2022-08-15	46.9
2022-08-16	47.4
2022-08-17	48.3
2022-08-18	48.3
