periodFrom	Russland	Deutschland Import
2022-01-01	159.1	451.2
2022-01-02	160.4	454.3
2022-01-03	158.5	449.7
2022-01-04	158.3	441.5
2022-01-05	160.4	425.1
2022-01-06	159.1	433.1
2022-01-07	160.5	440.2
2022-01-08	158.1	449.3
2022-01-09	158.1	440.8
2022-01-10	158.1	449.2
2022-01-11	158.1	451.8
2022-01-12	158.1	457.7
2022-01-13	158.0	445.9
2022-01-14	157.9	446.6
2022-01-15	158.3	445.4
2022-01-16	158.2	441.6
2022-01-17	160.5	446.8
2022-01-18	158.1	440.3
2022-01-19	158.0	456.6
2022-01-20	158.1	461.9
2022-01-21	158.1	462.4
2022-01-22	158.1	445.7
2022-01-23	158.1	441.4
2022-01-24	158.2	449.0
2022-01-25	160.6	454.5
2022-01-26	160.5	465.4
2022-01-27	160.6	476.1
2022-01-28	160.6	450.1
2022-01-29	160.5	461.7
2022-01-30	160.6	461.1
2022-01-31	161.0	457.3
2022-02-01	170.3	484.5
2022-02-02	170.4	473.9
2022-02-03	170.9	477.3
2022-02-04	170.4	485.6
2022-02-05	170.7	477.1
2022-02-06	170.5	479.6
2022-02-07	170.7	482.5
2022-02-08	170.2	475.2
2022-02-09	170.5	480.9
2022-02-10	166.5	463.6
2022-02-11	166.2	466.6
2022-02-12	166.3	485.9
2022-02-13	166.5	486.5
2022-02-14	167.6	482.7
2022-02-15	170.5	480.1
2022-02-16	159.0	464.7
2022-02-17	159.5	462.9
2022-02-18	165.0	452.9
2022-02-19	159.5	443.6
2022-02-20	159.5	436.1
2022-02-21	159.6	449.3
2022-02-22	165.1	449.0
2022-02-23	170.8	461.4
2022-02-24	170.3	459.1
2022-02-25	170.3	452.0
2022-02-26	171.1	467.4
2022-02-27	170.4	461.4
2022-02-28	170.1	471.7
2022-03-01	169.9	473.0
2022-03-02	170.6	470.1
2022-03-03	165.4	470.7
2022-03-04	174.6	476.5
2022-03-05	171.6	466.2
2022-03-06	170.3	468.2
2022-03-07	170.8	475.2
2022-03-08	170.5	482.5
2022-03-09	170.4	480.1
2022-03-10	170.3	476.8
2022-03-11	170.8	489.3
2022-03-12	170.0	479.3
2022-03-13	170.4	481.6
2022-03-14	170.8	482.3
2022-03-15	170.6	457.9
2022-03-16	155.8	434.6
2022-03-17	145.4	440.1
