	plz	einwohner
0	01067	11957
1	01069	25491
2	01097	14821
3	01099	28018
4	01108	5876
5	01109	20010
6	01127	15079
7	01129	18915
8	01139	17555
9	01156	11317
10	01157	20684
11	01159	27666
12	01169	19091
13	01187	16423
14	01189	9741
15	01217	17501
16	01219	20916
17	01237	15536
18	01239	15134
19	01257	16265
20	01259	19007
21	01277	31798
22	01279	21201
23	01307	23815
24	01309	32890
25	01324	8874
26	01326	10802
27	01328	12342
28	01445	33224
29	01454	22281
30	01458	9817
31	01465	4104
32	01468	8215
33	01471	7592
34	01477	4776
35	01558	14551
36	01561	20492
37	01587	12390
38	01589	10121
39	01591	8795
40	01594	6780
41	01609	12490
42	01612	8042
43	01616	3888
44	01619	6215
45	01623	5408
46	01640	20751
47	01662	27076
48	01665	16574
49	01683	11035
50	01689	13976
51	01705	38322
52	01723	11815
53	01728	10419
54	01731	4365
55	01734	4390
56	01737	7036
57	01738	1113
58	01744	14642
59	01762	1147
60	01768	6993
61	01773	5504
62	01774	7050
63	01776	869
64	01778	3065
65	01796	41947
66	01809	24151
67	01814	6482
68	01816	5796
69	01819	2232
70	01824	6474
71	01825	1435
72	01829	1666
73	01833	10143
74	01844	13336
75	01847	3148
76	01848	3513
77	01855	10390
78	01877	19908
79	01896	11696
80	01900	9736
81	01904	8227
82	01906	2775
83	01909	4005
84	01917	17848
85	01920	18532
86	01936	11707
87	01945	11001
88	01968	24423
89	01979	16088
90	01983	9382
91	01987	5972
92	01990	3403
93	01993	2761
94	01994	1986
95	01996	1814
96	01998	1415
97	02625	40343
98	02627	11881
99	02633	4974
100	02681	12222
101	02689	7117
102	02692	7042
103	02694	9454
104	02699	7163
105	02708	26998
106	02727	5758
107	02730	7784
108	02733	5014
109	02736	3785
110	02739	4453
111	02742	3588
112	02747	6369
113	02748	3665
114	02763	28718
115	02779	6282
116	02782	4069
117	02785	5427
118	02788	4183
119	02791	5495
120	02794	3860
121	02796	1715
122	02797	1515
123	02799	1282
124	02826	25382
125	02827	17068
126	02828	12013
127	02829	9743
128	02894	7146
129	02899	4107
130	02906	18024
131	02923	5860
132	02929	5110
133	02943	23176
134	02953	6032
135	02956	2736
136	02957	5015
137	02959	4305
138	02977	36125
139	02979	5794
140	02991	9144
141	02994	6798
142	02997	5892
143	02999	5735
144	03042	18419
145	03044	17694
146	03046	20626
147	03048	14639
148	03050	14076
149	03051	6526
150	03052	1505
151	03053	694
152	03054	2302
153	03055	3613
154	03058	5228
155	03096	9426
156	03099	9364
157	03103	2035
158	03116	5914
159	03119	3942
160	03130	27681
161	03149	22297
162	03159	5360
163	03172	22755
164	03185	9714
165	03197	1455
166	03205	9068
167	03222	16525
168	03226	8798
169	03229	3606
170	03238	24729
171	03246	1395
172	03249	3503
173	03253	12064
174	04103	13502
175	04105	15890
176	04107	11593
177	04109	11615
178	04129	11601
179	04155	16245
180	04157	22275
181	04158	13979
182	04159	21913
183	04177	16855
184	04178	14379
185	04179	14550
186	04205	14523
187	04207	17885
188	04209	18835
189	04229	30475
190	04249	14730
191	04275	22189
192	04277	21625
193	04279	15023
194	04288	11173
195	04289	9279
196	04299	14268
197	04315	15847
198	04316	7578
199	04317	17627
200	04318	14151
201	04319	10874
202	04328	4101
203	04329	14607
204	04347	19258
205	04349	8168
206	04356	2286
207	04357	14336
208	04416	23530
209	04420	14800
210	04425	14164
211	04435	16951
212	04442	8798
213	04451	8212
214	04463	5338
215	04509	39116
216	04519	4933
217	04523	7826
218	04539	7824
219	04552	19802
220	04564	6704
221	04565	4164
222	04567	5377
223	04571	6095
224	04575	7178
225	04600	34093
226	04603	10356
227	04610	10968
228	04613	4071
229	04617	10908
230	04618	2197
231	04626	19057
232	04639	5353
233	04643	7556
234	04651	8399
235	04654	13483
236	04668	34365
237	04680	9253
238	04683	11809
239	04687	4085
240	04703	8898
241	04720	28919
242	04736	9403
243	04741	7964
244	04746	7795
245	04749	3967
246	04758	20808
247	04769	8910
248	04774	4601
249	04779	5509
250	04808	27018
251	04821	6352
252	04824	3113
253	04827	5967
254	04828	5736
255	04838	27928
256	04849	10313
257	04860	20638
258	04861	2297
259	04862	5193
260	04874	4716
261	04880	5580
262	04886	6522
263	04889	3579
264	04895	8588
265	04910	8611
266	04916	13189
267	04924	11917
268	04928	3436
269	04931	3956
270	04932	9156
271	04934	2218
272	04936	5430
273	04938	2403
274	06108	17376
275	06110	28584
276	06112	11992
277	06114	21950
278	06116	11479
279	06118	17123
280	06120	20115
281	06122	15337
282	06124	21269
283	06126	10619
284	06128	19725
285	06130	12688
286	06132	21041
287	06179	13520
288	06184	8851
289	06188	15312
290	06193	20750
291	06198	12122
292	06217	33814
293	06231	12058
294	06237	14170
295	06242	10071
296	06246	9173
297	06249	5930
298	06255	607
299	06258	11340
300	06259	1589
301	06268	19154
302	06279	2825
303	06295	25503
304	06308	4738
305	06311	4278
306	06313	4696
307	06317	9652
308	06333	15752
309	06343	9667
310	06347	8072
311	06366	24439
312	06369	9977
313	06385	8023
314	06386	11790
315	06388	5471
316	06406	35048
317	06408	1117
318	06420	9113
319	06425	3969
320	06429	6979
321	06449	30552
322	06456	7353
323	06458	2992
324	06463	4690
325	06464	1446
326	06466	2212
327	06467	2461
328	06469	1836
329	06484	21982
330	06485	5657
331	06493	18327
332	06502	19485
333	06526	28932
334	06528	6067
335	06536	11904
336	06537	3666
337	06542	8397
338	06543	615
339	06556	9476
340	06567	10307
341	06571	9184
342	06577	7539
343	06578	1575
344	06618	32968
345	06628	6484
346	06632	8271
347	06636	3150
348	06638	1941
349	06642	5249
350	06647	7131
351	06648	2416
352	06667	38899
353	06679	10356
354	06682	8839
355	06686	9190
356	06688	3356
357	06711	3494
358	06712	32632
359	06721	3717
360	06722	3970
361	06729	8951
362	06749	14595
363	06766	23337
364	06772	4909
365	06773	8107
366	06774	12097
367	06779	5855
368	06780	9748
369	06785	8641
370	06792	8866
371	06794	595
372	06796	2741
373	06800	3844
374	06803	2521
375	06808	2896
376	06809	3016
377	06842	13398
378	06844	19944
379	06846	13169
380	06847	14665
381	06849	9888
382	06861	1459
383	06862	13561
384	06868	2129
385	06869	10698
386	06886	36835
387	06888	4391
388	06889	6259
389	06895	9814
390	06901	10641
391	06905	8868
392	06917	14682
393	06925	7417
394	07318	30831
395	07330	3314
396	07333	8997
397	07338	6072
398	07343	3294
399	07349	1840
400	07356	6322
401	07366	4535
402	07368	3766
403	07381	17291
404	07387	2823
405	07389	3590
406	07407	32431
407	07422	7002
408	07426	8593
409	07427	515
410	07429	1357
411	07545	15163
412	07546	17449
413	07548	18556
414	07549	21721
415	07551	8688
416	07552	8845
417	07554	9208
418	07557	1524
419	07570	15424
420	07580	10798
421	07586	8769
422	07589	5143
423	07607	11550
424	07613	5510
425	07616	4857
426	07619	2854
427	07629	10646
428	07639	5808
429	07646	15622
430	07743	32097
431	07745	26247
432	07747	23339
433	07749	17222
434	07751	13190
435	07768	13017
436	07774	6804
437	07778	2064
438	07806	11088
439	07819	6266
440	07907	12574
441	07919	1851
442	07922	3813
443	07924	1835
444	07926	2665
445	07927	2300
446	07929	3675
447	07937	14718
448	07950	4154
449	07952	3590
450	07955	3872
451	07957	4543
452	07958	1700
453	07973	22698
454	07980	3658
455	07985	4459
456	07987	5242
457	08056	19241
458	08058	20025
459	08060	15263
460	08062	13382
461	08064	10169
462	08066	15166
463	08107	10169
464	08112	10577
465	08115	6724
466	08118	4831
467	08132	11925
468	08134	6538
469	08141	8052
470	08144	1224
471	08147	2091
472	08209	19698
473	08223	11813
474	08228	6817
475	08233	8436
476	08236	2806
477	08237	2949
478	08239	2365
479	08248	8003
480	08258	8281
481	08261	3458
482	08262	3340
483	08267	1380
484	08280	16941
485	08289	14980
486	08294	9386
487	08297	12654
488	08301	5059
489	08304	4949
490	08309	8073
491	08315	9202
492	08321	5598
493	08324	2442
494	08328	3585
495	08340	18053
496	08344	6203
497	08349	4549
