Datum	Netzlast [MWh] Originalauflösungen
2023-01-08	8825412.75
2023-01-15	9732190.0
2023-01-22	9858735.0
2023-01-29	9766307.25
2023-02-05	9860289.75
2023-02-12	9727863.25
2023-02-19	9399113.75
2023-02-26	9357328.75
2023-03-05	9367912.25
2023-03-12	9361631.25
2023-03-19	9189541.0
2023-03-26	8936096.5
2023-04-02	9112848.75
2023-04-09	8342987.0
2023-04-16	8327604.0
2023-04-23	8604754.75
2023-04-30	8567262.0
2023-05-07	8267163.75
2023-05-14	8564903.25
2023-05-21	7970672.25
2023-05-28	8175367.75
2023-06-04	7800732.25
2023-06-11	7944182.25
2023-06-18	8339193.25
2023-06-25	8410308.25
2023-07-02	8395558.5
2023-07-09	8371303.5
2023-07-16	8382408.75
2023-07-23	8140723.25
2023-07-30	8077979.75
2023-08-06	8092936.75
2023-08-13	8071137.0
2023-08-20	8126218.75
2023-08-27	8269723.0
2023-09-03	8215464.5
2023-09-10	8303111.25
2023-09-17	8439037.0
2023-09-24	8399193.5
2023-10-01	8390909.75
2023-10-08	8197874.5
2023-10-15	8795204.75
2023-10-22	9051710.0
2023-10-29	9163911.25
2023-11-05	8865677.25
2023-11-12	9475409.75
2023-11-19	9568059.5
2023-11-26	9709790.25
2023-12-03	10154767.5
2023-12-10	10113309.5
2023-12-17	9630242.75
2023-12-24	9341263.5
2023-12-31	7841129.25
2024-01-07	8872359.0
2024-01-14	10355651.75
2024-01-21	10583885.75
2024-01-28	9925268.25
2024-02-04	9872308.5
2024-02-11	9735674.25
2024-02-18	9394112.0
2024-02-25	9595009.25
2024-03-03	9415218.0
2024-03-10	9503050.25
2024-03-17	9342750.5
2024-03-24	9170542.75
2024-03-31	8479180.75
2024-04-07	8551175.75
2024-04-14	8796768.25
2024-04-21	8963818.0
2024-04-28	8903481.75
2024-05-05	8140142.0
2024-05-12	7989753.25
2024-05-19	8459056.0
2024-05-26	7947005.5
2024-06-02	8073910.75
2024-06-09	8309200.5
2024-06-16	8398160.75
2024-06-23	8438845.25
2024-06-30	8447791.75
2024-07-07	8507090.25
2024-07-14	8402146.5
2024-07-21	8323297.75
2024-07-28	8210692.5
2024-08-04	8079005.0
2024-08-11	8259006.25
2024-08-18	8361583.5
2024-08-25	8333388.5
2024-09-01	8430795.25
2024-09-08	8748715.75
2024-09-15	8625180.75
2024-09-22	8326958.5
2024-09-29	8605346.75
2024-10-06	8321647.75
2024-10-13	8786568.0
2024-10-20	8786711.0
2024-10-27	8747587.5
2024-11-03	8708312.25
2024-11-10	9306603.5
2024-11-17	9807104.75
2024-11-24	10112253.25
2024-12-01	9904146.25
2024-12-08	10049795.75
2024-12-15	10055950.5
2024-12-22	9501448.0
2024-12-29	8052886.75
2025-01-05	8825965.25
2025-01-12	10010755.0
2025-01-19	10353851.25
2025-01-26	10058597.75
2025-02-02	9878431.5
2025-02-09	10176169.25
2025-02-16	10333750.0
2025-02-23	9942845.5
2025-03-02	9567242.25
2025-03-09	9275170.75
2025-03-16	9356909.75
2025-03-23	9182536.25
2025-03-30	8980088.0
2025-04-06	8583058.5
2025-04-13	8559102.5
2025-04-20	8165549.75
2025-04-27	8147920.0
2025-05-04	7833228.5
2025-05-11	8272946.5
2025-05-18	8239044.25
2025-05-25	8349130.5
2025-06-01	7906401.0
2025-06-08	8405261.25
2025-06-15	7983832.75
2025-06-22	7983899.25
2025-06-29	8641262.0
2025-07-06	8686474.0
