Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
25.05.2021;09:45;1.239;557;196;5.247;3.268;38;1.993;2.278;913;929;416;341
25.05.2021;10:00;1.240;591;217;5.321;3.518;38;1.995;2.286;889;904;572;340
25.05.2021;10:15;1.241;591;240;5.364;3.695;37;1.993;2.290;823;868;528;347
25.05.2021;10:30;1.241;559;253;5.402;3.815;37;1.993;2.311;744;870;363;344
25.05.2021;10:45;1.246;543;267;5.451;4.032;37;1.994;2.351;687;841;250;345
25.05.2021;11:00;1.247;588;261;5.481;4.342;37;1.993;2.348;650;805;355;343
25.05.2021;11:15;1.246;568;257;5.571;4.467;37;1.993;2.323;622;789;266;342
25.05.2021;11:30;1.243;568;257;5.529;4.619;37;1.993;2.328;617;785;224;345
25.05.2021;11:45;1.243;556;262;5.628;4.755;36;1.991;2.317;574;775;216;344
25.05.2021;12:00;1.245;588;265;5.651;4.914;36;1.992;2.252;501;774;160;343
25.05.2021;12:15;1.240;551;264;5.689;5.032;36;1.995;2.143;499;778;98;343
25.05.2021;12:30;1.245;555;263;5.754;4.979;36;1.996;2.101;505;779;98;345
25.05.2021;12:45;1.245;555;287;5.705;5.117;36;1.996;2.013;511;769;93;342
25.05.2021;13:00;1.199;604;324;5.730;5.257;36;1.994;1.903;507;742;129;342
25.05.2021;13:15;1.168;567;330;5.804;5.314;36;1.996;1.828;508;746;89;347
25.05.2021;13:30;1.165;540;322;5.992;5.343;36;1.989;1.801;504;749;79;342
25.05.2021;13:45;1.167;541;354;6.089;5.400;36;1.965;1.779;495;751;70;339
25.05.2021;14:00;1.164;565;362;6.086;5.356;36;1.982;1.773;488;751;85;336
25.05.2021;14:15;1.162;586;368;6.029;5.224;36;1.995;1.751;497;752;103;341
25.05.2021;14:30;1.164;583;355;5.997;5.193;36;1.995;1.737;499;750;124;342
25.05.2021;14:45;1.186;593;351;5.945;5.172;36;1.996;1.742;499;746;115;343
25.05.2021;15:00;1.204;589;331;5.803;5.079;36;1.996;1.757;495;746;213;340
25.05.2021;15:15;1.216;590;324;5.776;4.999;37;1.997;1.773;490;745;195;337
25.05.2021;15:30;1.222;578;335;5.814;4.844;37;1.995;1.792;508;756;159;339
25.05.2021;15:45;1.232;578;339;5.806;4.561;37;1.994;1.791;506;755;138;339
25.05.2021;16:00;1.237;558;349;5.583;4.464;37;1.992;1.795;508;755;60;341
25.05.2021;16:15;1.240;562;371;5.596;4.343;37;1.991;1.822;513;734;52;341
25.05.2021;16:30;1.238;592;410;5.589;4.129;37;1.991;1.870;538;734;68;335
25.05.2021;16:45;1.240;612;427;5.503;3.814;37;1.990;1.959;544;766;111;335
25.05.2021;17:00;1.240;550;441;5.484;3.493;37;1.990;2.070;525;809;54;336
25.05.2021;17:15;1.232;551;447;5.552;3.256;37;1.990;2.164;527;786;55;338
25.05.2021;17:30;1.238;595;462;5.534;3.013;37;1.990;2.203;539;806;132;338
25.05.2021;17:45;1.240;618;508;5.446;2.714;37;1.990;2.215;546;817;273;336
25.05.2021;18:00;1.241;561;504;5.343;2.355;37;1.991;2.254;565;846;92;337
25.05.2021;18:15;1.243;580;482;5.240;1.998;37;1.991;2.310;569;871;187;332
25.05.2021;18:30;1.245;597;456;5.086;1.710;37;1.991;2.340;601;906;329;334
25.05.2021;18:45;1.246;572;440;4.977;1.456;37;1.990;2.367;661;928;463;339
25.05.2021;19:00;1.244;562;456;4.955;1.155;37;1.989;2.395;708;960;430;336
25.05.2021;19:15;1.241;568;469;4.923;899;37;1.989;2.405;738;951;541;339
25.05.2021;19:30;1.246;589;487;4.874;698;37;1.991;2.423;766;958;633;340
25.05.2021;19:45;1.243;614;508;4.752;521;37;1.989;2.429;775;969;709;340
25.05.2021;20:00;1.243;604;509;4.718;353;37;1.990;2.448;776;973;779;341
25.05.2021;20:15;1.243;570;521;4.685;219;37;1.988;2.434;784;977;807;339
25.05.2021;20:30;1.246;583;504;4.633;116;37;1.989;2.447;785;974;800;340
25.05.2021;20:45;1.243;582;488;4.710;46;37;1.990;2.445;769;981;753;338
25.05.2021;21:00;1.243;623;493;4.667;12;38;1.990;2.446;726;977;804;340
25.05.2021;21:15;1.246;623;508;4.628;2;38;1.991;2.437;728;958;771;339
25.05.2021;21:30;1.246;630;494;4.651;1;38;1.992;2.441;723;965;681;338
25.05.2021;21:45;1.243;618;484;4.681;0;38;1.992;2.432;705;962;485;338
25.05.2021;22:00;1.242;637;505;4.698;0;38;1.993;2.456;725;965;672;338
25.05.2021;22:15;1.239;614;483;4.758;0;38;1.993;2.441;718;942;474;340
25.05.2021;22:30;1.240;617;464;4.896;0;38;1.993;2.434;714;932;430;338
25.05.2021;22:45;1.241;573;466;4.910;0;38;1.993;2.427;676;925;242;340
25.05.2021;23:00;1.244;615;490;4.925;0;38;1.992;2.440;655;914;501;341
25.05.2021;23:15;1.245;592;542;4.831;0;38;1.993;2.412;610;914;410;335
25.05.2021;23:30;1.247;585;558;4.760;0;38;1.994;2.411;558;916;265;337
25.05.2021;23:45;1.245;556;592;4.740;0;38;1.990;2.381;520;894;156;337
26.05.2021;00:00;1.243;602;620;4.701;0;38;1.992;2.240;475;914;235;335
26.05.2021;00:15;1.242;586;607;4.681;0;38;1.991;2.188;438;942;166;339
26.05.2021;00:30;1.241;565;613;4.635;0;38;1.990;2.172;437;936;49;334
26.05.2021;00:45;1.240;553;628;4.625;0;38;1.989;2.145;435;932;39;332
26.05.2021;01:00;1.239;601;660;4.595;0;38;1.991;2.097;477;929;73;336
26.05.2021;01:15;1.235;555;703;4.536;0;38;1.990;2.044;476;928;35;331
26.05.2021;01:30;1.238;555;720;4.526;0;38;1.990;2.044;471;917;35;329
26.05.2021;01:45;1.237;546;709;4.494;0;38;1.990;2.026;471;904;34;334
26.05.2021;02:00;1.242;561;721;4.430;0;38;1.992;2.024;462;847;39;333
26.05.2021;02:15;1.243;550;729;4.385;0;38;1.990;2.009;451;831;36;329
26.05.2021;02:30;1.245;559;705;4.346;0;38;1.981;2.021;426;820;50;331
26.05.2021;02:45;1.243;548;696;4.355;0;38;1.968;2.003;425;802;37;331
26.05.2021;03:00;1.247;546;715;4.339;0;38;1.959;1.983;450;809;34;331
26.05.2021;03:15;1.247;554;728;4.315;0;38;1.947;1.978;452;813;37;335
26.05.2021;03:30;1.247;549;748;4.282;0;38;1.936;1.989;453;816;40;333
26.05.2021;03:45;1.239;545;778;4.197;0;38;1.936;1.986;453;841;34;333
26.05.2021;04:00;1.233;549;790;4.152;0;38;1.934;1.982;457;839;57;330
26.05.2021;04:15;1.231;546;790;4.154;0;38;1.935;1.997;489;856;50;330
26.05.2021;04:30;1.230;544;826;4.114;0;38;1.936;2.038;518;864;51;333
26.05.2021;04:45;1.225;543;874;4.070;1;38;1.935;2.133;541;893;50;332
26.05.2021;05:00;1.232;539;917;4.041;6;38;1.924;2.282;510;928;38;333
26.05.2021;05:15;1.231;540;915;4.088;27;38;1.929;2.365;523;930;50;333
26.05.2021;05:30;1.226;539;935;4.081;56;38;1.919;2.389;562;941;41;330
26.05.2021;05:45;1.227;557;989;4.034;119;38;1.928;2.434;607;947;74;328
26.05.2021;06:00;1.227;572;1.055;4.038;217;38;1.926;2.528;688;982;56;331
26.05.2021;06:15;1.232;574;1.105;3.949;345;38;1.934;2.572;768;973;159;334
26.05.2021;06:30;1.234;581;1.134;3.913;499;38;1.933;2.593;812;979;173;333
26.05.2021;06:45;1.243;579;1.178;3.916;667;38;1.932;2.587;850;985;336;331
26.05.2021;07:00;1.250;572;1.183;4.007;847;38;1.925;2.608;902;996;323;332
26.05.2021;07:15;1.252;588;1.143;4.141;1.039;38;1.928;2.643;924;1.004;464;333
26.05.2021;07:30;1.254;581;1.165;4.093;1.248;38;1.909;2.637;950;1.008;486;331
26.05.2021;07:45;1.255;600;1.230;4.040;1.479;38;1.901;2.646;975;998;470;329
26.05.2021;08:00;1.256;594;1.235;4.053;1.705;38;1.897;2.677;985;999;712;330
26.05.2021;08:15;1.255;599;1.217;4.152;1.937;38;1.896;2.699;1.004;1.002;723;331
26.05.2021;08:30;1.255;585;1.231;4.244;2.177;38;1.896;2.677;1.039;1.003;557;329
26.05.2021;08:45;1.259;565;1.254;4.343;2.404;38;1.897;2.628;1.063;1.003;326;331
26.05.2021;09:00;1.262;590;1.261;4.429;2.631;37;1.889;2.585;1.125;1.015;404;332
26.05.2021;09:15;1.259;588;1.196;4.557;2.829;37;1.884;2.529;1.109;1.005;372;329
26.05.2021;09:30;1.255;574;1.096;4.583;2.975;37;1.885;2.533;1.124;1.002;318;334
26.05.2021;09:45;1.258;554;986;4.692;3.120;37;1.885;2.529;1.162;999;203;330
26.05.2021;10:00;1.264;596;694;4.684;3.219;37;1.909;2.494;1.186;980;594;333
26.05.2021;10:15;1.261;594;512;4.697;3.289;37;1.912;2.486;1.172;991;591;334
26.05.2021;10:30;1.263;571;503;4.747;3.355;36;1.911;2.480;1.173;989;596;348
26.05.2021;10:45;1.264;614;494;4.658;3.426;36;1.911;2.439;1.170;988;520;337
26.05.2021;11:00;1.263;607;521;4.649;3.469;36;1.911;2.465;1.185;997;590;335
26.05.2021;11:15;1.259;588;585;4.636;3.482;36;1.911;2.464;1.197;999;555;346
26.05.2021;11:30;1.253;596;529;4.702;3.523;36;1.900;2.450;1.204;1.004;442;340
26.05.2021;11:45;1.254;585;515;4.731;3.577;36;1.889;2.446;1.191;1.005;417;338
26.05.2021;12:00;1.252;569;469;4.908;3.681;36;1.859;2.388;1.155;1.010;340;336
26.05.2021;12:15;1.248;561;430;4.949;3.730;36;1.842;2.370;1.138;1.010;180;338
26.05.2021;12:30;1.251;550;431;4.998;3.752;36;1.843;2.342;1.136;1.004;129;336
26.05.2021;12:45;1.249;551;451;4.949;3.806;36;1.843;2.296;1.112;991;124;337
26.05.2021;13:00;1.255;549;458;4.988;3.865;36;1.856;2.215;1.080;975;141;332
26.05.2021;13:15;1.250;541;468;5.125;3.872;36;1.855;2.168;1.065;931;123;340
26.05.2021;13:30;1.249;546;465;5.194;3.792;36;1.856;2.134;1.060;928;118;337
26.05.2021;13:45;1.247;569;482;5.170;3.756;36;1.854;2.084;1.060;891;120;339
26.05.2021;14:00;1.244;585;487;5.199;3.730;37;1.860;2.032;1.047;860;137;334
26.05.2021;14:15;1.243;588;493;5.200;3.722;37;1.861;1.958;1.042;878;140;335
26.05.2021;14:30;1.240;560;472;5.199;3.735;37;1.859;1.933;1.042;876;127;337
26.05.2021;14:45;1.244;546;503;5.209;3.719;37;1.858;1.930;1.026;881;157;331
26.05.2021;15:00;1.248;579;496;5.340;3.669;37;1.859;1.944;984;916;132;332
26.05.2021;15:15;1.245;572;500;5.486;3.512;37;1.858;1.937;974;928;118;332
26.05.2021;15:30;1.243;575;546;5.517;3.452;37;1.858;1.946;968;921;121;333
26.05.2021;15:45;1.242;570;571;5.343;3.370;37;1.858;1.971;955;910;121;333
26.05.2021;16:00;1.237;560;583;5.315;3.282;37;1.862;2.045;922;886;139;332
26.05.2021;16:15;1.235;542;604;5.377;3.150;37;1.861;2.065;894;886;141;335
26.05.2021;16:30;1.238;566;627;5.413;2.985;37;1.863;2.090;876;896;161;339
26.05.2021;16:45;1.233;571;640;5.270;2.812;37;1.879;2.192;879;935;208;338
26.05.2021;17:00;1.232;538;635;5.177;2.658;37;1.858;2.386;894;978;154;335
26.05.2021;17:15;1.235;544;712;5.256;2.454;37;1.859;2.516;903;1.002;160;336
26.05.2021;17:30;1.240;542;780;5.385;2.227;37;1.858;2.572;926;1.011;158;338
26.05.2021;17:45;1.236;545;854;5.476;2.008;37;1.857;2.586;965;1.017;219;337
26.05.2021;18:00;1.240;547;869;5.357;1.783;37;1.849;2.580;1.039;1.011;104;336
26.05.2021;18:15;1.235;589;895;5.139;1.602;37;1.853;2.611;1.071;1.001;204;332
26.05.2021;18:30;1.228;566;968;5.131;1.368;37;1.853;2.625;1.084;1.000;259;335
26.05.2021;18:45;1.238;563;964;5.045;1.172;37;1.858;2.626;1.101;1.001;357;337
26.05.2021;19:00;1.245;539;988;5.041;953;37;1.854;2.629;1.047;1.022;271;334
26.05.2021;19:15;1.240;557;1.002;5.004;760;37;1.856;2.650;1.039;1.029;410;338
26.05.2021;19:30;1.237;548;1.026;4.940;603;37;1.855;2.657;1.044;1.036;495;336
26.05.2021;19:45;1.234;554;1.002;4.919;451;37;1.863;2.647;1.049;1.032;585;337
26.05.2021;20:00;1.233;554;1.004;4.842;309;37;1.872;2.643;1.025;1.032;612;338
26.05.2021;20:15;1.235;556;1.016;4.722;198;38;1.878;2.658;1.009;1.032;664;335
26.05.2021;20:30;1.239;563;1.054;4.704;111;38;1.882;2.663;992;1.032;707;338
26.05.2021;20:45;1.242;568;1.115;4.640;53;38;1.883;2.664;985;1.032;591;334
26.05.2021;21:00;1.243;596;1.123;4.642;18;38;1.897;2.682;968;1.035;716;332
26.05.2021;21:15;1.243;610;1.116;4.632;3;38;1.893;2.686;950;1.034;716;335
26.05.2021;21:30;1.247;586;1.144;4.676;0;38;1.884;2.688;931;1.034;509;340
26.05.2021;21:45;1.245;563;1.214;4.621;0;38;1.878;2.685;897;1.031;397;336
26.05.2021;22:00;1.245;618;1.207;4.600;0;38;1.882;2.687;873;1.024;625;327
26.05.2021;22:15;1.241;611;1.218;4.692;0;38;1.884;2.662;864;1.007;433;329
26.05.2021;22:30;1.239;595;1.231;4.757;0;38;1.886;2.651;827;989;296;336
26.05.2021;22:45;1.243;557;1.224;4.802;0;38;1.883;2.621;792;982;160;330
26.05.2021;23:00;1.245;584;1.228;4.844;0;38;1.884;2.531;718;941;270;335
26.05.2021;23:15;1.245;542;1.231;4.891;0;38;1.884;2.463;671;940;175;341
26.05.2021;23:30;1.244;537;1.238;4.877;0;38;1.897;2.386;655;923;137;337
26.05.2021;23:45;1.241;533;1.241;4.862;0;38;1.907;2.263;640;897;135;337
27.05.2021;00:00;1.240;544;1.247;4.932;0;38;1.929;2.145;615;862;21;357
27.05.2021;00:15;1.235;539;1.248;4.991;0;38;1.932;2.099;605;853;7;353
27.05.2021;00:30;1.235;553;1.240;5.036;0;38;1.922;2.075;599;815;5;351
27.05.2021;00:45;1.238;541;1.189;5.099;0;38;1.924;2.048;596;816;0;358
27.05.2021;01:00;1.238;552;1.142;5.097;0;38;1.931;2.053;594;807;99;356
27.05.2021;01:15;1.226;536;1.133;5.076;0;38;1.934;2.055;597;785;28;352
27.05.2021;01:30;1.231;553;1.116;5.047;0;38;1.934;2.055;596;785;33;354
27.05.2021;01:45;1.235;542;1.099;5.094;0;38;1.934;2.051;593;791;5;352
27.05.2021;02:00;1.235;535;1.094;5.086;0;38;1.934;2.054;587;790;6;346
27.05.2021;02:15;1.234;533;1.070;5.085;0;38;1.934;2.051;584;790;5;344
27.05.2021;02:30;1.238;553;1.081;5.069;0;38;1.934;2.030;587;793;18;347
27.05.2021;02:45;1.230;541;1.091;5.093;0;38;1.933;2.016;593;799;6;351
27.05.2021;03:00;1.234;538;1.083;5.077;0;38;1.926;1.999;591;792;2;346
27.05.2021;03:15;1.234;533;1.081;5.038;0;38;1.928;2.005;613;798;1;349
27.05.2021;03:30;1.235;534;1.086;5.054;0;38;1.937;2.006;635;803;1;343
27.05.2021;03:45;1.232;533;1.082;5.087;0;38;1.947;2.016;654;839;1;348
27.05.2021;04:00;1.228;536;1.073;5.130;0;38;1.952;2.001;617;869;1;349
27.05.2021;04:15;1.226;539;1.038;5.081;0;38;1.957;2.005;600;876;0;350
27.05.2021;04:30;1.226;527;1.017;5.138;0;38;1.960;2.075;733;879;0;348
27.05.2021;04:45;1.223;535;1.003;5.091;1;38;1.958;2.156;755;880;2;353
27.05.2021;05:00;1.226;540;989;5.100;7;38;1.959;2.217;783;909;5;351
27.05.2021;05:15;1.228;540;990;5.056;27;38;1.963;2.273;815;909;8;349
27.05.2021;05:30;1.227;544;965;4.934;51;38;1.965;2.355;846;956;6;351
27.05.2021;05:45;1.219;543;929;4.863;97;38;1.966;2.455;901;984;5;348
27.05.2021;06:00;1.228;538;894;4.846;171;38;1.966;2.638;980;1.020;17;352
