Datum,Fossile Abhängigkeit
2021-01-10,58.16899456
2021-01-17,48.46072589
2021-01-24,39.04466396
2021-01-31,52.45995107
2021-02-07,42.08642011
2021-02-14,53.52671798
2021-02-21,36.31546355
2021-02-28,38.03934106
2021-03-07,49.78218438
2021-03-14,31.95034864
2021-03-21,42.47060052
2021-03-28,41.69506325
2021-04-04,31.91453141
2021-04-11,30.80823822
2021-04-18,51.00310493
2021-04-25,40.58542455
2021-05-02,42.48437762
2021-05-09,27.74694903
2021-05-16,37.01127997
2021-05-23,28.65016239
2021-05-30,30.86824633
2021-06-06,36.70051478
2021-06-13,41.5254473
2021-06-20,41.70434197
2021-06-27,48.47092448
2021-07-04,47.39397885
2021-07-11,44.84657607
2021-07-18,39.81573798
2021-07-25,41.23724141
2021-08-01,30.40527526
2021-08-08,35.85855469
2021-08-15,35.18563707
2021-08-22,33.77112494
2021-08-29,37.12476311
2021-09-05,44.74002274
2021-09-12,50.46225046
2021-09-19,50.84547436
2021-09-26,45.30915506
2021-10-03,37.7530275
2021-10-10,48.3196418
2021-10-17,47.23877817
2021-10-24,32.26670182
2021-10-31,39.04575675
2021-11-07,43.01054471
2021-11-14,56.66233042
2021-11-21,48.22505589
2021-11-28,56.03542632
2021-12-05,41.86730745
2021-12-12,53.1464573
2021-12-19,52.52422056
2021-12-26,53.89627973
2022-01-02,30.43990932
2022-01-09,40.77956125
2022-01-16,58.68775926
2022-01-23,48.54406525
2022-01-30,43.82039728
2022-02-06,34.61675242
2022-02-13,39.17136743
2022-02-20,27.60532144
2022-02-27,36.24013631
2022-03-06,56.99226083
2022-03-13,43.11063864
2022-03-20,46.97282721
2022-03-27,54.33475499
2022-04-03,50.17022682
2022-04-10,29.63192703
2022-04-17,43.8224501
2022-04-24,37.53094438
2022-05-01,53.97937607
2022-05-08,52.90991955
2022-05-15,37.95168554
2022-05-22,41.95047139
2022-05-29,30.0041481
2022-06-05,47.21500287
2022-06-12,41.90505548
2022-06-19,42.42327631
2022-06-26,49.36217736
2022-07-03,47.95470001
2022-07-10,38.52368276
2022-07-17,42.74549688
2022-07-24,46.88853204
2022-07-31,45.28683663
2022-08-07,46.56775953
2022-08-14,44.16706401
2022-08-21,54.04135149
2022-08-28,52.0585957
2022-09-04,46.93386617
2022-09-11,49.48483694
2022-09-18,40.50211375
2022-09-25,53.88276523
2022-10-02,43.26015928
2022-10-09,37.26152382
2022-10-16,51.68788554
2022-10-23,47.67912007
2022-10-30,41.92631678
2022-11-06,36.51763996
2022-11-13,39.18621466
2022-11-20,49.01984412
2022-11-27,52.92122181
2022-12-04,66.37049674
2022-12-11,69.17465144
2022-12-18,66.63812406
2022-12-25,42.99274512
2023-01-01,20.74114074
2023-01-08,31.319856
2023-01-15,27.53978567
2023-01-22,54.60163422
2023-01-29,68.17125261
2023-02-05,38.19228033
2023-02-12,55.18796835
2023-02-19,48.52754263
2023-02-26,44.30122534
2023-03-05,55.51731155
2023-03-12,46.368542
2023-03-19,33.90989373
2023-03-26,31.84098249
2023-04-02,31.09434205
2023-04-09,46.99851422
2023-04-16,34.93306561
2023-04-23,37.66772349
2023-04-30,39.84258222
2023-05-07,35.61313433
2023-05-14,40.57078678
2023-05-21,30.02617892
