Datum	Saldo
2020-12-06	25.745
2020-12-13	41.13275
2020-12-20	-0.786
2020-12-27	15.35925
2021-01-03	78.877
2021-01-10	102.0425
2021-01-17	95.4655
2021-01-24	100.58924999999999
2021-01-31	-15.8245
2021-02-07	-1.412
2021-02-14	-20.85475
2021-02-21	-19.2885
2021-02-28	-41.7925
2021-03-07	7.391
2021-03-14	-6.165
2021-03-21	-25.37525
2021-03-28	-5.836250000000001
2021-04-04	-48.6615
2021-04-11	86.629
2021-04-18	20.10475
2021-04-25	-11.066
2021-05-02	55.523
2021-05-09	38.57925
2021-05-16	-14.5555
2021-05-23	-9.80975
2021-05-30	-7.643750000000001
2021-06-06	-0.30674999999999997
2021-06-13	-8.91625
2021-06-20	33.0525
2021-06-27	-85.338
2021-07-04	-30.609
2021-07-11	-13.2915
2021-07-18	-49.92775
2021-07-25	-21.5675
2021-08-01	-61.026
2021-08-08	-36.91075
2021-08-15	-18.4315
2021-08-22	6.5975
2021-08-29	0.0
2021-09-05	22.68625
2021-09-12	69.297
2021-09-19	80.536
2021-09-26	58.3405
2021-10-03	-6.39975
2021-10-10	-5.547000000000001
2021-10-17	75.22025000000001
2021-10-24	55.5865
2021-10-31	-10.121
2021-11-07	-9.9035
2021-11-14	-0.8247500000000001
2021-11-21	88.91425
2021-11-28	45.566
2021-12-05	118.12
2021-12-12	53.092
2021-12-19	73.4935
2021-12-26	18.87125
2022-01-02	4.686
2022-01-09	79.45075
2022-01-16	33.99175
2022-01-23	87.7745
2022-01-30	38.4575
2022-02-06	82.0915
2022-02-13	109.541
2022-02-20	111.937
2022-02-27	147.65925
2022-03-06	66.76
2022-03-13	93.41075000000001
2022-03-20	60.20775
2022-03-27	22.12375
2022-04-03	38.3165
2022-04-10	49.20575
2022-04-17	51.71575
2022-04-24	-64.73225
2022-05-01	-48.012
2022-05-08	-60.12425
2022-05-15	-19.24
2022-05-22	14.93475
2022-05-29	24.78875
2022-06-05	-77.05275
2022-06-12	-33.347
2022-06-19	66.789
2022-06-26	66.7005
2022-07-03	50.650999999999996
2022-07-10	120.68825
2022-07-17	45.15775
2022-07-24	-36.29225
2022-07-31	-65.72275
2022-08-07	-31.09475
2022-08-14	-54.18925
2022-08-21	-69.72875
2022-08-28	-10.02475
2022-09-04	-31.30925
2022-09-11	-27.9235
2022-09-18	53.1125
2022-09-25	-64.852
2022-10-02	-24.4585
2022-10-09	53.28825
2022-10-16	0.7989999999999998
2022-10-23	-70.0495
2022-10-30	-54.089
2022-11-06	38.650999999999996
2022-11-13	35.2295
2022-11-20	176.909
2022-11-27	101.37525
2022-12-04	95.881
2022-12-11	117.55075
2022-12-18	89.3805
2022-12-25	47.14625
2023-01-01	75.0755
2023-01-08	47.70525
2023-01-15	178.041
2023-01-22	191.26275
2023-01-29	144.3165
2023-02-05	128.501
2023-02-12	12.8195
2023-02-19	58.316
2023-02-26	88.027
2023-03-05	-40.85425
2023-03-12	60.52975
2023-03-19	74.029
2023-03-26	45.297
2023-04-02	58.502250000000004
2023-04-09	41.49375
2023-04-16	23.133
2023-04-23	26.44725
2023-04-30	16.746
2023-05-07	8.807
2023-05-14	0.0
