Datum	Saldo
2020-12-06	25.579
2020-12-13	24.702
2020-12-20	94.136
2020-12-27	31.674
2021-01-03	-215.795
2021-01-10	-158.201
2021-01-17	-14.373
2021-01-24	19.785
2021-01-31	-56.229
2021-02-07	-16.201
2021-02-14	-29.154
2021-02-21	100.939
2021-02-28	21.677
2021-03-07	-33.845
2021-03-14	58.161
2021-03-21	40.416000000000004
2021-03-28	50.083
2021-04-04	131.416
2021-04-11	139.661
2021-04-18	132.192
2021-04-25	160.58
2021-05-02	74.917
2021-05-09	53.564
2021-05-16	87.43900000000001
2021-05-23	63.697
2021-05-30	102.43
2021-06-06	-52.901
2021-06-13	-16.896
2021-06-20	-29.48
2021-06-27	140.401
2021-07-04	97.917
2021-07-11	-1.8089999999999997
2021-07-18	39.506
2021-07-25	-24.259999999999998
2021-08-01	8.883000000000001
2021-08-08	-82.775
2021-08-15	-12.539
2021-08-22	75.492
2021-08-29	56.197
2021-09-05	-135.108
2021-09-12	-95.135
2021-09-19	-38.299
2021-09-26	30.706
2021-10-03	79.115
2021-10-10	-79.393
2021-10-17	-70.808
2021-10-24	-45.551
2021-10-31	-120.96300000000001
2021-11-07	-33.296
2021-11-14	-110.047
2021-11-21	-39.455
2021-11-28	-3.76
2021-12-05	-1.7169999999999992
2021-12-12	22.880000000000003
2021-12-19	-34.568
2021-12-26	-126.523
2022-01-02	44.844
2022-01-09	110.984
2022-01-16	-80.655
2022-01-23	63.055
2022-01-30	32.219
2022-02-06	113.47
2022-02-13	67.71
2022-02-20	167.162
2022-02-27	116.872
2022-03-06	41.096
2022-03-13	17.067
2022-03-20	4.482
2022-03-27	-61.839
2022-04-03	-24.767
2022-04-10	156.028
2022-04-17	35.019
2022-04-24	208.967
2022-05-01	127.333
2022-05-08	117.162
2022-05-15	79.324
2022-05-22	41.42
2022-05-29	144.627
2022-06-05	32.511
2022-06-12	23.825
2022-06-19	-44.333
2022-06-26	-51.625
2022-07-03	-2.885
2022-07-10	-28.27
2022-07-17	-17.496
2022-07-24	-13.731
2022-07-31	-2.914
2022-08-07	-31.896
2022-08-14	7.873
2022-08-21	-29.941
2022-08-28	-61.076
2022-09-04	-30.467
2022-09-11	10.874
2022-09-18	40.226
2022-09-25	-65.066
2022-10-02	-50.431
2022-10-09	56.494
2022-10-16	44.883
2022-10-23	76.81099999999999
2022-10-30	109.024
2022-11-06	124.709
2022-11-13	147.223
2022-11-20	78.767
2022-11-27	61.698
2022-12-04	-24.512999999999998
2022-12-11	-154.756
2022-12-18	-64.809
2022-12-25	-4.279
2023-01-01	40.3
2023-01-08	109.484
2023-01-15	185.177
2023-01-22	-63.135
2023-01-29	-83.675
2023-02-05	69.265
2023-02-12	38.27
2023-02-19	74.621
2023-02-26	42.675
2023-03-05	-25.992
2023-03-12	-30.266000000000002
2023-03-19	55.358000000000004
2023-03-26	106.21
2023-04-02	56.641
2023-04-09	-100.191
2023-04-16	62.929
2023-04-23	-0.4970000000000002
2023-04-30	-82.99
2023-05-07	-66.522
2023-05-14	-60.88
2023-05-21	30.259
2023-05-28	25.034000000000002
2023-06-04	78.355
2023-06-11	18.338
2023-06-18	-87.818
2023-06-25	-40.256
2023-07-02	0.0
