Datum	Saldo
2020-12-06	-238.949
2020-12-13	-226.383
2020-12-20	-305.557
2020-12-27	-200.791
2021-01-03	-399.824
2021-01-10	-389.496
2021-01-17	-191.24
2021-01-24	-110.015
2021-01-31	94.527
2021-02-07	200.183
2021-02-14	11.908000000000001
2021-02-21	33.209
2021-02-28	-325.488
2021-03-07	-284.298
2021-03-14	40.391
2021-03-21	-319.32
2021-03-28	-334.677
2021-04-04	-317.61
2021-04-11	-269.189
2021-04-18	-380.723
2021-04-25	-296.491
2021-05-02	-215.499
2021-05-09	37.369
2021-05-16	-189.4
2021-05-23	-134.655
2021-05-30	-8.652000000000001
2021-06-06	-137.399
2021-06-13	-71.04599999999999
2021-06-20	-76.262
2021-06-27	-107.626
2021-07-04	-89.686
2021-07-11	-116.898
2021-07-18	-197.251
2021-07-25	-209.225
2021-08-01	-51.905
2021-08-08	-28.909
2021-08-15	9.611
2021-08-22	-26.633
2021-08-29	-117.882
2021-09-05	11.895999999999999
2021-09-12	-19.656
2021-09-19	-189.77
2021-09-26	-258.105
2021-10-03	-244.536
2021-10-10	-251.181
2021-10-17	-347.092
2021-10-24	-281.132
2021-10-31	-325.97
2021-11-07	-302.268
2021-11-14	-382.522
2021-11-21	-361.73900000000003
2021-11-28	-326.987
2021-12-05	-143.416
2021-12-12	-255.095
2021-12-19	-402.869
2021-12-26	-263.262
2022-01-02	118.065
2022-01-09	-84.468
2022-01-16	-278.432
2022-01-23	-288.694
2022-01-30	-178.57
2022-02-06	-123.958
2022-02-13	-348.441
2022-02-20	-171.355
2022-02-27	-217.452
2022-03-06	-402.416
2022-03-13	-310.158
2022-03-20	-307.657
2022-03-27	-408.181
2022-04-03	-196.096
2022-04-10	-7.146999999999999
2022-04-17	-120.673
2022-04-24	-56.077
2022-05-01	-190.13
2022-05-08	-194.562
2022-05-15	-289.659
2022-05-22	-184.358
2022-05-29	-192.618
2022-06-05	-151.687
2022-06-12	-117.865
2022-06-19	-175.073
2022-06-26	-278.817
2022-07-03	-250.765
2022-07-10	-377.038
2022-07-17	-330.278
2022-07-24	-417.745
2022-07-31	-370.225
2022-08-07	-354.612
2022-08-14	-121.946
2022-08-21	-143.041
2022-08-28	-166.122
2022-09-04	34.694
2022-09-11	-109.636
2022-09-18	-86.127
2022-09-25	-71.383
2022-10-02	-31.604
2022-10-09	-186.831
2022-10-16	-269.274
2022-10-23	-74.339
2022-10-30	-189.335
2022-11-06	-286.647
2022-11-13	-318.422
2022-11-20	-356.117
2022-11-27	-242.048
2022-12-04	-348.357
2022-12-11	-151.876
2022-12-18	-172.653
2022-12-25	34.521
2023-01-01	362.866
2023-01-08	69.416
2023-01-15	99.193
2023-01-22	-257.03
2023-01-29	-418.019
2023-02-05	-272.807
2023-02-12	-395.636
2023-02-19	-291.853
2023-02-26	-285.678
2023-03-05	-324.363
2023-03-12	-82.608
2023-03-19	-164.775
2023-03-26	-123.648
2023-04-02	-169.9
2023-04-09	-307.475
2023-04-16	-277.705
2023-04-23	-314.052
2023-04-30	0.0
