Datum	Saldo
2021-01-03	416.252
2021-01-10	714.033
2021-01-17	323.242
2021-01-24	381.05
2021-01-31	-32.31
2021-02-07	-149.151
2021-02-14	240.457
2021-02-21	-86.926
2021-02-28	-205.489
2021-03-07	252.439
2021-03-14	77.758
2021-03-21	-59.356
2021-03-28	226.951
2021-04-04	-93.408
2021-04-11	348.646
2021-04-18	407.84
2021-04-25	79.41
2021-05-02	255.618
2021-05-09	120.569
2021-05-16	-240.763
2021-05-23	-136.081
2021-05-30	10.911000000000001
2021-06-06	-144.297
2021-06-13	-79.553
2021-06-20	16.733999999999998
2021-06-27	-173.924
2021-07-04	-86.605
2021-07-11	-59.604
2021-07-18	-175.262
2021-07-25	-37.959
2021-08-01	-139.23499999999999
2021-08-08	-106.881
2021-08-15	49.92
2021-08-22	-95.207
2021-08-29	-89.594
2021-09-05	115.039
2021-09-12	82.506
2021-09-19	122.014
2021-09-26	75.688
2021-10-03	131.311
2021-10-10	-25.82
2021-10-17	304.878
2021-10-24	271.549
2021-10-31	320.702
2021-11-07	268.447
2021-11-14	390.664
2021-11-21	401.928
2021-11-28	560.944
2021-12-05	463.949
2021-12-12	348.359
2021-12-19	447.172
2021-12-26	634.052
2022-01-02	54.651
2022-01-09	553.283
2022-01-16	466.741
2022-01-23	508.105
2022-01-30	415.386
2022-02-06	402.43
2022-02-13	507.149
2022-02-20	354.988
2022-02-27	581.829
2022-03-06	410.234
2022-03-13	538.319
2022-03-20	461.666
2022-03-27	558.832
2022-04-03	595.253
2022-04-10	407.568
2022-04-17	272.292
2022-04-24	121.782
2022-05-01	-64.041
2022-05-08	-101.173
2022-05-15	128.016
2022-05-22	40.859
2022-05-29	217.794
2022-06-05	9.754000000000003
2022-06-12	83.18599999999999
2022-06-19	291.224
2022-06-26	139.131
2022-07-03	214.394
2022-07-10	295.893
2022-07-17	234.073
2022-07-24	421.089
2022-07-31	377.136
2022-08-07	255.397
2022-08-14	7.516999999999999
2022-08-21	45.783
2022-08-28	450.537
2022-09-04	433.1
2022-09-11	180.918
2022-09-18	388.875
2022-09-25	244.222
2022-10-02	180.751
2022-10-09	499.227
2022-10-16	191.513
2022-10-23	-121.42
2022-10-30	-93.835
2022-11-06	161.394
2022-11-13	136.941
2022-11-20	393.493
2022-11-27	418.912
2022-12-04	644.877
2022-12-11	597.83
2022-12-18	447.672
2022-12-25	68.781
2023-01-01	359.913
2023-01-08	-78.95
2023-01-15	51.834
2023-01-22	649.313
2023-01-29	410.903
2023-02-05	490.055
2023-02-12	497.025
2023-02-19	483.352
2023-02-26	574.821
2023-03-05	710.865
2023-03-12	285.234
2023-03-19	134.201
2023-03-26	33.335
2023-04-02	53.231
2023-04-09	291.506
2023-04-16	85.441
2023-04-23	55.849
2023-04-30	-39.662
2023-05-07	-183.686
2023-05-14	-182.387
2023-05-21	-241.507
2023-05-28	-272.642
2023-06-04	-232.904
2023-06-11	-95.211
2023-06-18	-147.591
2023-06-25	-187.48
2023-07-02	-198.347
2023-07-09	43.332
2023-07-16	-17.999
2023-07-23	-39.871
2023-07-30	-45.982
2023-08-06	-251.55
2023-08-13	56.022
2023-08-20	-161.099
2023-08-27	-150.419
2023-09-03	-248.952
2023-09-10	-97.977
2023-09-17	-270.257
2023-09-24	-274.966
2023-10-01	-176.567
2023-10-08	26.083000000000002
2023-10-15	-63.451
2023-10-22	-409.454
2023-10-29	-379.66
2023-11-05	-365.593
2023-11-12	-59.094
2023-11-19	-230.692
2023-11-26	6.281000000000001
2023-12-03	77.17999999999999
2023-12-10	-331.696
2023-12-17	-203.612
2023-12-24	83.837
2023-12-31	77.244
2024-01-07	-369.136
2024-01-14	291.663
2024-01-21	95.81
2024-01-28	-87.865
2024-02-04	61.698
2024-02-11	-88.80799999999999
2024-02-18	-301.09
2024-02-25	-246.739
2024-03-03	-308.86
2024-03-10	-120.271
2024-03-17	-346.791
2024-03-24	-360.474
2024-03-31	-312.991
2024-04-07	-261.808
2024-04-14	-162.491
2024-04-21	-284.235
2024-04-28	-167.361
2024-05-05	-172.365
2024-05-12	-414.615
2024-05-19	-330.515
2024-05-26	-411.498
2024-06-02	-454.032
2024-06-09	-308.474
2024-06-16	-387.541
2024-06-23	-454.734
2024-06-30	0.0
