Datum	Saldo
2021-01-03	259.859
2021-01-10	220.695
2021-01-17	-0.24800000000000108
2021-01-24	141.246
2021-01-31	-25.449
2021-02-07	21.745
2021-02-14	-104.67699999999999
2021-02-21	-138.535
2021-02-28	-84.81099999999999
2021-03-07	-41.688
2021-03-14	-40.197
2021-03-21	-216.855
2021-03-28	-184.045
2021-04-04	-135.842
2021-04-11	-28.954
2021-04-18	-45.918
2021-04-25	-170.814
2021-05-02	-103.77
2021-05-09	-24.691
2021-05-16	-83.778
2021-05-23	-62.166
2021-05-30	57.597
2021-06-06	55.592
2021-06-13	72.474
2021-06-20	133.163
2021-06-27	-1.1550000000000002
2021-07-04	53.376
2021-07-11	-25.129
2021-07-18	-56.524
2021-07-25	-16.491
2021-08-01	81.056
2021-08-08	111.391
2021-08-15	116.729
2021-08-22	197.634
2021-08-29	116.639
2021-09-05	271.832
2021-09-12	242.035
2021-09-19	250.594
2021-09-26	132.305
2021-10-03	52.495
2021-10-10	27.331
2021-10-17	115.018
2021-10-24	94.297
2021-10-31	116.873
2021-11-07	59.747
2021-11-14	38.326
2021-11-21	69.223
2021-11-28	23.164
2021-12-05	78.847
2021-12-12	-89.646
2021-12-19	-16.354000000000003
2021-12-26	164.139
2022-01-02	116.531
2022-01-09	216.782
2022-01-16	-24.627
2022-01-23	88.93
2022-01-30	14.993
2022-02-06	33.517
2022-02-13	114.149
2022-02-20	120.002
2022-02-27	228.08599999999998
2022-03-06	39.472
2022-03-13	16.842
2022-03-20	25.845
2022-03-27	139.732
2022-04-03	175.402
2022-04-10	131.878
2022-04-17	173.771
2022-04-24	8.634
2022-05-01	-151.667
2022-05-08	-142.467
2022-05-15	-16.287
2022-05-22	28.297
2022-05-29	70.846
2022-06-05	-188.902
2022-06-12	-95.585
2022-06-19	-67.694
2022-06-26	-128.24699999999999
2022-07-03	-177.383
2022-07-10	70.808
2022-07-17	-22.852
2022-07-24	-46.412
2022-07-31	-51.561
2022-08-07	7.754
2022-08-14	-74.602
2022-08-21	-152.236
2022-08-28	35.423
2022-09-04	-102.05
2022-09-11	-63.939
2022-09-18	-41.543
2022-09-25	-107.064
2022-10-02	3.083
2022-10-09	110.856
2022-10-16	-122.624
2022-10-23	-236.213
2022-10-30	-256.285
2022-11-06	-63.012
2022-11-13	-24.279
2022-11-20	27.665
2022-11-27	-98.011
2022-12-04	10.317
2022-12-11	15.853000000000002
2022-12-18	-43.313
2022-12-25	121.809
2023-01-01	116.28828
2023-01-08	57.3048
2023-01-15	62.95416
2023-01-22	174.17316
2023-01-29	-22.05368
2023-02-05	63.84976
2023-02-12	98.73396
2023-02-19	-30.95388
2023-02-26	67.45996
2023-03-05	-9.785160000000003
2023-03-12	60.15288
2023-03-19	101.43552
2023-03-26	-59.433
2023-04-02	35.61452
2023-04-09	45.0024
2023-04-16	-126.69396
2023-04-23	-7.362079999999997
2023-04-30	-6.477239999999998
2023-05-07	43.14412
2023-05-14	-40.42928
2023-05-21	-100.17876000000001
2023-05-28	-227.9724
2023-06-04	-272.11696
2023-06-11	-234.24744
2023-06-18	-86.69104
2023-06-25	-52.89404
2023-07-02	-121.51576
2023-07-09	-47.50168
2023-07-16	-204.73132
2023-07-23	-225.12684
2023-07-30	-185.18344
2023-08-06	-114.6888
2023-08-13	-92.87728
2023-08-20	-198.745
2023-08-27	-304.95908
2023-09-03	-201.00868
2023-09-10	-48.57752
2023-09-17	-196.11144
2023-09-24	-75.52848
2023-10-01	-78.51
2023-10-08	-50.12904
2023-10-15	-58.61916
2023-10-22	-72.46208
2023-10-29	-38.23984
2023-11-05	80.34004
2023-11-12	112.09388
2023-11-19	84.77856
2023-11-26	163.81972
2023-12-03	37.42508
2023-12-10	-46.4986
2023-12-17	-6.893880000000001
2023-12-24	38.43012
2023-12-31	157.46532
2024-01-07	147.94092
2024-01-14	-117.99276
2024-01-21	-118.72628
2024-01-28	11.09896
2024-02-04	-41.69544
2024-02-11	129.96096
2024-02-18	-46.42992
2024-02-25	0.5140800000000003
2024-03-03	-225.49724
2024-03-10	-91.35356
2024-03-17	-129.81684
2024-03-24	-72.173
2024-03-31	104.95916
2024-04-07	28.3876
2024-04-14	-106.743
2024-04-21	-142.71432
2024-04-28	-125.67972
2024-05-05	102.20136
2024-05-12	-88.08292
2024-05-19	91.6968
2024-05-26	-26.627399999999998
2024-06-02	-129.53488
2024-06-09	-100.86376
2024-06-16	-31.97096
2024-06-23	4.0326
2024-06-30	-151.58816
2024-07-07	-87.79696
2024-07-14	-93.80584
2024-07-21	-62.80824
2024-07-28	-46.85112
2024-08-04	-20.23928
2024-08-11	-169.95372
2024-08-18	-59.04924
2024-08-25	-214.18516
2024-09-01	-249.0076
2024-09-08	22.274440000000002
2024-09-15	-34.95692
2024-09-22	29.37168
2024-09-29	76.27524
2024-10-06	82.0958
2024-10-13	146.0286
2024-10-20	175.19147999999998
2024-10-27	74.806
2024-11-03	108.65656
2024-11-10	-336.7192
2024-11-17	-278.45296
2024-11-24	-17.2374
2024-12-01	-26.519679999999997
2024-12-08	-209.46316
2024-12-15	-247.88804
2024-12-22	-19.90368
2024-12-29	79.98452
2025-01-05	78.05256
2025-01-12	89.67708
2025-01-19	-325.01216
2025-01-26	-89.94776
2025-02-02	-86.27292
2025-02-09	-194.08648
2025-02-16	-225.33016
2025-02-23	-258.34204
2025-03-02	0.0
