Datum	Saldo
2020-12-20	-22.331
2020-12-27	-32.592999999999996
2021-01-03	-95.345
2021-01-10	-118.377
2021-01-17	-33.091
2021-01-24	-44.257
2021-01-31	-8.003
2021-02-07	61.308
2021-02-14	-12.57
2021-02-21	15.559999999999999
2021-02-28	-97.91
2021-03-07	-168.797
2021-03-14	51.135
2021-03-21	-24.248
2021-03-28	17.622
2021-04-04	-34.625
2021-04-11	-15.352
2021-04-18	-146.657
2021-04-25	-81.959
2021-05-02	-107.778
2021-05-09	39.841
2021-05-16	-143.904
2021-05-23	-46.189
2021-05-30	-38.907000000000004
2021-06-06	-132.59
2021-06-13	-60.809000000000005
2021-06-20	-106.035
2021-06-27	-147.142
2021-07-04	-141.882
2021-07-11	-134.387
2021-07-18	-80.627
2021-07-25	-112.493
2021-08-01	-46.082
2021-08-08	-60.918
2021-08-15	-60.96
2021-08-22	-28.037000000000003
2021-08-29	-41.978
2021-09-05	-92.82900000000001
2021-09-12	-128.454
2021-09-19	-94.708
2021-09-26	-41.867
2021-10-03	-29.086
2021-10-10	-123.101
2021-10-17	-79.778
2021-10-24	36.123999999999995
2021-10-31	-39.439
2021-11-07	-54.068000000000005
2021-11-14	-115.918
2021-11-21	-71.145
2021-11-28	-87.653
2021-12-05	-10.268
2021-12-12	-76.938
2021-12-19	-82.794
2021-12-26	-62.723
2022-01-02	191.754
2022-01-09	-3.603
2022-01-16	-172.751
2022-01-23	-75.229
2022-01-30	-70.464
2022-02-06	17.241
2022-02-13	-37.502
2022-02-20	70.483
2022-02-27	-18.369999999999997
2022-03-06	-216.771
2022-03-13	-49.891
2022-03-20	-81.195
2022-03-27	-111.238
2022-04-03	-60.881
2022-04-10	92.934
2022-04-17	-31.809
2022-04-24	10.657
2022-05-01	-127.294
2022-05-08	-93.649
2022-05-15	-50.205
2022-05-22	-126.091
2022-05-29	-50.432
2022-06-05	-170.135
2022-06-12	-130.38899999999998
2022-06-19	-115.612
2022-06-26	-186.291
2022-07-03	-170.50799999999998
2022-07-10	-91.592
2022-07-17	-116.89099999999999
2022-07-24	-135.551
2022-07-31	-99.647
2022-08-07	-118.2
2022-08-14	-44.388
2022-08-21	-124.36
2022-08-28	-67.857
2022-09-04	21.714
2022-09-11	-10.618
2022-09-18	6.202000000000001
2022-09-25	11.057
2022-10-02	-5.168000000000003
2022-10-09	-90.654
2022-10-16	-157.2
2022-10-23	-75.673
2022-10-30	-76.216
2022-11-06	-84.104
2022-11-13	-107.896
2022-11-20	-135.696
2022-11-27	-154.506
2022-12-04	-191.242
2022-12-11	-96.107
2022-12-18	-100.714
2022-12-25	66.087
2023-01-01	175.49699999999999
2023-01-08	99.908
2023-01-15	119.88
2023-01-22	-96.865
2023-01-29	-202.438
2023-02-05	-94.206
2023-02-12	-172.78
2023-02-19	-137.072
2023-02-26	-79.06099999999999
2023-03-05	-132.212
2023-03-12	-28.980999999999998
2023-03-19	-18.022
2023-03-26	16.201
2023-04-02	19.516
2023-04-09	-163.049
2023-04-16	-104.393
2023-04-23	-79.362
2023-04-30	-72.326
2023-05-07	-55.937
2023-05-14	-153.115
2023-05-21	-91.231
2023-05-28	-107.357
2023-06-04	-86.756
2023-06-11	-122.804
2023-06-18	-111.258
2023-06-25	0.0
