Datum	Saldo
2020-12-06	-5.39
2020-12-13	20.649
2020-12-20	15.382
2020-12-27	0.20300000000000004
2021-01-03	-18.549
2021-01-10	-65.619
2021-01-17	-29.893
2021-01-24	2.328
2021-01-31	-10.472999999999999
2021-02-07	24.284
2021-02-14	9.965
2021-02-21	47.845
2021-02-28	18.565
2021-03-07	46.552
2021-03-14	24.322
2021-03-21	38.763
2021-03-28	1.0390000000000001
2021-04-04	14.85
2021-04-11	-24.868
2021-04-18	-13.704
2021-04-25	-14.488
2021-05-02	-14.566
2021-05-09	-21.184
2021-05-16	3.5949999999999998
2021-05-23	8.124
2021-05-30	27.382
2021-06-06	13.072
2021-06-13	3.7469999999999994
2021-06-20	-28.522
2021-06-27	-2.801
2021-07-04	-35.635
2021-07-11	-27.975
2021-07-18	54.746
2021-07-25	-18.421
2021-08-01	30.959
2021-08-08	8.453999999999999
2021-08-15	-34.239
2021-08-22	-66.20700000000001
2021-08-29	-29.91
2021-09-05	-125.67399999999999
2021-09-12	-119.677
2021-09-19	-95.995
2021-09-26	-129.924
2021-10-03	-65.059
2021-10-10	-158.033
2021-10-17	-138.648
2021-10-24	-78.188
2021-10-31	-80.833
2021-11-07	-94.76
2021-11-14	-145.785
2021-11-21	-116.022
2021-11-28	-126.16
2021-12-05	-41.212
2021-12-12	19.896
2021-12-19	-76.34
2021-12-26	-106.33
2022-01-02	4.243
2022-01-09	-51.025
2022-01-16	-86.8
2022-01-23	-61.617
2022-01-30	-54.935
2022-02-06	13.394
2022-02-13	-20.27
2022-02-20	-34.571
2022-02-27	-59.801
2022-03-06	-80.579
2022-03-13	-55.498
2022-03-20	-39.865
2022-03-27	-136.1
2022-04-03	-151.11
2022-04-10	-17.692
2022-04-17	-122.752
2022-04-24	-33.805
2022-05-01	-84.654
2022-05-08	-86.338
2022-05-15	-78.396
2022-05-22	-70.275
2022-05-29	27.96
2022-06-05	15.571
2022-06-12	44.131
2022-06-19	-49.326
2022-06-26	-66.392
2022-07-03	9.539
2022-07-10	16.333
2022-07-17	-31.764
2022-07-24	-14.444
2022-07-31	-13.009
2022-08-07	-31.953
2022-08-14	17.01
2022-08-21	-15.951
2022-08-28	-71.11
2022-09-04	-34.915
2022-09-11	-28.62
2022-09-18	55.873
2022-09-25	-3.617
2022-10-02	5.397
2022-10-09	46.378
2022-10-16	27.166
2022-10-23	70.039
2022-10-30	79.364
2022-11-06	91.758
2022-11-13	119.579
2022-11-20	69.042
2022-11-27	80.549
2022-12-04	-13.792
2022-12-11	-100.189
2022-12-18	-30.878
2022-12-25	19.058
2023-01-01	75.024
2023-01-08	82.03
2023-01-15	138.919
2023-01-22	-56.237
2023-01-29	-64.252
2023-02-05	37.766
2023-02-12	30.038
2023-02-19	54.416
2023-02-26	29.384
2023-03-05	-19.664
2023-03-12	-5.902
2023-03-19	6.232
2023-03-26	95.71
2023-04-02	22.433
2023-04-09	-13.611
2023-04-16	26.879
2023-04-23	0.0
