Datum	2023	2022	Vorkrisenniveau²
2024-01-02	72.31	80.43	17.96
2024-01-03	65.02	88.74	18.19
2024-01-04	72.42	91.52	18.14
2024-01-05	69.53	96.50	17.46
2024-01-08	74.30	88.17	17.70
2024-01-09	70.07	84.61	17.78
2024-01-10	65.35	78.74	17.65
2024-01-11	66.81	75.15	17.88
2024-01-12	64.81	85.46	17.59
2024-01-15	60.06	86.97	17.36
2024-01-16	61.71	78.33	17.19
2024-01-17	60.72	75.60	17.43
2024-01-18	66.90	75.20	17.19
2024-01-19	66.00	78.98	16.94
2024-01-22	58.27	93.00	16.94
2024-01-23	56.66	93.58	16.51
2024-01-24	54.81	91.84	16.40
2024-01-25	55.42	92.30	16.37
2024-01-26	55.16	92.06	16.04
2024-01-29	57.35	84.67	15.79
2024-01-30	59.53	76.17	15.83
2024-01-31	57.04	77.35	15.55
2024-02-01	57.89	80.22	15.63
2024-02-02	58.11	82.65	15.35
2024-02-05	55.40	79.60	15.31
2024-02-06	53.69	77.30	15.38
2024-02-07	52.73	74.42	14.88
2024-02-08	53.95	74.35	14.84
2024-02-09	51.71	77.43	14.82
2024-02-12	52.39	80.77	15.07
2024-02-13	54.72	70.92	14.90
2024-02-14	52.01	69.79	15.09
2024-02-15	49.05	74.91	15.15
2024-02-16	48.54	73.76	15.83
2024-02-19	50.57	79.79	15.57
2024-02-20	50.78	88.89	15.41
2024-02-21	51.01	134.32	15.45
2024-02-22	47.30	94.42	14.94
2024-02-23	46.67	98.60	15.23
2024-02-26	47.08	121.67	14.68
2024-02-27	46.81	165.54	14.59
2024-02-28	44.98	160.82	14.79
2024-02-29	42.15	192.55	14.53
2024-03-01	43.37	227.20	14.47
2024-03-04	42.34	214.55	14.45
2024-03-05	43.60	155.88	14.56
2024-03-06	52.86	126.40	14.85
2024-03-07	49.58	131.23	15.10
2024-03-08	44.19	114.52	14.84
2024-03-11	42.90	115.44	14.50
2024-03-12	44.34	102.62	14.26
2024-03-13	42.86	105.09	14.04
2024-03-14	39.33	105.04	13.99
2024-03-15	42.40	96.30	14.31
2024-03-18	39.97	98.75	14.08
2024-03-19	43.19	117.00	13.77
2024-03-20	41.09	111.61	13.51
2024-03-21	42.53	101.27	13.37
2024-03-22	42.75	102.54	13.69
2024-03-25	42.80	108.38	13.34
2024-03-26	43.61	118.97	13.11
2024-03-27	47.85	125.91	12.99
2024-03-28	51.37	112.15	12.77
2024-04-02	46.57	109.52	13.10
2024-04-03	44.58	108.56	13.28
2024-04-04	43.13	106.79	14.03
2024-04-05	43.13	104.56	13.97
2024-04-08	43.69	103.88	14.28
2024-04-09	42.88	100.14	14.09
2024-04-10	42.09	102.22	14.16
2024-04-11	41.15	105.32	14.10
2024-04-12	41.13	95.62	13.67
2024-04-15	42.72	95.62	13.58
2024-04-16	40.30	93.77	13.83
2024-04-17	40.56	94.23	13.65
2024-04-18	40.16	100.06	13.52
2024-04-19	39.92	94.88	13.51
2024-04-22	39.83	92.84	13.33
2024-04-23	38.55	103.21	13.39
2024-04-24	39.04	107.43	13.50
2024-04-25	38.54	100.14	13.64
2024-04-26	38.83	99.45	13.65
2024-04-29	37.53	97.05	13.46
2024-04-30	36.78	99.43	13.36
2024-05-01	35.65	103.82	13.42
2024-05-02	36.57	106.51	13.48
2024-05-03	36.87	101.71	13.45
2024-05-07	35.95	93.79	13.59
2024-05-08	34.99	98.80	13.71
2024-05-09	34.99	94.01	13.57
2024-05-10	32.77	106.70	13.45
2024-05-13	32.31	96.88	13.51
2024-05-14	31.82	92.86	13.55
2024-05-15	31.95	94.18	13.43
2024-05-16	29.78	94.54	13.36
2024-05-17	30.18	91.02	13.19
2024-05-20	29.71	87.90	13.18
2024-05-21	29.13	83.29	13.13
2024-05-22	27.78	84.51	13.07
2024-05-23	25.45	88.08	13.02
2024-05-24	24.52	85.97	12.67
2024-05-28	24.68	86.88	12.80
2024-05-29	26.85	94.00	12.95
2024-05-30	23.10	85.55	12.61
2024-05-31	23.69	83.94	12.57
2024-06-03	28.48	83.10	13.05
2024-06-04	24.86	82.56	12.81
2024-06-05	26.33	79.61	12.71
2024-06-06	26.94	79.41	12.81
2024-06-07	32.05	84.88	12.72
2024-06-10	31.04	82.46	12.45
2024-06-11	36.05	83.40	12.64
2024-06-12	38.31	97.04	13.02
2024-06-13	41.15	120.33	13.06
2024-06-14	35.01	124.36	12.86
2024-06-17	38.71	117.74	12.79
2024-06-18	36.74	125.56	12.54
2024-06-19	34.10	127.17	12.42
2024-06-20	32.51	133.35	12.46
2024-06-21	31.98	128.51	12.56
2024-06-24	34.51	129.46	12.35
2024-06-25	34.13	129.18	12.12
2024-06-26	35.18	139.59	12.17
2024-06-27	37.10	144.51	12.64
2024-06-28	33.93	147.78	12.80
2024-07-01	34.37	165.07	12.78
2024-07-02	32.35	171.00	12.83
2024-07-03	33.48	183.18	13.26
2024-07-04	30.23	175.21	13.45
2024-07-05	29.06	164.52	13.47
2024-07-08	26.64	172.61	13.54
2024-07-09	26.61	180.51	13.73
2024-07-10	25.96	175.03	13.45
2024-07-11	25.10	159.57	13.41
2024-07-12	27.07	157.26	12.89
2024-07-15	26.96	154.46	12.63
2024-07-16	28.02	155.04	12.66
2024-07-17	28.16	155.60	12.57
2024-07-18	30.56	159.86	12.27
2024-07-19	32.65	176.62	12.54
2024-07-22	29.27	199.92	12.38
2024-07-23	28.43	205.23	12.40
2024-07-24	25.84	198.93	12.29
2024-07-25	28.37	190.91	12.22
2024-07-26	27.12	200.79	12.34
2024-07-29	28.74	205.17	12.78
2024-07-30	30.47	199.20	13.44
2024-07-31	28.85	199.25	13.58
2024-08-01	30.49	196.32	13.69
2024-08-02	31.07	193.05	13.59
2024-08-05	39.82	192.18	13.99
2024-08-06	37.06	205.37	14.20
2024-08-07	35.30	208.11	14.11
2024-08-08	34.43	206.11	13.90
2024-08-09	38.81	220.11	14.18
2024-08-12	37.78	225.91	14.07
2024-08-13	36.83	225.84	14.26
2024-08-14	36.41	241.00	14.32
2024-08-15	40.78	244.55	14.50
2024-08-16	42.91	276.75	14.58
2024-08-19	36.79	269.05	14.66
2024-08-20	31.94	292.15	14.35
2024-08-21	34.78	321.41	14.57
2024-08-22	38.41	339.20	14.72
2024-08-23	35.19	272.60	14.88
2024-08-27	35.99	252.94	14.82
2024-08-28	35.03	239.91	15.92
2024-08-29	35.62	243.00	16.72
2024-08-30	34.45	214.66	16.41
2024-09-02	31.08	239.84	16.59
2024-09-03	32.76	213.88	17.00
2024-09-04	34.51	220.54	17.16
2024-09-05	35.85	207.09	17.01
2024-09-06	34.70	190.59	18.09
2024-09-09	36.82	198.61	17.88
2024-09-10	35.52	217.88	17.49
2024-09-11	36.48	214.28	17.41
2024-09-12	34.47	187.79	17.72
2024-09-13	36.78	182.26	17.61
2024-09-16	37.28	194.26	16.99
2024-09-17	39.10	189.78	17.35
2024-09-18	39.79	187.47	17.60
2024-09-19	44.44	185.49	17.56
2024-09-20	40.32	173.83	17.87
2024-09-23	39.30	186.10	17.60
2024-09-24	39.74	207.19	17.32
2024-09-25	41.86	187.66	17.29
2024-09-26	39.33	188.80	18.67
2024-09-27	36.99	169.91	19.16
2024-09-30	38.44	161.95	18.81
2024-10-01	36.21	173.69	18.72
2024-10-02	38.23	175.71	18.89
2024-10-03	43.95	156.21	18.90
2024-10-04	49.46	154.12	18.86
2024-10-07	46.07	156.78	18.77
2024-10-08	53.00	160.19	18.61
2024-10-09	53.98	153.81	18.58
2024-10-10	48.47	142.00	18.76
2024-10-11	48.90	127.98	18.85
2024-10-14	50.83	113.22	18.88
2024-10-15	50.17	112.51	18.82
2024-10-16	51.11	127.15	18.90
2024-10-17	51.28	113.58	19.12
2024-10-18	49.26	99.17	18.86
2024-10-21	49.92	99.79	18.78
2024-10-22	50.81	104.32	18.77
2024-10-23	50.53	107.38	18.32
2024-10-24	50.55	112.24	17.81
2024-10-25	48.01	123.35	17.63
2024-10-28	47.76	116.19	17.29
2024-10-29	48.56	125.86	18.18
2024-10-30	48.06	125.44	17.83
2024-10-31	44.83	114.79	18.14
2024-11-01	46.06	109.68	18.16
2024-11-04	45.78	118.15	18.21
2024-11-05	48.13	113.14	18.15
2024-11-06	46.63	113.45	18.07
2024-11-07	47.87	97.85	18.07
2024-11-08	47.61	113.70	18.53
2024-11-11	47.04	124.10	18.66
2024-11-12	45.85	113.90	18.73
2024-11-13	45.06	112.56	18.96
2024-11-14	45.82	115.51	18.38
2024-11-15	44.06	116.13	17.71
2024-11-18	44.62	119.64	17.65
2024-11-19	46.58	129.62	17.67
2024-11-20	46.66	124.37	18.13
2024-11-21	43.98	123.28	18.23
2024-11-22	42.77	132.29	18.31
2024-11-25	40.36	146.40	18.25
2024-11-26	42.09	139.26	18.70
2024-11-27	43.50	135.56	18.47
2024-11-28	40.10	134.70	18.59
2024-11-29	38.13	138.49	18.15
2024-12-02	39.31	149.24	17.74
2024-12-03	39.97	138.89	17.55
2024-12-04	38.60	139.11	17.53
2024-12-05	36.12	136.59	17.63
2024-12-06	34.70	137.53	17.84
2024-12-09	35.81	131.51	18.32
2024-12-10	34.85	134.77	18.35
2024-12-11	33.19	115.45	18.60
2024-12-12	35.52	108.54	18.19
2024-12-13	32.57	105.69	18.37
2024-12-16	33.52	97.75	18.50
2024-12-17	34.20	91.94	18.64
2024-12-18	34.17	82.98	18.30
2024-12-19	34.17	80.04	18.12
2024-12-20	35.51	81.35	17.86
2024-12-23	33.10	83.83	18.24
2024-12-24	32.35	76.32	17.68
2024-12-27	32.35	76.32	17.68
2024-12-30	32.35	76.32	17.72
2024-12-31	32.35	76.32	17.72
